"算出基準日","区分","人口","交付枚数","人口に対する交付枚数率","人口算出基準日","交付枚数算出基準日"
"2021/12/01","全国",126654244,50573635,39.9,"2021/01/01","2021/12/01"
"2021/12/01","特別区",9572763,4234693,44.2,"2021/01/01","2021/12/01"
"2021/12/01","指定都市",27549061,11571971,42.0,"2021/01/01","2021/12/01"
"2021/12/01","市（指定都市を除く）",78865174,30939179,39.2,"2021/01/01","2021/12/01"
"2021/12/01","町村",10667246,3827792,35.9,"2021/01/01","2021/12/01"
