"算出基準日","都道府県名","総数（人口）","交付枚数","人口に対する交付枚数率","人口算出基準日","交付枚数算出基準日"
"2021/12/01","北海道",5228732,1874642,35.9,"2021/01/01","2021/12/01"
"2021/12/01","青森県",1260067,434449,34.5,"2021/01/01","2021/12/01"
"2021/12/01","岩手県",1221205,416186,34.1,"2021/01/01","2021/12/01"
"2021/12/01","宮城県",2282106,896936,39.3,"2021/01/01","2021/12/01"
"2021/12/01","秋田県",971604,362777,37.3,"2021/01/01","2021/12/01"
"2021/12/01","山形県",1070017,382276,35.7,"2021/01/01","2021/12/01"
"2021/12/01","福島県",1862777,652593,35.0,"2021/01/01","2021/12/01"
"2021/12/01","茨城県",2907678,1106986,38.1,"2021/01/01","2021/12/01"
"2021/12/01","栃木県",1955402,724107,37.0,"2021/01/01","2021/12/01"
"2021/12/01","群馬県",1958185,657183,33.6,"2021/01/01","2021/12/01"
"2021/12/01","埼玉県",7393849,2838629,38.4,"2021/01/01","2021/12/01"
"2021/12/01","千葉県",6322897,2581242,40.8,"2021/01/01","2021/12/01"
"2021/12/01","東京都",13843525,6030492,43.6,"2021/01/01","2021/12/01"
"2021/12/01","神奈川県",9220245,3975770,43.1,"2021/01/01","2021/12/01"
"2021/12/01","新潟県",2213353,735256,33.2,"2021/01/01","2021/12/01"
"2021/12/01","富山県",1047713,427189,40.8,"2021/01/01","2021/12/01"
"2021/12/01","石川県",1132656,459933,40.6,"2021/01/01","2021/12/01"
"2021/12/01","福井県",774596,299265,38.6,"2021/01/01","2021/12/01"
"2021/12/01","山梨県",821094,302270,36.8,"2021/01/01","2021/12/01"
"2021/12/01","長野県",2072219,710175,34.3,"2021/01/01","2021/12/01"
"2021/12/01","岐阜県",2016868,759137,37.6,"2021/01/01","2021/12/01"
"2021/12/01","静岡県",3686335,1485000,40.3,"2021/01/01","2021/12/01"
"2021/12/01","愛知県",7558872,3006050,39.8,"2021/01/01","2021/12/01"
"2021/12/01","三重県",1800756,715251,39.7,"2021/01/01","2021/12/01"
"2021/12/01","滋賀県",1418886,620982,43.8,"2021/01/01","2021/12/01"
"2021/12/01","京都府",2530609,1021499,40.4,"2021/01/01","2021/12/01"
"2021/12/01","大阪府",8839532,3652092,41.3,"2021/01/01","2021/12/01"
"2021/12/01","兵庫県",5523627,2480041,44.9,"2021/01/01","2021/12/01"
"2021/12/01","奈良県",1344952,597892,44.5,"2021/01/01","2021/12/01"
"2021/12/01","和歌山県",944750,337732,35.7,"2021/01/01","2021/12/01"
"2021/12/01","鳥取県",556959,211414,38.0,"2021/01/01","2021/12/01"
"2021/12/01","島根県",672979,262167,39.0,"2021/01/01","2021/12/01"
"2021/12/01","岡山県",1893874,739704,39.1,"2021/01/01","2021/12/01"
"2021/12/01","広島県",2812477,1140858,40.6,"2021/01/01","2021/12/01"
"2021/12/01","山口県",1356144,567686,41.9,"2021/01/01","2021/12/01"
"2021/12/01","徳島県",735070,286279,38.9,"2021/01/01","2021/12/01"
"2021/12/01","香川県",973922,388982,39.9,"2021/01/01","2021/12/01"
"2021/12/01","愛媛県",1356343,541350,39.9,"2021/01/01","2021/12/01"
"2021/12/01","高知県",701531,228293,32.5,"2021/01/01","2021/12/01"
"2021/12/01","福岡県",5124259,2050893,40.0,"2021/01/01","2021/12/01"
"2021/12/01","佐賀県",818251,320166,39.1,"2021/01/01","2021/12/01"
"2021/12/01","長崎県",1336023,516083,38.6,"2021/01/01","2021/12/01"
"2021/12/01","熊本県",1758815,684747,38.9,"2021/01/01","2021/12/01"
"2021/12/01","大分県",1141784,444501,38.9,"2021/01/01","2021/12/01"
"2021/12/01","宮崎県",1087372,565916,52.0,"2021/01/01","2021/12/01"
"2021/12/01","鹿児島県",1617850,607195,37.5,"2021/01/01","2021/12/01"
"2021/12/01","沖縄県",1485484,473369,31.9,"2021/01/01","2021/12/01"
