"算出基準日","年齢","人口(男)","人口(女)","人口(計)","交付件数(男)","交付件数(女)","交付件数(計)","交付率(男)","交付率(女)","交付率(計)","全体に対する交付件数割合(男)","全体に対する交付件数割合(女)","全体に対する交付件数割合(計)","人口算出基準日","交付枚数算出基準日"
"2021/06/01","全体",62036028,65102005,127138033,20256956,20181709,40438665,32.7,31.0,31.8,100.0,100.0,100.0,"2020/01/01","2021/06/01"
"2021/06/01","0～4歳",2451534,2331996,4783530,399078,383250,782328,16.3,16.4,16.4,2.0,1.9,1.9,"2020/01/01","2021/06/01"
"2021/06/01","5～9",2703139,2567979,5271118,611123,589292,1200415,22.6,22.9,22.8,3.0,2.9,3.0,"2020/01/01","2021/06/01"
"2021/06/01","10～14",2805669,2667945,5473614,598047,587986,1186033,21.3,22.0,21.7,3.0,2.9,2.9,"2020/01/01","2021/06/01"
"2021/06/01","15～19",3012009,2865038,5877047,638314,629525,1267839,21.2,22.0,21.6,3.2,3.1,3.1,"2020/01/01","2021/06/01"
"2021/06/01","20～24",3294145,3116004,6410149,864626,906922,1771548,26.2,29.1,27.6,4.3,4.5,4.4,"2020/01/01","2021/06/01"
"2021/06/01","25～29",3332499,3133721,6466220,983322,1040009,2023331,29.5,33.2,31.3,4.9,5.2,5.0,"2020/01/01","2021/06/01"
"2021/06/01","30～34",3562668,3387856,6950524,1129216,1144170,2273386,31.7,33.8,32.7,5.6,5.7,5.6,"2020/01/01","2021/06/01"
"2021/06/01","35～39",3938861,3791620,7730481,1244763,1227068,2471831,31.6,32.4,32.0,6.1,6.1,6.1,"2020/01/01","2021/06/01"
"2021/06/01","40～44",4476747,4321668,8798415,1337081,1274548,2611629,29.9,29.5,29.7,6.6,6.3,6.5,"2020/01/01","2021/06/01"
"2021/06/01","45～49",5052054,4908004,9960058,1544970,1464214,3009184,30.6,29.8,30.2,7.6,7.3,7.4,"2020/01/01","2021/06/01"
"2021/06/01","50～54",4370727,4295647,8666374,1523442,1490434,3013876,34.9,34.7,34.8,7.5,7.4,7.5,"2020/01/01","2021/06/01"
"2021/06/01","55～59",3893633,3885044,7778677,1406490,1393381,2799871,36.1,35.9,36.0,6.9,6.9,6.9,"2020/01/01","2021/06/01"
"2021/06/01","60～64",3705990,3778959,7484949,1487015,1458581,2945596,40.1,38.6,39.4,7.3,7.2,7.3,"2020/01/01","2021/06/01"
"2021/06/01","65～69",4136887,4375393,8512280,1608849,1555069,3163918,38.9,35.5,37.2,7.9,7.7,7.8,"2020/01/01","2021/06/01"
"2021/06/01","70～74",4135964,4624192,8760156,1898857,1886843,3785700,45.9,40.8,43.2,9.4,9.3,9.4,"2020/01/01","2021/06/01"
"2021/06/01","75～79",3190582,3961097,7151679,1184838,1261115,2445953,37.1,31.8,34.2,5.8,6.2,6.0,"2020/01/01","2021/06/01"
"2021/06/01","80～84",2169304,3092116,5261420,936806,998700,1935506,43.2,32.3,36.8,4.6,4.9,4.8,"2020/01/01","2021/06/01"
"2021/06/01","85～89",1246148,2296585,3542733,570351,593504,1163855,45.8,25.8,32.9,2.8,2.9,2.9,"2020/01/01","2021/06/01"
"2021/06/01","90～94",462823,1243823,1706646,231814,233200,465014,50.1,18.7,27.2,1.1,1.2,1.1,"2020/01/01","2021/06/01"
"2021/06/01","95～99",86004,393936,479940,52236,55549,107785,60.7,14.1,22.5,0.3,0.3,0.3,"2020/01/01","2021/06/01"
"2021/06/01","100歳以上",8623,63336,71959,5718,8349,14067,66.3,13.2,19.5,0.0,0.0,0.0,"2020/01/01","2021/06/01"
