"算出基準日","都道府県名","市区町村名","総数（人口）","交付枚数","人口に対する交付枚数率","人口算出基準日","交付件数基準日","団体コード"
"2021/05/01","北海道","古宇郡神恵内村",840,195,23.2,"2020/01/01","2021/05/01",14044
"2021/05/01","北海道","積丹郡積丹町",1981,654,33.0,"2020/01/01","2021/05/01",14052
"2021/05/01","北海道","古平郡古平町",3015,804,26.7,"2020/01/01","2021/05/01",14061
"2021/05/01","北海道","余市郡仁木町",3251,695,21.4,"2020/01/01","2021/05/01",14079
"2021/05/01","北海道","余市郡余市町",18564,3717,20.0,"2020/01/01","2021/05/01",14087
"2021/05/01","北海道","余市郡赤井川村",1273,331,26.0,"2020/01/01","2021/05/01",14095
"2021/05/01","北海道","空知郡南幌町",7461,2279,30.5,"2020/01/01","2021/05/01",14231
"2021/05/01","北海道","空知郡奈井江町",5335,2016,37.8,"2020/01/01","2021/05/01",14249
"2021/05/01","北海道","空知郡上砂川町",2874,785,27.3,"2020/01/01","2021/05/01",14257
"2021/05/01","北海道","夕張郡由仁町",5061,1298,25.6,"2020/01/01","2021/05/01",14273
"2021/05/01","北海道","夕張郡長沼町",10649,3100,29.1,"2020/01/01","2021/05/01",14281
"2021/05/01","北海道","夕張郡栗山町",11637,2828,24.3,"2020/01/01","2021/05/01",14290
"2021/05/01","北海道","樺戸郡月形町",3117,724,23.2,"2020/01/01","2021/05/01",14303
"2021/05/01","北海道","樺戸郡浦臼町",1785,510,28.6,"2020/01/01","2021/05/01",14311
"2021/05/01","北海道","樺戸郡新十津川町",6532,1840,28.2,"2020/01/01","2021/05/01",14320
"2021/05/01","北海道","雨竜郡妹背牛町",2902,998,34.4,"2020/01/01","2021/05/01",14338
"2021/05/01","北海道","雨竜郡秩父別町",2401,595,24.8,"2020/01/01","2021/05/01",14346
"2021/05/01","北海道","雨竜郡雨竜町",2323,532,22.9,"2020/01/01","2021/05/01",14362
"2021/05/01","北海道","雨竜郡北竜町",1798,530,29.5,"2020/01/01","2021/05/01",14371
"2021/05/01","北海道","雨竜郡沼田町",3017,1055,35.0,"2020/01/01","2021/05/01",14389
"2021/05/01","北海道","上川郡鷹栖町",6821,1703,25.0,"2020/01/01","2021/05/01",14524
"2021/05/01","北海道","上川郡東神楽町",10239,2614,25.5,"2020/01/01","2021/05/01",14532
"2021/05/01","北海道","上川郡当麻町",6400,1397,21.8,"2020/01/01","2021/05/01",14541
"2021/05/01","北海道","上川郡比布町",3676,993,27.0,"2020/01/01","2021/05/01",14559
"2021/05/01","北海道","上川郡愛別町",2723,1054,38.7,"2020/01/01","2021/05/01",14567
"2021/05/01","北海道","上川郡上川町",3510,945,26.9,"2020/01/01","2021/05/01",14575
"2021/05/01","北海道","上川郡東川町",8380,2318,27.7,"2020/01/01","2021/05/01",14583
"2021/05/01","北海道","上川郡美瑛町",9912,2438,24.6,"2020/01/01","2021/05/01",14591
"2021/05/01","北海道","空知郡上富良野町",10661,3963,37.2,"2020/01/01","2021/05/01",14605
"2021/05/01","北海道","空知郡中富良野町",4938,1859,37.6,"2020/01/01","2021/05/01",14613
"2021/05/01","北海道","空知郡南富良野町",2434,670,27.5,"2020/01/01","2021/05/01",14621
"2021/05/01","北海道","勇払郡占冠村",1613,353,21.9,"2020/01/01","2021/05/01",14630
"2021/05/01","北海道","上川郡和寒町",3278,842,25.7,"2020/01/01","2021/05/01",14648
"2021/05/01","北海道","上川郡剣淵町",3063,670,21.9,"2020/01/01","2021/05/01",14656
"2021/05/01","北海道","上川郡下川町",3254,668,20.5,"2020/01/01","2021/05/01",14681
"2021/05/01","北海道","中川郡美深町",4244,893,21.0,"2020/01/01","2021/05/01",14699
"2021/05/01","北海道","中川郡音威子府村",729,176,24.1,"2020/01/01","2021/05/01",14702
"2021/05/01","北海道","中川郡中川町",1492,359,24.1,"2020/01/01","2021/05/01",14711
"2021/05/01","北海道","雨竜郡幌加内町",1447,399,27.6,"2020/01/01","2021/05/01",14729
"2021/05/01","北海道","増毛郡増毛町",4222,938,22.2,"2020/01/01","2021/05/01",14818
"2021/05/01","北海道","留萌郡小平町",3087,612,19.8,"2020/01/01","2021/05/01",14826
"2021/05/01","北海道","苫前郡苫前町",3034,706,23.3,"2020/01/01","2021/05/01",14834
