"算出基準日","都道府県名","総数（人口）","交付枚数","人口に対する交付枚数率","人口算出基準日","交付枚数算出基準日"
"2022/03/01","北海道",5228732,2022604,38.7,"2021/01/01","2022/03/01"
"2022/03/01","青森県",1260067,462456,36.7,"2021/01/01","2022/03/01"
"2022/03/01","岩手県",1221205,440036,36.0,"2021/01/01","2022/03/01"
"2022/03/01","宮城県",2282106,951726,41.7,"2021/01/01","2022/03/01"
"2022/03/01","秋田県",971604,382553,39.4,"2021/01/01","2022/03/01"
"2022/03/01","山形県",1070017,407178,38.1,"2021/01/01","2022/03/01"
"2022/03/01","福島県",1862777,698663,37.5,"2021/01/01","2022/03/01"
"2022/03/01","茨城県",2907678,1176581,40.5,"2021/01/01","2022/03/01"
"2022/03/01","栃木県",1955402,773468,39.6,"2021/01/01","2022/03/01"
"2022/03/01","群馬県",1958185,701791,35.8,"2021/01/01","2022/03/01"
"2022/03/01","埼玉県",7393849,3017338,40.8,"2021/01/01","2022/03/01"
"2022/03/01","千葉県",6322897,2743251,43.4,"2021/01/01","2022/03/01"
"2022/03/01","東京都",13843525,6404515,46.3,"2021/01/01","2022/03/01"
"2022/03/01","神奈川県",9220245,4231249,45.9,"2021/01/01","2022/03/01"
"2022/03/01","新潟県",2213353,789196,35.7,"2021/01/01","2022/03/01"
"2022/03/01","富山県",1047713,452136,43.2,"2021/01/01","2022/03/01"
"2022/03/01","石川県",1132656,487494,43.0,"2021/01/01","2022/03/01"
"2022/03/01","福井県",774596,325004,42.0,"2021/01/01","2022/03/01"
"2022/03/01","山梨県",821094,321022,39.1,"2021/01/01","2022/03/01"
"2022/03/01","長野県",2072219,755475,36.5,"2021/01/01","2022/03/01"
"2022/03/01","岐阜県",2016868,808404,40.1,"2021/01/01","2022/03/01"
"2022/03/01","静岡県",3686335,1579833,42.9,"2021/01/01","2022/03/01"
"2022/03/01","愛知県",7558872,3192819,42.2,"2021/01/01","2022/03/01"
"2022/03/01","三重県",1800756,764490,42.5,"2021/01/01","2022/03/01"
"2022/03/01","滋賀県",1418886,655390,46.2,"2021/01/01","2022/03/01"
"2022/03/01","京都府",2530609,1076422,42.5,"2021/01/01","2022/03/01"
"2022/03/01","大阪府",8839532,3863235,43.7,"2021/01/01","2022/03/01"
"2022/03/01","兵庫県",5523627,2615300,47.3,"2021/01/01","2022/03/01"
"2022/03/01","奈良県",1344952,627633,46.7,"2021/01/01","2022/03/01"
"2022/03/01","和歌山県",944750,362398,38.4,"2021/01/01","2022/03/01"
"2022/03/01","鳥取県",556959,226376,40.6,"2021/01/01","2022/03/01"
"2022/03/01","島根県",672979,279120,41.5,"2021/01/01","2022/03/01"
"2022/03/01","岡山県",1893874,787342,41.6,"2021/01/01","2022/03/01"
"2022/03/01","広島県",2812477,1207104,42.9,"2021/01/01","2022/03/01"
"2022/03/01","山口県",1356144,598543,44.1,"2021/01/01","2022/03/01"
"2022/03/01","徳島県",735070,298496,40.6,"2021/01/01","2022/03/01"
"2022/03/01","香川県",973922,408516,41.9,"2021/01/01","2022/03/01"
"2022/03/01","愛媛県",1356343,571975,42.2,"2021/01/01","2022/03/01"
"2022/03/01","高知県",701531,242714,34.6,"2021/01/01","2022/03/01"
"2022/03/01","福岡県",5124259,2195584,42.8,"2021/01/01","2022/03/01"
"2022/03/01","佐賀県",818251,343674,42.0,"2021/01/01","2022/03/01"
"2022/03/01","長崎県",1336023,550534,41.2,"2021/01/01","2022/03/01"
"2022/03/01","熊本県",1758815,729619,41.5,"2021/01/01","2022/03/01"
"2022/03/01","大分県",1141784,475196,41.6,"2021/01/01","2022/03/01"
"2022/03/01","宮崎県",1087372,603063,55.5,"2021/01/01","2022/03/01"
"2022/03/01","鹿児島県",1617850,646548,40.0,"2021/01/01","2022/03/01"
"2022/03/01","沖縄県",1485484,505316,34.0,"2021/01/01","2022/03/01"
