"算出基準日","年齢","人口(男)","人口(女)","人口(計)","交付件数(男)","交付件数(女)","交付件数(計)","交付率(男)","交付率(女)","交付率(計)","全体に対する交付件数割合(男)","全体に対する交付件数割合(女)","全体に対する交付件数割合(計)","人口算出基準日","交付枚数算出基準日"
"2022/03/01","全体",61797907,64856337,126654244,26611310,27148070,53759380,43.1,41.9,42.4,100.0,100.0,100.0,"2021/01/01","2022/03/01"
"2022/03/01","0～4歳",2368294,2253015,4621309,557436,532303,1089739,23.5,23.6,23.6,2.1,2.0,2.0,"2021/01/01","2022/03/01"
"2022/03/01","5～9",2671006,2540699,5211705,944161,906207,1850368,35.3,35.7,35.5,3.5,3.3,3.4,"2021/01/01","2022/03/01"
"2022/03/01","10～14",2813693,2672424,5486117,972478,943715,1916193,34.6,35.3,34.9,3.7,3.5,3.6,"2021/01/01","2022/03/01"
"2022/03/01","15～19",2930647,2788116,5718763,1009876,982326,1992202,34.5,35.2,34.8,3.8,3.6,3.7,"2021/01/01","2022/03/01"
"2022/03/01","20～24",3279022,3099426,6378448,1237359,1289058,2526417,37.7,41.6,39.6,4.6,4.7,4.7,"2021/01/01","2022/03/01"
"2022/03/01","25～29",3322243,3122193,6444436,1337073,1451714,2788787,40.2,46.5,43.3,5.0,5.3,5.2,"2021/01/01","2022/03/01"
"2022/03/01","30～34",3477071,3299165,6776236,1485737,1560190,3045927,42.7,47.3,45.0,5.6,5.7,5.7,"2021/01/01","2022/03/01"
"2022/03/01","35～39",3873471,3725116,7598587,1649888,1681894,3331782,42.6,45.2,43.8,6.2,6.2,6.2,"2021/01/01","2022/03/01"
"2022/03/01","40～44",4328567,4176094,8504661,1756252,1754470,3510722,40.6,42.0,41.3,6.6,6.5,6.5,"2021/01/01","2022/03/01"
"2022/03/01","45～49",5036488,4884780,9921268,2015026,1986138,4001164,40.0,40.7,40.3,7.6,7.3,7.4,"2021/01/01","2022/03/01"
"2022/03/01","50～54",4445711,4356821,8802532,2000994,2008823,4009817,45.0,46.1,45.6,7.5,7.4,7.5,"2021/01/01","2022/03/01"
"2022/03/01","55～59",4012379,3996798,8009177,1822375,1852310,3674685,45.4,46.3,45.9,6.8,6.8,6.8,"2021/01/01","2022/03/01"
"2022/03/01","60～64",3671788,3740656,7412444,1845191,1849631,3694822,50.3,49.4,49.8,6.9,6.8,6.9,"2021/01/01","2022/03/01"
"2022/03/01","65～69",3939694,4158810,8098504,1894356,1875898,3770254,48.1,45.1,46.6,7.1,6.9,7.0,"2021/01/01","2022/03/01"
"2022/03/01","70～74",4415966,4921233,9337199,2213971,2265784,4479755,50.1,46.0,48.0,8.3,8.3,8.3,"2021/01/01","2022/03/01"
"2022/03/01","75～79",3073178,3817058,6890236,1574917,1696152,3271069,51.2,44.4,47.5,5.9,6.2,6.1,"2021/01/01","2022/03/01"
"2022/03/01","80～84",2222338,3134063,5356401,1165874,1289513,2455387,52.5,41.1,45.8,4.4,4.7,4.6,"2021/01/01","2022/03/01"
"2022/03/01","85～89",1318085,2384056,3702141,726639,792028,1518667,55.1,33.2,41.0,2.7,2.9,2.8,"2021/01/01","2022/03/01"
"2022/03/01","90～94",491646,1290447,1782093,313752,331779,645531,63.8,25.7,36.2,1.2,1.2,1.2,"2021/01/01","2022/03/01"
"2022/03/01","95～99",97017,424275,521292,78494,84449,162943,80.9,19.9,31.3,0.3,0.3,0.3,"2021/01/01","2022/03/01"
"2022/03/01","100歳以上",9588,71049,80637,9461,13688,23149,98.7,19.3,28.7,0.0,0.1,0.0,"2021/01/01","2022/03/01"
