"算出基準日","都道府県名","市区町村名","総数（人口）","交付枚数","人口に対する交付枚数率","人口算出基準日","交付件数基準日","団体コード"
"2021/07/01","北海道","古宇郡神恵内村",840,224,26.7,"2020/01/01","2021/07/01",14044
"2021/07/01","北海道","積丹郡積丹町",1981,720,36.3,"2020/01/01","2021/07/01",14052
"2021/07/01","北海道","古平郡古平町",3015,909,30.1,"2020/01/01","2021/07/01",14061
"2021/07/01","北海道","余市郡仁木町",3251,812,25.0,"2020/01/01","2021/07/01",14079
"2021/07/01","北海道","余市郡余市町",18564,4467,24.1,"2020/01/01","2021/07/01",14087
"2021/07/01","北海道","余市郡赤井川村",1273,381,29.9,"2020/01/01","2021/07/01",14095
"2021/07/01","北海道","空知郡南幌町",7461,2667,35.7,"2020/01/01","2021/07/01",14231
"2021/07/01","北海道","空知郡奈井江町",5335,2256,42.3,"2020/01/01","2021/07/01",14249
"2021/07/01","北海道","空知郡上砂川町",2874,885,30.8,"2020/01/01","2021/07/01",14257
"2021/07/01","北海道","夕張郡由仁町",5061,1555,30.7,"2020/01/01","2021/07/01",14273
"2021/07/01","北海道","夕張郡長沼町",10649,3654,34.3,"2020/01/01","2021/07/01",14281
"2021/07/01","北海道","夕張郡栗山町",11637,3348,28.8,"2020/01/01","2021/07/01",14290
"2021/07/01","北海道","樺戸郡月形町",3117,874,28.0,"2020/01/01","2021/07/01",14303
"2021/07/01","北海道","樺戸郡浦臼町",1785,564,31.6,"2020/01/01","2021/07/01",14311
"2021/07/01","北海道","樺戸郡新十津川町",6532,2121,32.5,"2020/01/01","2021/07/01",14320
"2021/07/01","北海道","雨竜郡妹背牛町",2902,1126,38.8,"2020/01/01","2021/07/01",14338
"2021/07/01","北海道","雨竜郡秩父別町",2401,680,28.3,"2020/01/01","2021/07/01",14346
"2021/07/01","北海道","雨竜郡雨竜町",2323,621,26.7,"2020/01/01","2021/07/01",14362
"2021/07/01","北海道","雨竜郡北竜町",1798,588,32.7,"2020/01/01","2021/07/01",14371
"2021/07/01","北海道","雨竜郡沼田町",3017,1195,39.6,"2020/01/01","2021/07/01",14389
"2021/07/01","北海道","上川郡鷹栖町",6821,2081,30.5,"2020/01/01","2021/07/01",14524
"2021/07/01","北海道","上川郡東神楽町",10239,3212,31.4,"2020/01/01","2021/07/01",14532
"2021/07/01","北海道","上川郡当麻町",6400,1745,27.3,"2020/01/01","2021/07/01",14541
"2021/07/01","北海道","上川郡比布町",3676,1175,32.0,"2020/01/01","2021/07/01",14559
"2021/07/01","北海道","上川郡愛別町",2723,1296,47.6,"2020/01/01","2021/07/01",14567
"2021/07/01","北海道","上川郡上川町",3510,1086,30.9,"2020/01/01","2021/07/01",14575
"2021/07/01","北海道","上川郡東川町",8380,2676,31.9,"2020/01/01","2021/07/01",14583
"2021/07/01","北海道","上川郡美瑛町",9912,2876,29.0,"2020/01/01","2021/07/01",14591
"2021/07/01","北海道","空知郡上富良野町",10661,4559,42.8,"2020/01/01","2021/07/01",14605
"2021/07/01","北海道","空知郡中富良野町",4938,2081,42.1,"2020/01/01","2021/07/01",14613
"2021/07/01","北海道","空知郡南富良野町",2434,788,32.4,"2020/01/01","2021/07/01",14621
"2021/07/01","北海道","勇払郡占冠村",1613,408,25.3,"2020/01/01","2021/07/01",14630
"2021/07/01","北海道","上川郡和寒町",3278,998,30.4,"2020/01/01","2021/07/01",14648
"2021/07/01","北海道","上川郡剣淵町",3063,806,26.3,"2020/01/01","2021/07/01",14656
"2021/07/01","北海道","上川郡下川町",3254,773,23.8,"2020/01/01","2021/07/01",14681
"2021/07/01","北海道","中川郡美深町",4244,1026,24.2,"2020/01/01","2021/07/01",14699
"2021/07/01","北海道","中川郡音威子府村",729,205,28.1,"2020/01/01","2021/07/01",14702
"2021/07/01","北海道","中川郡中川町",1492,404,27.1,"2020/01/01","2021/07/01",14711
