"算出基準日","年齢","人口(男)","人口(女)","人口(計)","交付件数(男)","交付件数(女)","交付件数(計)","交付率(男)","交付率(女)","交付率(計)","全体に対する交付件数割合(男)","全体に対する交付件数割合(女)","全体に対する交付件数割合(計)","人口算出基準日","交付枚数算出基準日"
"2021/10/01","全体",61797907,64856337,126654244,24123018,24549532,48672550,39.0,37.9,38.4,100.0,100.0,100.0,"2021/01/01","2021/10/01"
"2021/10/01","0～4歳",2368294,2253015,4621309,589997,565376,1155373,24.9,25.1,25.0,2.4,2.3,2.4,"2021/01/01","2021/10/01"
"2021/10/01","5～9",2671006,2540699,5211705,846542,814108,1660650,31.7,32.0,31.9,3.5,3.3,3.4,"2021/01/01","2021/10/01"
"2021/10/01","10～14",2813693,2672424,5486117,843025,819016,1662041,30.0,30.6,30.3,3.5,3.3,3.4,"2021/01/01","2021/10/01"
"2021/10/01","15～19",2930647,2788116,5718763,918911,904390,1823301,31.4,32.4,31.9,3.8,3.7,3.7,"2021/01/01","2021/10/01"
"2021/10/01","20～24",3279022,3099426,6378448,1092285,1167131,2259416,33.3,37.7,35.4,4.5,4.8,4.6,"2021/01/01","2021/10/01"
"2021/10/01","25～29",3322243,3122193,6444436,1193873,1300644,2494517,35.9,41.7,38.7,4.9,5.3,5.1,"2021/01/01","2021/10/01"
"2021/10/01","30～34",3477071,3299165,6776236,1358001,1417700,2775701,39.1,43.0,41.0,5.6,5.8,5.7,"2021/01/01","2021/10/01"
"2021/10/01","35～39",3873471,3725116,7598587,1497068,1524372,3021440,38.6,40.9,39.8,6.2,6.2,6.2,"2021/01/01","2021/10/01"
"2021/10/01","40～44",4328567,4176094,8504661,1613319,1600238,3213557,37.3,38.3,37.8,6.7,6.5,6.6,"2021/01/01","2021/10/01"
"2021/10/01","45～49",5036488,4884780,9921268,1861078,1834778,3695856,37.0,37.6,37.3,7.7,7.5,7.6,"2021/01/01","2021/10/01"
"2021/10/01","50～54",4445711,4356821,8802532,1813893,1830634,3644527,40.8,42.0,41.4,7.5,7.5,7.5,"2021/01/01","2021/10/01"
"2021/10/01","55～59",4012379,3996798,8009177,1641133,1662365,3303498,40.9,41.6,41.2,6.8,6.8,6.8,"2021/01/01","2021/10/01"
"2021/10/01","60～64",3671788,3740656,7412444,1710511,1705539,3416050,46.6,45.6,46.1,7.1,6.9,7.0,"2021/01/01","2021/10/01"
"2021/10/01","65～69",3939694,4158810,8098504,1819102,1796749,3615851,46.2,43.2,44.6,7.5,7.3,7.4,"2021/01/01","2021/10/01"
"2021/10/01","70～74",4415966,4921233,9337199,2128125,2162710,4290835,48.2,43.9,46.0,8.8,8.8,8.8,"2021/01/01","2021/10/01"
"2021/10/01","75～79",3073178,3817058,6890236,1292132,1398267,2690399,42.0,36.6,39.0,5.4,5.7,5.5,"2021/01/01","2021/10/01"
"2021/10/01","80～84",2222338,3134063,5356401,1002825,1090415,2093240,45.1,34.8,39.1,4.2,4.4,4.3,"2021/01/01","2021/10/01"
"2021/10/01","85～89",1318085,2384056,3702141,601947,640972,1242919,45.7,26.9,33.6,2.5,2.6,2.6,"2021/01/01","2021/10/01"
"2021/10/01","90～94",491646,1290447,1782093,240117,247398,487515,48.8,19.2,27.4,1.0,1.0,1.0,"2021/01/01","2021/10/01"
"2021/10/01","95～99",97017,424275,521292,53338,58140,111478,55.0,13.7,21.4,0.2,0.2,0.2,"2021/01/01","2021/10/01"
"2021/10/01","100歳以上",9588,71049,80637,5796,8590,14386,60.5,12.1,17.8,0.0,0.0,0.0,"2021/01/01","2021/10/01"
