"算出基準日","区分","人口","交付枚数","人口に対する交付枚数率","人口算出基準日","交付枚数算出基準日"
"2022/06/01","全国",126654244,56597216,44.7,"2021/01/01","2022/06/01"
"2022/06/01","指定都市",27549061,12980414,47.1,"2021/01/01","2022/06/01"
"2022/06/01","特別区・市（指定都市を除く）",88437937,39311017,44.5,"2021/01/01","2022/06/01"
"2022/06/01","町村",10667246,4305785,40.4,"2021/01/01","2022/06/01"
