"算出基準日","年齢","人口(男)","人口(女)","人口(計)","交付件数(男)","交付件数(女)","交付件数(計)","交付率(男)","交付率(女)","交付率(計)","全体に対する交付件数割合(男)","全体に対する交付件数割合(女)","全体に対する交付件数割合(計)","人口算出基準日","交付枚数算出基準日"
"2022/06/01","全体",61797907,64856337,126654244,27994276,28602940,56597216,45.3,44.1,44.7,100.0,100.0,100.0,"2021/01/01","2022/06/01"
"2022/06/01","0～4歳",2368294,2253015,4621309,606563,579165,1185728,25.6,25.7,25.7,2.2,2.0,2.1,"2021/01/01","2022/06/01"
"2022/06/01","5～9",2671006,2540699,5211705,986489,947096,1933585,36.9,37.3,37.1,3.5,3.3,3.4,"2021/01/01","2022/06/01"
"2022/06/01","10～14",2813693,2672424,5486117,1018101,987557,2005658,36.2,37.0,36.6,3.6,3.5,3.5,"2021/01/01","2022/06/01"
"2022/06/01","15～19",2930647,2788116,5718763,1103802,1070089,2173891,37.7,38.4,38.0,3.9,3.7,3.8,"2021/01/01","2022/06/01"
"2022/06/01","20～24",3279022,3099426,6378448,1337178,1393208,2730386,40.8,45.0,42.8,4.8,4.9,4.8,"2021/01/01","2022/06/01"
"2022/06/01","25～29",3322243,3122193,6444436,1426693,1541234,2967927,42.9,49.4,46.1,5.1,5.4,5.2,"2021/01/01","2022/06/01"
"2022/06/01","30～34",3477071,3299165,6776236,1563453,1636801,3200254,45.0,49.6,47.2,5.6,5.7,5.7,"2021/01/01","2022/06/01"
"2022/06/01","35～39",3873471,3725116,7598587,1725992,1754829,3480821,44.6,47.1,45.8,6.2,6.1,6.2,"2021/01/01","2022/06/01"
"2022/06/01","40～44",4328567,4176094,8504661,1835477,1834925,3670402,42.4,43.9,43.2,6.6,6.4,6.5,"2021/01/01","2022/06/01"
"2022/06/01","45～49",5036488,4884780,9921268,2108182,2081326,4189508,41.9,42.6,42.2,7.5,7.3,7.4,"2021/01/01","2022/06/01"
"2022/06/01","50～54",4445711,4356821,8802532,2089773,2101532,4191305,47.0,48.2,47.6,7.5,7.3,7.4,"2021/01/01","2022/06/01"
"2022/06/01","55～59",4012379,3996798,8009177,1895029,1925379,3820408,47.2,48.2,47.7,6.8,6.7,6.8,"2021/01/01","2022/06/01"
"2022/06/01","60～64",3671788,3740656,7412444,1913869,1915344,3829213,52.1,51.2,51.7,6.8,6.7,6.8,"2021/01/01","2022/06/01"
"2022/06/01","65～69",3939694,4158810,8098504,1954943,1937450,3892393,49.6,46.6,48.1,7.0,6.8,6.9,"2021/01/01","2022/06/01"
"2022/06/01","70～74",4415966,4921233,9337199,2276789,2341946,4618735,51.6,47.6,49.5,8.1,8.2,8.2,"2021/01/01","2022/06/01"
"2022/06/01","75～79",3073178,3817058,6890236,1680821,1822127,3502948,54.7,47.7,50.8,6.0,6.4,6.2,"2021/01/01","2022/06/01"
"2022/06/01","80～84",2222338,3134063,5356401,1270505,1414060,2684565,57.2,45.1,50.1,4.5,4.9,4.7,"2021/01/01","2022/06/01"
"2022/06/01","85～89",1318085,2384056,3702141,780963,861240,1642203,59.2,36.1,44.4,2.8,3.0,2.9,"2021/01/01","2022/06/01"
"2022/06/01","90歳以上",598251,1785771,2384022,419654,457632,877286,70.1,25.6,36.8,1.5,1.6,1.6,"2021/01/01","2022/06/01"
