"算出基準日","年齢","人口(男)","人口(女)","人口(計)","交付件数(男)","交付件数(女)","交付件数(計)","交付率(男)","交付率(女)","交付率(計)","全体に対する交付件数割合(男)","全体に対する交付件数割合(女)","全体に対する交付件数割合(計)","人口算出基準日","交付枚数算出基準日"
"2022/06/30","全体",61797907,64856337,126654244,28336471,28975504,57311975,45.9,44.7,45.3,100.0,100.0,100.0,"2021/01/01","2022/06/30"
"2022/06/30","0～4歳",2368294,2253015,4621309,621445,592970,1214415,26.2,26.3,26.3,2.2,2.0,2.1,"2021/01/01","2022/06/30"
"2022/06/30","5～9",2671006,2540699,5211705,996937,957343,1954280,37.3,37.7,37.5,3.5,3.3,3.4,"2021/01/01","2022/06/30"
"2022/06/30","10～14",2813693,2672424,5486117,1028006,997277,2025283,36.5,37.3,36.9,3.6,3.4,3.5,"2021/01/01","2022/06/30"
"2022/06/30","15～19",2930647,2788116,5718763,1123859,1090753,2214612,38.3,39.1,38.7,4.0,3.8,3.9,"2021/01/01","2022/06/30"
"2022/06/30","20～24",3279022,3099426,6378448,1362704,1420082,2782786,41.6,45.8,43.6,4.8,4.9,4.9,"2021/01/01","2022/06/30"
"2022/06/30","25～29",3322243,3122193,6444436,1452792,1567640,3020432,43.7,50.2,46.9,5.1,5.4,5.3,"2021/01/01","2022/06/30"
"2022/06/30","30～34",3477071,3299165,6776236,1585649,1658197,3243846,45.6,50.3,47.9,5.6,5.7,5.7,"2021/01/01","2022/06/30"
"2022/06/30","35～39",3873471,3725116,7598587,1746797,1775153,3521950,45.1,47.7,46.4,6.2,6.1,6.1,"2021/01/01","2022/06/30"
"2022/06/30","40～44",4328567,4176094,8504661,1856681,1855999,3712680,42.9,44.4,43.7,6.6,6.4,6.5,"2021/01/01","2022/06/30"
"2022/06/30","45～49",5036488,4884780,9921268,2133356,2107075,4240431,42.4,43.1,42.7,7.5,7.3,7.4,"2021/01/01","2022/06/30"
"2022/06/30","50～54",4445711,4356821,8802532,2114383,2126860,4241243,47.6,48.8,48.2,7.5,7.3,7.4,"2021/01/01","2022/06/30"
"2022/06/30","55～59",4012379,3996798,8009177,1914669,1945786,3860455,47.7,48.7,48.2,6.8,6.7,6.7,"2021/01/01","2022/06/30"
"2022/06/30","60～64",3671788,3740656,7412444,1931895,1933900,3865795,52.6,51.7,52.2,6.8,6.7,6.7,"2021/01/01","2022/06/30"
"2022/06/30","65～69",3939694,4158810,8098504,1970311,1954488,3924799,50.0,47.0,48.5,7.0,6.7,6.8,"2021/01/01","2022/06/30"
"2022/06/30","70～74",4415966,4921233,9337199,2293752,2363519,4657271,51.9,48.0,49.9,8.1,8.2,8.1,"2021/01/01","2022/06/30"
"2022/06/30","75～79",3073178,3817058,6890236,1699967,1848864,3548831,55.3,48.4,51.5,6.0,6.4,6.2,"2021/01/01","2022/06/30"
"2022/06/30","80～84",2222338,3134063,5356401,1288912,1439911,2728823,58.0,45.9,50.9,4.5,5.0,4.8,"2021/01/01","2022/06/30"
"2022/06/30","85～89",1318085,2384056,3702141,791174,875826,1667000,60.0,36.7,45.0,2.8,3.0,2.9,"2021/01/01","2022/06/30"
"2022/06/30","90歳以上",598251,1785771,2384022,423182,463861,887043,70.7,26.0,37.2,1.5,1.6,1.5,"2021/01/01","2022/06/30"
