"算出基準日","区分","人口","交付枚数","人口に対する交付枚数率","人口算出基準日","交付枚数算出基準日"
"2021/04/01","全国",127138033,35969563,28.3,"2020/01/01","2021/04/01"
"2021/04/01","特別区",9570609,3135416,32.8,"2020/01/01","2021/04/01"
"2021/04/01","政令指定都市",27540108,8250500,30.0,"2020/01/01","2021/04/01"
"2021/04/01","市（政令指定都市を除く）",79244110,21885873,27.6,"2020/01/01","2021/04/01"
"2021/04/01","町村",10783206,2697774,25.0,"2020/01/01","2021/04/01"
