"算出基準日","都道府県名","市区町村名","総数（人口）","交付枚数","人口に対する交付枚数率","人口算出基準日","交付件数基準日","団体コード"
"2021/04/01","北海道","札幌市",1959313,503176,25.7,"2020/01/01","2021/04/01",11002
"2021/04/01","北海道","函館市",255308,59530,23.3,"2020/01/01","2021/04/01",12025
"2021/04/01","北海道","小樽市",114425,28439,24.9,"2020/01/01","2021/04/01",12033
"2021/04/01","北海道","旭川市",334070,79877,23.9,"2020/01/01","2021/04/01",12041
"2021/04/01","北海道","室蘭市",82977,23427,28.2,"2020/01/01","2021/04/01",12050
"2021/04/01","北海道","釧路市",168086,47742,28.4,"2020/01/01","2021/04/01",12068
"2021/04/01","北海道","帯広市",166043,33669,20.3,"2020/01/01","2021/04/01",12076
"2021/04/01","北海道","北見市",116630,26398,22.6,"2020/01/01","2021/04/01",12084
"2021/04/01","北海道","夕張市",7769,1755,22.6,"2020/01/01","2021/04/01",12092
"2021/04/01","北海道","岩見沢市",80410,20141,25.0,"2020/01/01","2021/04/01",12106
"2021/04/01","北海道","網走市",35039,7908,22.6,"2020/01/01","2021/04/01",12114
"2021/04/01","北海道","留萌市",20715,4997,24.1,"2020/01/01","2021/04/01",12122
"2021/04/01","北海道","苫小牧市",171242,49460,28.9,"2020/01/01","2021/04/01",12131
"2021/04/01","北海道","稚内市",33605,9430,28.1,"2020/01/01","2021/04/01",12149
"2021/04/01","北海道","美唄市",21058,4958,23.5,"2020/01/01","2021/04/01",12157
"2021/04/01","北海道","芦別市",13204,3354,25.4,"2020/01/01","2021/04/01",12165
"2021/04/01","北海道","江別市",119580,29352,24.5,"2020/01/01","2021/04/01",12173
"2021/04/01","北海道","赤平市",9906,2445,24.7,"2020/01/01","2021/04/01",12181
"2021/04/01","北海道","紋別市",21582,4238,19.6,"2020/01/01","2021/04/01",12190
"2021/04/01","北海道","士別市",18562,4637,25.0,"2020/01/01","2021/04/01",12203
"2021/04/01","北海道","名寄市",27277,7741,28.4,"2020/01/01","2021/04/01",12211
"2021/04/01","北海道","三笠市",8302,2431,29.3,"2020/01/01","2021/04/01",12220
"2021/04/01","北海道","根室市",25457,5098,20.0,"2020/01/01","2021/04/01",12238
"2021/04/01","北海道","千歳市",97552,38562,39.5,"2020/01/01","2021/04/01",12246
"2021/04/01","北海道","滝川市",39861,11123,27.9,"2020/01/01","2021/04/01",12254
"2021/04/01","北海道","砂川市",16848,4616,27.4,"2020/01/01","2021/04/01",12262
"2021/04/01","北海道","歌志内市",3130,640,20.4,"2020/01/01","2021/04/01",12271
"2021/04/01","北海道","深川市",20422,4015,19.7,"2020/01/01","2021/04/01",12289
"2021/04/01","北海道","富良野市",21593,5612,26.0,"2020/01/01","2021/04/01",12297
"2021/04/01","北海道","登別市",47608,13341,28.0,"2020/01/01","2021/04/01",12301
"2021/04/01","北海道","恵庭市",70049,22415,32.0,"2020/01/01","2021/04/01",12319
"2021/04/01","北海道","伊達市",33896,8153,24.1,"2020/01/01","2021/04/01",12335
"2021/04/01","北海道","北広島市",58265,13457,23.1,"2020/01/01","2021/04/01",12343
"2021/04/01","北海道","石狩市",58288,13882,23.8,"2020/01/01","2021/04/01",12351
"2021/04/01","北海道","北斗市",46031,9960,21.6,"2020/01/01","2021/04/01",12360
"2021/04/01","北海道","石狩郡当別町",15840,3722,23.5,"2020/01/01","2021/04/01",13030
"2021/04/01","北海道","石狩郡新篠津村",3033,493,16.3,"2020/01/01","2021/04/01",13048
"2021/04/01","北海道","松前郡松前町",6996,2119,30.3,"2020/01/01","2021/04/01",13315
"2021/04/01","北海道","松前郡福島町",3968,1433,36.1,"2020/01/01","2021/04/01",13323
"2021/04/01","北海道","上磯郡知内町",4290,638,14.9,"2020/01/01","2021/04/01",13331
"2021/04/01","北海道","上磯郡木古内町",4066,794,19.5,"2020/01/01","2021/04/01",13340
"2021/04/01","北海道","亀田郡七飯町",28148,6084,21.6,"2020/01/01","2021/04/01",13374
"2021/04/01","北海道","茅部郡鹿部町",3899,1103,28.3,"2020/01/01","2021/04/01",13439
"2021/04/01","北海道","茅部郡森町",15230,3274,21.5,"2020/01/01","2021/04/01",13455
"2021/04/01","北海道","二海郡八雲町",16293,3406,20.9,"2020/01/01","2021/04/01",13463
"2021/04/01","北海道","山越郡長万部町",5271,941,17.9,"2020/01/01","2021/04/01",13471
"2021/04/01","北海道","檜山郡江差町",7488,1500,20.0,"2020/01/01","2021/04/01",13617
"2021/04/01","北海道","檜山郡上ノ国町",4707,797,16.9,"2020/01/01","2021/04/01",13625
"2021/04/01","北海道","檜山郡厚沢部町",3792,572,15.1,"2020/01/01","2021/04/01",13633
"2021/04/01","北海道","爾志郡乙部町",3625,463,12.8,"2020/01/01","2021/04/01",13641
"2021/04/01","北海道","奥尻郡奥尻町",2586,784,30.3,"2020/01/01","2021/04/01",13676
"2021/04/01","北海道","瀬棚郡今金町",5178,1933,37.3,"2020/01/01","2021/04/01",13706
"2021/04/01","北海道","久遠郡せたな町",7743,1284,16.6,"2020/01/01","2021/04/01",13714
"2021/04/01","北海道","島牧郡島牧村",1433,283,19.7,"2020/01/01","2021/04/01",13919
"2021/04/01","北海道","寿都郡寿都町",2948,759,25.7,"2020/01/01","2021/04/01",13927
"2021/04/01","北海道","寿都郡黒松内町",2784,689,24.7,"2020/01/01","2021/04/01",13935
"2021/04/01","北海道","磯谷郡蘭越町",4669,824,17.6,"2020/01/01","2021/04/01",13943
"2021/04/01","北海道","虻田郡ニセコ町",5403,1219,22.6,"2020/01/01","2021/04/01",13951
"2021/04/01","北海道","虻田郡真狩村",2079,440,21.2,"2020/01/01","2021/04/01",13960
"2021/04/01","北海道","虻田郡留寿都村",2070,600,29.0,"2020/01/01","2021/04/01",13978
"2021/04/01","北海道","虻田郡喜茂別町",2201,410,18.6,"2020/01/01","2021/04/01",13986
"2021/04/01","北海道","虻田郡京極町",2979,557,18.7,"2020/01/01","2021/04/01",13994
"2021/04/01","北海道","虻田郡倶知安町",16892,3430,20.3,"2020/01/01","2021/04/01",14001
"2021/04/01","北海道","岩内郡共和町",5858,1560,26.6,"2020/01/01","2021/04/01",14010
"2021/04/01","北海道","岩内郡岩内町",12314,3062,24.9,"2020/01/01","2021/04/01",14028
"2021/04/01","北海道","古宇郡泊村",1613,379,23.5,"2020/01/01","2021/04/01",14036
"2021/04/01","北海道","古宇郡神恵内村",840,178,21.2,"2020/01/01","2021/04/01",14044
"2021/04/01","北海道","積丹郡積丹町",1981,595,30.0,"2020/01/01","2021/04/01",14052
"2021/04/01","北海道","古平郡古平町",3015,754,25.0,"2020/01/01","2021/04/01",14061
"2021/04/01","北海道","余市郡仁木町",3251,602,18.5,"2020/01/01","2021/04/01",14079
"2021/04/01","北海道","余市郡余市町",18564,3622,19.5,"2020/01/01","2021/04/01",14087
"2021/04/01","北海道","余市郡赤井川村",1273,291,22.9,"2020/01/01","2021/04/01",14095
"2021/04/01","北海道","空知郡南幌町",7461,2108,28.3,"2020/01/01","2021/04/01",14231
"2021/04/01","北海道","空知郡奈井江町",5335,1878,35.2,"2020/01/01","2021/04/01",14249
"2021/04/01","北海道","空知郡上砂川町",2874,736,25.6,"2020/01/01","2021/04/01",14257
"2021/04/01","北海道","夕張郡由仁町",5061,1181,23.3,"2020/01/01","2021/04/01",14273
"2021/04/01","北海道","夕張郡長沼町",10649,2846,26.7,"2020/01/01","2021/04/01",14281
"2021/04/01","北海道","夕張郡栗山町",11637,2639,22.7,"2020/01/01","2021/04/01",14290
"2021/04/01","北海道","樺戸郡月形町",3117,650,20.9,"2020/01/01","2021/04/01",14303
"2021/04/01","北海道","樺戸郡浦臼町",1785,483,27.1,"2020/01/01","2021/04/01",14311
"2021/04/01","北海道","樺戸郡新十津川町",6532,1770,27.1,"2020/01/01","2021/04/01",14320
"2021/04/01","北海道","雨竜郡妹背牛町",2902,938,32.3,"2020/01/01","2021/04/01",14338
"2021/04/01","北海道","雨竜郡秩父別町",2401,566,23.6,"2020/01/01","2021/04/01",14346
"2021/04/01","北海道","雨竜郡雨竜町",2323,501,21.6,"2020/01/01","2021/04/01",14362
"2021/04/01","北海道","雨竜郡北竜町",1798,511,28.4,"2020/01/01","2021/04/01",14371
"2021/04/01","北海道","雨竜郡沼田町",3017,1000,33.1,"2020/01/01","2021/04/01",14389
"2021/04/01","北海道","上川郡鷹栖町",6821,1507,22.1,"2020/01/01","2021/04/01",14524
"2021/04/01","北海道","上川郡東神楽町",10239,2390,23.3,"2020/01/01","2021/04/01",14532
"2021/04/01","北海道","上川郡当麻町",6400,1279,20.0,"2020/01/01","2021/04/01",14541
"2021/04/01","北海道","上川郡比布町",3676,911,24.8,"2020/01/01","2021/04/01",14559
"2021/04/01","北海道","上川郡愛別町",2723,921,33.8,"2020/01/01","2021/04/01",14567
"2021/04/01","北海道","上川郡上川町",3510,898,25.6,"2020/01/01","2021/04/01",14575
"2021/04/01","北海道","上川郡東川町",8380,2121,25.3,"2020/01/01","2021/04/01",14583
"2021/04/01","北海道","上川郡美瑛町",9912,2224,22.4,"2020/01/01","2021/04/01",14591
"2021/04/01","北海道","空知郡上富良野町",10661,3743,35.1,"2020/01/01","2021/04/01",14605
"2021/04/01","北海道","空知郡中富良野町",4938,1755,35.5,"2020/01/01","2021/04/01",14613
"2021/04/01","北海道","空知郡南富良野町",2434,624,25.6,"2020/01/01","2021/04/01",14621
"2021/04/01","北海道","勇払郡占冠村",1613,329,20.4,"2020/01/01","2021/04/01",14630
"2021/04/01","北海道","上川郡和寒町",3278,767,23.4,"2020/01/01","2021/04/01",14648
"2021/04/01","北海道","上川郡剣淵町",3063,628,20.5,"2020/01/01","2021/04/01",14656
"2021/04/01","北海道","上川郡下川町",3254,615,18.9,"2020/01/01","2021/04/01",14681
"2021/04/01","北海道","中川郡美深町",4244,849,20.0,"2020/01/01","2021/04/01",14699
"2021/04/01","北海道","中川郡音威子府村",729,163,22.4,"2020/01/01","2021/04/01",14702
"2021/04/01","北海道","中川郡中川町",1492,335,22.5,"2020/01/01","2021/04/01",14711
"2021/04/01","北海道","雨竜郡幌加内町",1447,367,25.4,"2020/01/01","2021/04/01",14729
"2021/04/01","北海道","増毛郡増毛町",4222,872,20.7,"2020/01/01","2021/04/01",14818
"2021/04/01","北海道","留萌郡小平町",3087,569,18.4,"2020/01/01","2021/04/01",14826
"2021/04/01","北海道","苫前郡苫前町",3034,642,21.2,"2020/01/01","2021/04/01",14834
"2021/04/01","北海道","苫前郡羽幌町",6796,1487,21.9,"2020/01/01","2021/04/01",14842
"2021/04/01","北海道","苫前郡初山別村",1152,289,25.1,"2020/01/01","2021/04/01",14851
"2021/04/01","北海道","天塩郡遠別町",2626,463,17.6,"2020/01/01","2021/04/01",14869
"2021/04/01","北海道","天塩郡天塩町",3006,812,27.0,"2020/01/01","2021/04/01",14877
"2021/04/01","北海道","宗谷郡猿払村",2766,996,36.0,"2020/01/01","2021/04/01",15113
"2021/04/01","北海道","枝幸郡浜頓別町",3535,786,22.2,"2020/01/01","2021/04/01",15121
"2021/04/01","北海道","枝幸郡中頓別町",1679,291,17.3,"2020/01/01","2021/04/01",15130
