"算出基準日","区分","","人口","交付枚数","人口に対する交付枚数率","人口算出基準日","交付枚数算出基準日"
"2020/07/01","全国","",127443563,22254189,17.5,"2019/01/01","2020/07/01"
"2020/07/01","","特別区",9486618,2182393,23.0,"2019/01/01","2020/07/01"
"2020/07/01","","政令指定都市",27488569,5106442,18.6,"2019/01/01","2020/07/01"
"2020/07/01","","市（政令指定都市を除く）",79573258,13357877,16.8,"2019/01/01","2020/07/01"
"2020/07/01","","町村",10895118,1607477,14.8,"2019/01/01","2020/07/01"
