"算出基準日","区分","人口","交付枚数","人口に対する交付枚数率","人口算出基準日","交付枚数算出基準日"
"2017/03/08","全国",128066211,10717919,8.4,"2016/01/01","2017/03/08"
"2017/03/08","特別区",9205712,926543,10.1,"2016/01/01","2017/03/08"
"2017/03/08","政令指定都市",27333950,2478623,9.1,"2016/01/01","2017/03/08"
"2017/03/08","市（政令指定都市を除く）",80281895,6499599,8.1,"2016/01/01","2017/03/08"
"2017/03/08","町村",11244654,813154,7.2,"2016/01/01","2017/03/08"
