"算出基準日","都道府県名","市区町村名","総数（人口）","交付枚数","人口に対する交付枚数率","人口算出基準日","交付件数基準日","団体コード"
"2020/01/20","北海道","札幌市",1955457,252895,12.9,"2019/01/01","2020/01/20",11002
"2020/01/20","北海道","函館市",258948,30183,11.7,"2019/01/01","2020/01/20",12025
"2020/01/20","北海道","小樽市",116529,14925,12.8,"2019/01/01","2020/01/20",12033
"2020/01/20","北海道","旭川市",337392,37459,11.1,"2019/01/01","2020/01/20",12041
"2020/01/20","北海道","室蘭市",84405,12621,15.0,"2019/01/01","2020/01/20",12050
"2020/01/20","北海道","釧路市",170364,23967,14.1,"2019/01/01","2020/01/20",12068
"2020/01/20","北海道","帯広市",166889,18366,11.0,"2019/01/01","2020/01/20",12076
"2020/01/20","北海道","北見市",117806,15314,13.0,"2019/01/01","2020/01/20",12084
"2020/01/20","北海道","夕張市",8087,1138,14.1,"2019/01/01","2020/01/20",12092
"2020/01/20","北海道","岩見沢市",81778,10552,12.9,"2019/01/01","2020/01/20",12106
"2020/01/20","北海道","網走市",35704,4507,12.6,"2019/01/01","2020/01/20",12114
"2020/01/20","北海道","留萌市",21310,2598,12.2,"2019/01/01","2020/01/20",12122
"2020/01/20","北海道","苫小牧市",171811,26705,15.5,"2019/01/01","2020/01/20",12131
"2020/01/20","北海道","稚内市",34249,5154,15.0,"2019/01/01","2020/01/20",12149
"2020/01/20","北海道","美唄市",21602,2528,11.7,"2019/01/01","2020/01/20",12157
"2020/01/20","北海道","芦別市",13635,1894,13.9,"2019/01/01","2020/01/20",12165
"2020/01/20","北海道","江別市",118985,13364,11.2,"2019/01/01","2020/01/20",12173
"2020/01/20","北海道","赤平市",10186,1583,15.5,"2019/01/01","2020/01/20",12181
"2020/01/20","北海道","紋別市",22044,1971,8.9,"2019/01/01","2020/01/20",12190
"2020/01/20","北海道","士別市",18965,2259,11.9,"2019/01/01","2020/01/20",12203
"2020/01/20","北海道","名寄市",27582,3475,12.6,"2019/01/01","2020/01/20",12211
"2020/01/20","北海道","三笠市",8562,1177,13.7,"2019/01/01","2020/01/20",12220
"2020/01/20","北海道","根室市",25953,2529,9.7,"2019/01/01","2020/01/20",12238
"2020/01/20","北海道","千歳市",97061,17602,18.1,"2019/01/01","2020/01/20",12246
"2020/01/20","北海道","滝川市",40365,5111,12.7,"2019/01/01","2020/01/20",12254
"2020/01/20","北海道","砂川市",17137,2689,15.7,"2019/01/01","2020/01/20",12262
"2020/01/20","北海道","歌志内市",3275,455,13.9,"2019/01/01","2020/01/20",12271
"2020/01/20","北海道","深川市",20804,2045,9.8,"2019/01/01","2020/01/20",12289
"2020/01/20","北海道","富良野市",21921,2973,13.6,"2019/01/01","2020/01/20",12297
"2020/01/20","北海道","登別市",48395,6755,14.0,"2019/01/01","2020/01/20",12301
"2020/01/20","北海道","恵庭市",69850,10886,15.6,"2019/01/01","2020/01/20",12319
"2020/01/20","北海道","伊達市",34365,3915,11.4,"2019/01/01","2020/01/20",12335
"2020/01/20","北海道","北広島市",58630,6807,11.6,"2019/01/01","2020/01/20",12343
"2020/01/20","北海道","石狩市",58345,7633,13.1,"2019/01/01","2020/01/20",12351
"2020/01/20","北海道","北斗市",46487,4316,9.3,"2019/01/01","2020/01/20",12360
"2020/01/20","北海道","石狩郡当別町",16061,2047,12.7,"2019/01/01","2020/01/20",13030
"2020/01/20","北海道","石狩郡新篠津村",3101,239,7.7,"2019/01/01","2020/01/20",13048
"2020/01/20","北海道","松前郡松前町",7257,1015,14.0,"2019/01/01","2020/01/20",13315
"2020/01/20","北海道","松前郡福島町",4107,349,8.5,"2019/01/01","2020/01/20",13323
"2020/01/20","北海道","上磯郡知内町",4388,339,7.7,"2019/01/01","2020/01/20",13331
"2020/01/20","北海道","上磯郡木古内町",4176,527,12.6,"2019/01/01","2020/01/20",13340
"2020/01/20","北海道","亀田郡七飯町",28288,3050,10.8,"2019/01/01","2020/01/20",13374
"2020/01/20","北海道","茅部郡鹿部町",3961,418,10.6,"2019/01/01","2020/01/20",13439
"2020/01/20","北海道","茅部郡森町",15575,1694,10.9,"2019/01/01","2020/01/20",13455
"2020/01/20","北海道","二海郡八雲町",16685,1764,10.6,"2019/01/01","2020/01/20",13463
"2020/01/20","北海道","山越郡長万部町",5493,568,10.3,"2019/01/01","2020/01/20",13471
"2020/01/20","北海道","檜山郡江差町",7732,836,10.8,"2019/01/01","2020/01/20",13617
"2020/01/20","北海道","檜山郡上ノ国町",4851,501,10.3,"2019/01/01","2020/01/20",13625
"2020/01/20","北海道","檜山郡厚沢部町",3880,364,9.4,"2019/01/01","2020/01/20",13633
"2020/01/20","北海道","爾志郡乙部町",3723,219,5.9,"2019/01/01","2020/01/20",13641
"2020/01/20","北海道","奥尻郡奥尻町",2655,324,12.2,"2019/01/01","2020/01/20",13676
"2020/01/20","北海道","瀬棚郡今金町",5356,1013,18.9,"2019/01/01","2020/01/20",13706
"2020/01/20","北海道","久遠郡せたな町",7971,658,8.3,"2019/01/01","2020/01/20",13714
"2020/01/20","北海道","島牧郡島牧村",1477,180,12.2,"2019/01/01","2020/01/20",13919
"2020/01/20","北海道","寿都郡寿都町",2994,426,14.2,"2019/01/01","2020/01/20",13927
"2020/01/20","北海道","寿都郡黒松内町",2837,277,9.8,"2019/01/01","2020/01/20",13935
"2020/01/20","北海道","磯谷郡蘭越町",4717,496,10.5,"2019/01/01","2020/01/20",13943
"2020/01/20","北海道","虻田郡ニセコ町",5298,505,9.5,"2019/01/01","2020/01/20",13951
"2020/01/20","北海道","虻田郡真狩村",2102,188,8.9,"2019/01/01","2020/01/20",13960
"2020/01/20","北海道","虻田郡留寿都村",2047,245,12.0,"2019/01/01","2020/01/20",13978
"2020/01/20","北海道","虻田郡喜茂別町",2209,177,8.0,"2019/01/01","2020/01/20",13986
"2020/01/20","北海道","虻田郡京極町",3042,245,8.1,"2019/01/01","2020/01/20",13994
"2020/01/20","北海道","虻田郡倶知安町",16642,1823,11.0,"2019/01/01","2020/01/20",14001
