"算出基準日","年齢","人口(男)","人口(女)","人口(計)","交付件数(男)","交付件数(女)","交付件数(計)","交付率(男)","交付率(女)","交付率(計)","全体に対する交付件数割合(男)","全体に対する交付件数割合(女)","全体に対する交付件数割合(計)","人口算出基準日","交付枚数算出基準日"
"2020/01/20","全体",62174142,"","65,269,421 127,443,563",10064523,9036748,19101271,16.2,13.8,15.0,100.0,100.0,100.0,"2019/01/01","2020/01/20"
"2020/01/20","0～4歳",2521289,2396069,4917358,71103,66609,137712,2.8,2.8,2.8,0.7,0.7,0.7,"2019/01/01","2020/01/20"
"2020/01/20","5～9",2732810,2597758,5330568,120583,116787,237370,4.4,4.5,4.5,1.2,1.3,1.2,"2019/01/01","2020/01/20"
"2020/01/20","10～14",2823910,2686588,5510498,115759,121281,237040,4.1,4.5,4.3,1.2,1.3,1.2,"2019/01/01","2020/01/20"
"2020/01/20","15～19",3041288,2892530,5933818,187526,195707,383233,6.2,6.8,6.5,1.9,2.2,2.0,"2019/01/01","2020/01/20"
"2020/01/20","20～24",3296677,3124747,6421424,376077,396404,772481,11.4,12.7,12.0,3.7,4.4,4.0,"2019/01/01","2020/01/20"
"2020/01/20","25～29",3310343,3124346,6434689,473001,451884,924885,14.3,14.5,14.4,4.7,5.0,4.8,"2019/01/01","2020/01/20"
"2020/01/20","30～34",3658968,3493161,7152129,537891,479218,1017109,14.7,13.7,14.2,5.3,5.3,5.3,"2019/01/01","2020/01/20"
"2020/01/20","35～39",4002907,3856691,7859598,570514,472450,1042964,14.3,12.3,13.3,5.7,5.2,5.5,"2019/01/01","2020/01/20"
"2020/01/20","40～44",4656293,4495779,9152072,620889,479346,1100235,13.3,10.7,12.0,6.2,5.3,5.8,"2019/01/01","2020/01/20"
"2020/01/20","45～49",4983034,4848511,9831545,704487,545697,1250184,14.1,11.3,12.7,7.0,6.0,6.5,"2019/01/01","2020/01/20"
"2020/01/20","50～54",4272064,4205832,8477896,689409,551991,1241400,16.1,13.1,14.6,6.8,6.1,6.5,"2019/01/01","2020/01/20"
"2020/01/20","55～59",3832181,3829920,7662101,732232,604022,1336254,19.1,15.8,17.4,7.3,6.7,7.0,"2019/01/01","2020/01/20"
"2020/01/20","60～64",3749568,3824988,7574556,820221,707065,1527286,21.9,18.5,20.2,8.1,7.8,8.0,"2019/01/01","2020/01/20"
"2020/01/20","65～69",4439844,4717535,9157379,993701,880061,1873762,22.4,18.7,20.5,9.9,9.7,9.8,"2019/01/01","2020/01/20"
"2020/01/20","70～74",3881182,4364234,8245416,1040637,978938,2019575,26.8,22.4,24.5,10.3,10.8,10.6,"2019/01/01","2020/01/20"
"2020/01/20","75～79",3098224,3842998,6941222,881921,896582,1778503,28.5,23.3,25.6,8.8,9.9,9.3,"2019/01/01","2020/01/20"
"2020/01/20","80～84",2147070,3089298,5236368,620167,608366,1228533,28.9,19.7,23.5,6.2,6.7,6.4,"2019/01/01","2020/01/20"
"2020/01/20","85～89",1202685,2251901,3454586,357556,338819,696375,29.7,15.0,20.2,3.6,3.7,3.6,"2019/01/01","2020/01/20"
"2020/01/20","90～94",437923,1193961,1631884,128206,119296,247502,29.3,10.0,15.2,1.3,1.3,1.3,"2019/01/01","2020/01/20"
"2020/01/20","95～99",77620,371776,449396,20747,23274,44021,26.7,6.3,9.8,0.2,0.3,0.2,"2019/01/01","2020/01/20"
"2020/01/20","100歳以上",8241,60749,68990,1896,2951,4847,23.0,4.9,7.0,0.0,0.0,0.0,"2019/01/01","2020/01/20"
