"算出基準日","区分","人口","交付枚数","人口に対する交付枚数率","人口算出基準日","交付枚数算出基準日"
"2021/08/01","全国",126654244,45631741,36.0,"2021/01/01","2021/08/01"
"2021/08/01","特別区",9572763,3734476,39.0,"2021/01/01","2021/08/01"
"2021/08/01","指定都市",27549061,10400044,37.8,"2021/01/01","2021/08/01"
"2021/08/01","市（指定都市を除く）",78865174,27960699,35.5,"2021/01/01","2021/08/01"
"2021/08/01","町村",10667246,3536522,33.2,"2021/01/01","2021/08/01"
