"算出基準日","都道府県名","市区町村名","総数（人口）","交付枚数","人口に対する交付枚数率","人口算出基準日","交付件数基準日","団体コード"
"2021/08/01","北海道","札幌市",1961575,644706,32.9,"2021/01/01","2021/08/01",11002
"2021/08/01","北海道","函館市",251891,80520,32.0,"2021/01/01","2021/08/01",12025
"2021/08/01","北海道","小樽市",112450,36660,32.6,"2021/01/01","2021/08/01",12033
"2021/08/01","北海道","旭川市",331397,102794,31.0,"2021/01/01","2021/08/01",12041
"2021/08/01","北海道","室蘭市",81579,30833,37.8,"2021/01/01","2021/08/01",12050
"2021/08/01","北海道","釧路市",165667,59761,36.1,"2021/01/01","2021/08/01",12068
"2021/08/01","北海道","帯広市",165670,45493,27.5,"2021/01/01","2021/08/01",12076
"2021/08/01","北海道","北見市",115435,35142,30.4,"2021/01/01","2021/08/01",12084
"2021/08/01","北海道","夕張市",7430,2195,29.5,"2021/01/01","2021/08/01",12092
"2021/08/01","北海道","岩見沢市",79352,26097,32.9,"2021/01/01","2021/08/01",12106
"2021/08/01","北海道","網走市",34640,10106,29.2,"2021/01/01","2021/08/01",12114
"2021/08/01","北海道","留萌市",20257,6474,32.0,"2021/01/01","2021/08/01",12122
"2021/08/01","北海道","苫小牧市",170205,63070,37.1,"2021/01/01","2021/08/01",12131
"2021/08/01","北海道","稚内市",33032,11704,35.4,"2021/01/01","2021/08/01",12149
"2021/08/01","北海道","美唄市",20504,6109,29.8,"2021/01/01","2021/08/01",12157
"2021/08/01","北海道","芦別市",12774,4211,33.0,"2021/01/01","2021/08/01",12165
"2021/08/01","北海道","江別市",119815,37571,31.4,"2021/01/01","2021/08/01",12173
"2021/08/01","北海道","赤平市",9642,3127,32.4,"2021/01/01","2021/08/01",12181
"2021/08/01","北海道","紋別市",21317,5599,26.3,"2021/01/01","2021/08/01",12190
"2021/08/01","北海道","士別市",18134,5959,32.9,"2021/01/01","2021/08/01",12203
"2021/08/01","北海道","名寄市",27059,9515,35.2,"2021/01/01","2021/08/01",12211
"2021/08/01","北海道","三笠市",8148,2870,35.2,"2021/01/01","2021/08/01",12220
"2021/08/01","北海道","根室市",24858,7004,28.2,"2021/01/01","2021/08/01",12238
"2021/08/01","北海道","千歳市",97942,46611,47.6,"2021/01/01","2021/08/01",12246
"2021/08/01","北海道","滝川市",39264,15790,40.2,"2021/01/01","2021/08/01",12254
"2021/08/01","北海道","砂川市",16505,5893,35.7,"2021/01/01","2021/08/01",12262
"2021/08/01","北海道","歌志内市",3019,731,24.2,"2021/01/01","2021/08/01",12271
"2021/08/01","北海道","深川市",20085,5632,28.0,"2021/01/01","2021/08/01",12289
"2021/08/01","北海道","富良野市",21071,7262,34.5,"2021/01/01","2021/08/01",12297
"2021/08/01","北海道","登別市",46833,16639,35.5,"2021/01/01","2021/08/01",12301
"2021/08/01","北海道","恵庭市",70097,28548,40.7,"2021/01/01","2021/08/01",12319
"2021/08/01","北海道","伊達市",33406,11051,33.1,"2021/01/01","2021/08/01",12335
"2021/08/01","北海道","北広島市",58130,17355,29.9,"2021/01/01","2021/08/01",12343
"2021/08/01","北海道","石狩市",58282,18496,31.7,"2021/01/01","2021/08/01",12351
"2021/08/01","北海道","北斗市",45657,13763,30.1,"2021/01/01","2021/08/01",12360
"2021/08/01","北海道","石狩郡当別町",15618,4705,30.1,"2021/01/01","2021/08/01",13030
"2021/08/01","北海道","石狩郡新篠津村",2979,670,22.5,"2021/01/01","2021/08/01",13048
"2021/08/01","北海道","松前郡松前町",6753,2628,38.9,"2021/01/01","2021/08/01",13315
"2021/08/01","北海道","松前郡福島町",3859,1684,43.6,"2021/01/01","2021/08/01",13323
"2021/08/01","北海道","上磯郡知内町",4198,910,21.7,"2021/01/01","2021/08/01",13331
"2021/08/01","北海道","上磯郡木古内町",3956,1022,25.8,"2021/01/01","2021/08/01",13340
"2021/08/01","北海道","亀田郡七飯町",28072,8222,29.3,"2021/01/01","2021/08/01",13374
"2021/08/01","北海道","茅部郡鹿部町",3811,1261,33.1,"2021/01/01","2021/08/01",13439
"2021/08/01","北海道","茅部郡森町",14849,4309,29.0,"2021/01/01","2021/08/01",13455
"2021/08/01","北海道","二海郡八雲町",15673,4404,28.1,"2021/01/01","2021/08/01",13463
"2021/08/01","北海道","山越郡長万部町",5111,1174,23.0,"2021/01/01","2021/08/01",13471
"2021/08/01","北海道","檜山郡江差町",7310,1917,26.2,"2021/01/01","2021/08/01",13617
"2021/08/01","北海道","檜山郡上ノ国町",4615,1040,22.5,"2021/01/01","2021/08/01",13625
"2021/08/01","北海道","檜山郡厚沢部町",3701,716,19.3,"2021/01/01","2021/08/01",13633
"2021/08/01","北海道","爾志郡乙部町",3520,619,17.6,"2021/01/01","2021/08/01",13641
"2021/08/01","北海道","奥尻郡奥尻町",2498,972,38.9,"2021/01/01","2021/08/01",13676
"2021/08/01","北海道","瀬棚郡今金町",5054,2399,47.5,"2021/01/01","2021/08/01",13706
"2021/08/01","北海道","久遠郡せたな町",7563,1644,21.7,"2021/01/01","2021/08/01",13714
"2021/08/01","北海道","島牧郡島牧村",1410,343,24.3,"2021/01/01","2021/08/01",13919
"2021/08/01","北海道","寿都郡寿都町",2887,855,29.6,"2021/01/01","2021/08/01",13927
"2021/08/01","北海道","寿都郡黒松内町",2735,794,29.0,"2021/01/01","2021/08/01",13935
"2021/08/01","北海道","磯谷郡蘭越町",4605,1085,23.6,"2021/01/01","2021/08/01",13943
"2021/08/01","北海道","虻田郡ニセコ町",4996,1602,32.1,"2021/01/01","2021/08/01",13951
"2021/08/01","北海道","虻田郡真狩村",2010,613,30.5,"2021/01/01","2021/08/01",13960
