"算出基準日","都道府県名","市区町村名","総数（人口）","交付枚数","人口に対する交付枚数率","人口算出基準日","交付件数基準日"
"2017/12/01","北海道","札幌市",1947494,173034,8.9,"2017/01/01","2017/12/01"
"2017/12/01","北海道","函館市",265503,22602,8.5,"2017/01/01","2017/12/01"
"2017/12/01","北海道","小樽市",120769,11371,9.4,"2017/01/01","2017/12/01"
"2017/12/01","北海道","旭川市",342848,25895,7.6,"2017/01/01","2017/12/01"
"2017/12/01","北海道","室蘭市",87180,9578,11.0,"2017/01/01","2017/12/01"
"2017/12/01","北海道","釧路市",174518,15349,8.8,"2017/01/01","2017/12/01"
"2017/12/01","北海道","帯広市",168096,13859,8.2,"2017/01/01","2017/12/01"
"2017/12/01","北海道","北見市",119978,11258,9.4,"2017/01/01","2017/12/01"
"2017/12/01","北海道","夕張市",8685,996,11.5,"2017/01/01","2017/12/01"
"2017/12/01","北海道","岩見沢市",83942,7709,9.2,"2017/01/01","2017/12/01"
"2017/12/01","北海道","網走市",36912,3532,9.6,"2017/01/01","2017/12/01"
"2017/12/01","北海道","留萌市",22137,1951,8.8,"2017/01/01","2017/12/01"
"2017/12/01","北海道","苫小牧市",173135,17966,10.4,"2017/01/01","2017/12/01"
"2017/12/01","北海道","稚内市",35490,3866,10.9,"2017/01/01","2017/12/01"
"2017/12/01","北海道","美唄市",22724,1994,8.8,"2017/01/01","2017/12/01"
"2017/12/01","北海道","芦別市",14512,1518,10.5,"2017/01/01","2017/12/01"
"2017/12/01","北海道","江別市",119182,9573,8.0,"2017/01/01","2017/12/01"
"2017/12/01","北海道","赤平市",10772,1241,11.5,"2017/01/01","2017/12/01"
"2017/12/01","北海道","紋別市",22866,1494,6.5,"2017/01/01","2017/12/01"
"2017/12/01","北海道","士別市",19699,1745,8.9,"2017/01/01","2017/12/01"
"2017/12/01","北海道","名寄市",28280,2666,9.4,"2017/01/01","2017/12/01"
"2017/12/01","北海道","三笠市",9001,976,10.8,"2017/01/01","2017/12/01"
"2017/12/01","北海道","根室市",27018,1911,7.1,"2017/01/01","2017/12/01"
"2017/12/01","北海道","千歳市",96428,11311,11.7,"2017/01/01","2017/12/01"
"2017/12/01","北海道","滝川市",41241,4027,9.8,"2017/01/01","2017/12/01"
"2017/12/01","北海道","砂川市",17565,1727,9.8,"2017/01/01","2017/12/01"
"2017/12/01","北海道","歌志内市",3524,354,10.0,"2017/01/01","2017/12/01"
"2017/12/01","北海道","深川市",21597,1635,7.6,"2017/01/01","2017/12/01"
"2017/12/01","北海道","富良野市",22598,2362,10.5,"2017/01/01","2017/12/01"
"2017/12/01","北海道","登別市",49440,4749,9.6,"2017/01/01","2017/12/01"
"2017/12/01","北海道","恵庭市",69227,7237,10.5,"2017/01/01","2017/12/01"
"2017/12/01","北海道","伊達市",35098,3110,8.9,"2017/01/01","2017/12/01"
"2017/12/01","北海道","北広島市",59133,4967,8.4,"2017/01/01","2017/12/01"
"2017/12/01","北海道","石狩市",58950,5570,9.4,"2017/01/01","2017/12/01"
"2017/12/01","北海道","北斗市",47181,3306,7.0,"2017/01/01","2017/12/01"
"2017/12/01","北海道","石狩郡当別町",16602,1604,9.7,"2017/01/01","2017/12/01"
"2017/12/01","北海道","石狩郡新篠津村",3220,197,6.1,"2017/01/01","2017/12/01"
"2017/12/01","北海道","松前郡松前町",7793,765,9.8,"2017/01/01","2017/12/01"
"2017/12/01","北海道","松前郡福島町",4347,302,6.9,"2017/01/01","2017/12/01"
"2017/12/01","北海道","上磯郡知内町",4583,225,4.9,"2017/01/01","2017/12/01"
"2017/12/01","北海道","上磯郡木古内町",4431,377,8.5,"2017/01/01","2017/12/01"
"2017/12/01","北海道","亀田郡七飯町",28574,2378,8.3,"2017/01/01","2017/12/01"
"2017/12/01","北海道","茅部郡鹿部町",4082,333,8.2,"2017/01/01","2017/12/01"
"2017/12/01","北海道","茅部郡森町",16255,1054,6.5,"2017/01/01","2017/12/01"
"2017/12/01","北海道","二海郡八雲町",17277,1306,7.6,"2017/01/01","2017/12/01"
"2017/12/01","北海道","山越郡長万部町",5625,422,7.5,"2017/01/01","2017/12/01"
"2017/12/01","北海道","檜山郡江差町",8084,624,7.7,"2017/01/01","2017/12/01"
"2017/12/01","北海道","檜山郡上ノ国町",5131,360,7.0,"2017/01/01","2017/12/01"
"2017/12/01","北海道","檜山郡厚沢部町",4111,293,7.1,"2017/01/01","2017/12/01"
"2017/12/01","北海道","爾志郡乙部町",3919,165,4.2,"2017/01/01","2017/12/01"
"2017/12/01","北海道","奥尻郡奥尻町",2795,220,7.9,"2017/01/01","2017/12/01"
"2017/12/01","北海道","瀬棚郡今金町",5544,580,10.5,"2017/01/01","2017/12/01"
