"算出基準日","都道府県名","総数（人口）","交付枚数","人口に対する交付枚数率","人口算出基準日","交付枚数算出基準日"
"2022/02/01","北海道",5228732,1983473,37.9,"2021/01/01","2022/02/01"
"2022/02/01","青森県",1260067,454991,36.1,"2021/01/01","2022/02/01"
"2022/02/01","岩手県",1221205,433046,35.5,"2021/01/01","2022/02/01"
"2022/02/01","宮城県",2282106,937540,41.1,"2021/01/01","2022/02/01"
"2022/02/01","秋田県",971604,377130,38.8,"2021/01/01","2022/02/01"
"2022/02/01","山形県",1070017,400343,37.4,"2021/01/01","2022/02/01"
"2022/02/01","福島県",1862777,686240,36.8,"2021/01/01","2022/02/01"
"2022/02/01","茨城県",2907678,1157185,39.8,"2021/01/01","2022/02/01"
"2022/02/01","栃木県",1955402,760040,38.9,"2021/01/01","2022/02/01"
"2022/02/01","群馬県",1958185,689946,35.2,"2021/01/01","2022/02/01"
"2022/02/01","埼玉県",7393849,2966537,40.1,"2021/01/01","2022/02/01"
"2022/02/01","千葉県",6322897,2697491,42.7,"2021/01/01","2022/02/01"
"2022/02/01","東京都",13843525,6293427,45.5,"2021/01/01","2022/02/01"
"2022/02/01","神奈川県",9220245,4158219,45.1,"2021/01/01","2022/02/01"
"2022/02/01","新潟県",2213353,773169,34.9,"2021/01/01","2022/02/01"
"2022/02/01","富山県",1047713,445265,42.5,"2021/01/01","2022/02/01"
"2022/02/01","石川県",1132656,480193,42.4,"2021/01/01","2022/02/01"
"2022/02/01","福井県",774596,318516,41.1,"2021/01/01","2022/02/01"
"2022/02/01","山梨県",821094,315835,38.5,"2021/01/01","2022/02/01"
"2022/02/01","長野県",2072219,743002,35.9,"2021/01/01","2022/02/01"
"2022/02/01","岐阜県",2016868,794883,39.4,"2021/01/01","2022/02/01"
"2022/02/01","静岡県",3686335,1551686,42.1,"2021/01/01","2022/02/01"
"2022/02/01","愛知県",7558872,3142642,41.6,"2021/01/01","2022/02/01"
"2022/02/01","三重県",1800756,752962,41.8,"2021/01/01","2022/02/01"
"2022/02/01","滋賀県",1418886,645728,45.5,"2021/01/01","2022/02/01"
"2022/02/01","京都府",2530609,1059006,41.8,"2021/01/01","2022/02/01"
"2022/02/01","大阪府",8839532,3805904,43.1,"2021/01/01","2022/02/01"
"2022/02/01","兵庫県",5523627,2578957,46.7,"2021/01/01","2022/02/01"
"2022/02/01","奈良県",1344952,619610,46.1,"2021/01/01","2022/02/01"
"2022/02/01","和歌山県",944750,356461,37.7,"2021/01/01","2022/02/01"
"2022/02/01","鳥取県",556959,222360,39.9,"2021/01/01","2022/02/01"
"2022/02/01","島根県",672979,274654,40.8,"2021/01/01","2022/02/01"
"2022/02/01","岡山県",1893874,774509,40.9,"2021/01/01","2022/02/01"
"2022/02/01","広島県",2812477,1188301,42.3,"2021/01/01","2022/02/01"
"2022/02/01","山口県",1356144,590125,43.5,"2021/01/01","2022/02/01"
"2022/02/01","徳島県",735070,295298,40.2,"2021/01/01","2022/02/01"
"2022/02/01","香川県",973922,403414,41.4,"2021/01/01","2022/02/01"
"2022/02/01","愛媛県",1356343,564220,41.6,"2021/01/01","2022/02/01"
"2022/02/01","高知県",701531,239038,34.1,"2021/01/01","2022/02/01"
"2022/02/01","福岡県",5124259,2158260,42.1,"2021/01/01","2022/02/01"
"2022/02/01","佐賀県",818251,337925,41.3,"2021/01/01","2022/02/01"
"2022/02/01","長崎県",1336023,541722,40.5,"2021/01/01","2022/02/01"
"2022/02/01","熊本県",1758815,717206,40.8,"2021/01/01","2022/02/01"
"2022/02/01","大分県",1141784,468091,41.0,"2021/01/01","2022/02/01"
"2022/02/01","宮崎県",1087372,594177,54.6,"2021/01/01","2022/02/01"
"2022/02/01","鹿児島県",1617850,635383,39.3,"2021/01/01","2022/02/01"
"2022/02/01","沖縄県",1485484,496351,33.4,"2021/01/01","2022/02/01"
