"算出基準日","都道府県名","市区町村名","総数（人口）","交付枚数","人口に対する交付枚数率","人口算出基準日","交付件数基準日","団体コード"
"2022/08/31","北海道","札幌市",1960668,937824,47.8,"2022/01/01","2022/08/31",11002
"2022/08/31","北海道","函館市",248106,103175,41.6,"2022/01/01","2022/08/31",12025
"2022/08/31","北海道","小樽市",110426,46750,42.3,"2022/01/01","2022/08/31",12033
"2022/08/31","北海道","旭川市",327960,136793,41.7,"2022/01/01","2022/08/31",12041
"2022/08/31","北海道","室蘭市",79986,39182,49.0,"2022/01/01","2022/08/31",12050
"2022/08/31","北海道","釧路市",163110,80413,49.3,"2022/01/01","2022/08/31",12068
"2022/08/31","北海道","帯広市",165047,64192,38.9,"2022/01/01","2022/08/31",12076
"2022/08/31","北海道","北見市",114326,46755,40.9,"2022/01/01","2022/08/31",12084
"2022/08/31","北海道","夕張市",7055,2688,38.1,"2022/01/01","2022/08/31",12092
"2022/08/31","北海道","岩見沢市",78112,34643,44.4,"2022/01/01","2022/08/31",12106
"2022/08/31","北海道","網走市",34016,12734,37.4,"2022/01/01","2022/08/31",12114
"2022/08/31","北海道","留萌市",19739,8913,45.2,"2022/01/01","2022/08/31",12122
"2022/08/31","北海道","苫小牧市",169528,79874,47.1,"2022/01/01","2022/08/31",12131
"2022/08/31","北海道","稚内市",32280,15217,47.1,"2022/01/01","2022/08/31",12149
"2022/08/31","北海道","美唄市",20001,7935,39.7,"2022/01/01","2022/08/31",12157
"2022/08/31","北海道","芦別市",12430,5343,43.0,"2022/01/01","2022/08/31",12165
"2022/08/31","北海道","江別市",119701,51011,42.6,"2022/01/01","2022/08/31",12173
"2022/08/31","北海道","赤平市",9368,3941,42.1,"2022/01/01","2022/08/31",12181
"2022/08/31","北海道","紋別市",20928,7459,35.6,"2022/01/01","2022/08/31",12190
"2022/08/31","北海道","士別市",17676,7917,44.8,"2022/01/01","2022/08/31",12203
"2022/08/31","北海道","名寄市",26663,11691,43.8,"2022/01/01","2022/08/31",12211
"2022/08/31","北海道","三笠市",7930,3714,46.8,"2022/01/01","2022/08/31",12220
"2022/08/31","北海道","根室市",24231,9253,38.2,"2022/01/01","2022/08/31",12238
"2022/08/31","北海道","千歳市",97716,56735,58.1,"2022/01/01","2022/08/31",12246
"2022/08/31","北海道","滝川市",38780,20150,52.0,"2022/01/01","2022/08/31",12254
"2022/08/31","北海道","砂川市",16169,8191,50.7,"2022/01/01","2022/08/31",12262
"2022/08/31","北海道","歌志内市",2916,1076,36.9,"2022/01/01","2022/08/31",12271
"2022/08/31","北海道","深川市",19658,7280,37.0,"2022/01/01","2022/08/31",12289
"2022/08/31","北海道","富良野市",20617,8923,43.3,"2022/01/01","2022/08/31",12297
"2022/08/31","北海道","登別市",46135,21061,45.7,"2022/01/01","2022/08/31",12301
"2022/08/31","北海道","恵庭市",70108,35745,51.0,"2022/01/01","2022/08/31",12319
"2022/08/31","北海道","伊達市",32901,15034,45.7,"2022/01/01","2022/08/31",12335
"2022/08/31","北海道","北広島市",57767,24196,41.9,"2022/01/01","2022/08/31",12343
"2022/08/31","北海道","石狩市",58096,24531,42.2,"2022/01/01","2022/08/31",12351
"2022/08/31","北海道","北斗市",45025,17695,39.3,"2022/01/01","2022/08/31",12360
"2022/08/31","北海道","石狩郡当別町",15445,6132,39.7,"2022/01/01","2022/08/31",13030
