"算出基準日","区分","人口","交付枚数","人口に対する交付枚数率","人口算出基準日","交付枚数算出基準日"
"2022/08/31","全国",125927902,59660827,47.4,"2022/01/01","2022/08/31"
"2022/08/31","指定都市",27484780,13653777,49.7,"2022/01/01","2022/08/31"
"2022/08/31","特別区・市（指定都市を除く）",87897927,41423598,47.1,"2022/01/01","2022/08/31"
"2022/08/31","町村",10545195,4583452,43.5,"2022/01/01","2022/08/31"
