"公開日","区分","","人口","交付枚数","人口に対する交付枚数率","人口算出基準日","交付件数基準日"
"2017/08/31","全国","",127907086,12301592,9.6,"2017/01/01","2017/08/31"
"2017/08/31","","特別区",9302962,1128216,12.1,"2017/01/01","2017/08/31"
"2017/08/31","","政令指定都市",27394218,2853467,10.4,"2017/01/01","2017/08/31"
"2017/08/31","","市(政令指定都市を除く)",80061226,7409990,9.3,"2017/01/01","2017/08/31"
"2017/08/31","","町村",11148680,909919,8.2,"2017/01/01","2017/08/31"
