"区分","","人口
（H28.1.1時点）","交付枚数
（H29.5.15時点）","人口に対する交付枚数率"
"全国","",128066211,11474475,9.0
"","特別区",9205712,1016430,11.0
"","政令指定都市",27333950,2647129,9.7
"","市（政令指定都市を除く）",80281895,6947022,8.7
"","町村",11244654,863894,7.7
