"公開日","区分","","人口","交付枚数","人口に対する交付枚数率","人口算出基準日","交付件数基準日"
"2020/04/01","全国","",127443563,20332415,16.0,"2019/01/01","2020/04/01"
"2020/04/01","","特別区",9486618,2039992,21.5,"2019/01/01","2020/04/01"
"2020/04/01","","政令指定都市",27488569,4677359,17.0,"2019/01/01","2020/04/01"
"2020/04/01","","市（政令指定都市を除く）",79573258,12185561,15.3,"2019/01/01","2020/04/01"
"2020/04/01","","町村",10895118,1429503,13.1,"2019/01/01","2020/04/01"
