"区分","","人口
（H31.1.1時点）","交付枚数
（R2.4.1時点）","人口に対する交付枚数率"
"全国","",127443563,20332415,16.0
"","特別区",9486618,2039992,21.5
"","政令指定都市",27488569,4677359,17.0
"","市（政令指定都市を除く）",79573258,12185561,15.3
"","町村",10895118,1429503,13.1
