"区分","","人口
（H31.1.1時点）","交付枚数
（R2.3.1時点）","人口に対する交付枚数率"
"全国","",127443563,19730752,15.5
"","特別区",9486618,1994937,21.0
"","政令指定都市",27488569,4552380,16.6
"","市（政令指定都市を除く）",79522838,11810455,14.8
"","町村",10945538,1372980,12.6
