"公開日","区分","","人口","交付枚数","人口に対する交付枚数率","人口算出基準日","交付件数基準日"
"2020/01/20","全国","",127443563,19101271,15.0,"2019/01/01","2020/01/20"
"2020/01/20","","特別区",9486618,1944292,20.5,"2019/01/01","2020/01/20"
"2020/01/20","","政令指定都市",27488569,4423801,16.1,"2019/01/01","2020/01/20"
"2020/01/20","","市（政令指定都市を除く）",79522838,11408312,14.3,"2019/01/01","2020/01/20"
"2020/01/20","","町村",10945538,1324866,12.1,"2019/01/01","2020/01/20"
