"公開日","区分","","人口","交付枚数","人口に対する交付枚数率","人口算出基準日","交付件数基準日"
"2017/12/01","全国","",127907086,13009137,10.2,"2017/01/01","2017/12/01"
"2017/12/01","","特別区",9302962,1220372,13.1,"2017/01/01","2017/12/01"
"2017/12/01","","政令指定都市",27394218,3020320,11.0,"2017/01/01","2017/12/01"
"2017/12/01","","市(政令指定都市を除く)",80061226,7817698,9.8,"2017/01/01","2017/12/01"
"2017/12/01","","町村",11148680,950747,8.5,"2017/01/01","2017/12/01"
