"区分","","人口
（H28.1.1時点）","交付枚数
（H29.3.8時点）","人口に対する交付枚数率"
"全国","",128066211,10717919,8.4
"","特別区",9205712,926543,10.1
"","政令指定都市",27333950,2478623,9.1
"","市（政令指定都市を除く）",80281895,6499599,8.1
"","町村",11244654,813154,7.2
