"公開日","区分","","人口","交付枚数","人口に対する交付枚数率","人口算出基準日","交付件数基準日"
"2020/06/01","全国","",127443563,21355669,16.8,"2019/01/01","2020/06/01"
"2020/06/01","","特別区",9486618,2114529,22.3,"2019/01/01","2020/06/01"
"2020/06/01","","政令指定都市",27488569,4898121,17.8,"2019/01/01","2020/06/01"
"2020/06/01","","市(政令指定都市を除く)",79573258,12817468,16.1,"2019/01/01","2020/06/01"
"2020/06/01","","町村",10895118,1525551,14.0,"2019/01/01","2020/06/01"
