"算出基準日","都道府県名","総数（人口）","交付枚数","人口に対する交付枚数率","人口算出基準日","交付枚数算出基準日"
"2022/10/31","北海道",5183687,2539915,49.0,"2022/01/01","2022/10/31"
"2022/10/31","青森県",1243081,574968,46.3,"2022/01/01","2022/10/31"
"2022/10/31","岩手県",1206479,545556,45.2,"2022/01/01","2022/10/31"
"2022/10/31","宮城県",2268355,1128937,49.8,"2022/01/01","2022/10/31"
"2022/10/31","秋田県",956836,477836,49.9,"2022/01/01","2022/10/31"
"2022/10/31","山形県",1056682,518675,49.1,"2022/01/01","2022/10/31"
"2022/10/31","福島県",1841244,858156,46.6,"2022/01/01","2022/10/31"
"2022/10/31","茨城県",2890377,1416292,49.0,"2022/01/01","2022/10/31"
"2022/10/31","栃木県",1942494,931910,48.0,"2022/01/01","2022/10/31"
"2022/10/31","群馬県",1943667,867205,44.6,"2022/01/01","2022/10/31"
"2022/10/31","埼玉県",7385848,3620823,49.0,"2022/01/01","2022/10/31"
"2022/10/31","千葉県",6310875,3254459,51.6,"2022/01/01","2022/10/31"
"2022/10/31","東京都",13794933,7405032,53.7,"2022/01/01","2022/10/31"
"2022/10/31","神奈川県",9215210,4978531,54.0,"2022/01/01","2022/10/31"
"2022/10/31","新潟県",2188469,979541,44.8,"2022/01/01","2022/10/31"
"2022/10/31","富山県",1037319,541751,52.2,"2022/01/01","2022/10/31"
"2022/10/31","石川県",1124501,580072,51.6,"2022/01/01","2022/10/31"
"2022/10/31","福井県",767561,388528,50.6,"2022/01/01","2022/10/31"
"2022/10/31","山梨県",816340,396384,48.6,"2022/01/01","2022/10/31"
"2022/10/31","長野県",2056970,931946,45.3,"2022/01/01","2022/10/31"
"2022/10/31","岐阜県",1996682,1010828,50.6,"2022/01/01","2022/10/31"
"2022/10/31","静岡県",3658375,1897655,51.9,"2022/01/01","2022/10/31"
"2022/10/31","愛知県",7528519,3808265,50.6,"2022/01/01","2022/10/31"
"2022/10/31","三重県",1784968,902614,50.6,"2022/01/01","2022/10/31"
"2022/10/31","滋賀県",1415222,767385,54.2,"2022/01/01","2022/10/31"
"2022/10/31","京都府",2511494,1266637,50.4,"2022/01/01","2022/10/31"
"2022/10/31","大阪府",8800753,4553142,51.7,"2022/01/01","2022/10/31"
"2022/10/31","兵庫県",5488605,3057796,55.7,"2022/01/01","2022/10/31"
"2022/10/31","奈良県",1335378,739571,55.4,"2022/01/01","2022/10/31"
"2022/10/31","和歌山県",935084,447612,47.9,"2022/01/01","2022/10/31"
"2022/10/31","鳥取県",551806,283093,51.3,"2022/01/01","2022/10/31"
"2022/10/31","島根県",666331,343714,51.6,"2022/01/01","2022/10/31"
"2022/10/31","岡山県",1879280,947536,50.4,"2022/01/01","2022/10/31"
"2022/10/31","広島県",2788687,1487952,53.4,"2022/01/01","2022/10/31"
"2022/10/31","山口県",1340458,715909,53.4,"2022/01/01","2022/10/31"
"2022/10/31","徳島県",726729,352942,48.6,"2022/01/01","2022/10/31"
"2022/10/31","香川県",964885,482650,50.0,"2022/01/01","2022/10/31"
"2022/10/31","愛媛県",1341539,725800,54.1,"2022/01/01","2022/10/31"
"2022/10/31","高知県",693369,305356,44.0,"2022/01/01","2022/10/31"
"2022/10/31","福岡県",5108507,2647213,51.8,"2022/01/01","2022/10/31"
"2022/10/31","佐賀県",812193,434670,53.5,"2022/01/01","2022/10/31"
"2022/10/31","長崎県",1320055,658761,49.9,"2022/01/01","2022/10/31"
"2022/10/31","熊本県",1747513,886231,50.7,"2022/01/01","2022/10/31"
"2022/10/31","大分県",1131140,581944,51.4,"2022/01/01","2022/10/31"
"2022/10/31","宮崎県",1078313,705411,65.4,"2022/01/01","2022/10/31"
"2022/10/31","鹿児島県",1605419,828839,51.6,"2022/01/01","2022/10/31"
"2022/10/31","沖縄県",1485670,608790,41.0,"2022/01/01","2022/10/31"
