"算出基準日","年齢","人口(男)","人口(女)","人口(計)","交付件数(男)","交付件数(女)","交付件数(計)","交付率(男)","交付率(女)","交付率(計)","全体に対する交付件数割合(男)","全体に対する交付件数割合(女)","全体に対する交付件数割合(計)","人口算出基準日","交付枚数算出基準日"
"2022/10/31","全体",61420626,64507276,125927902,31715940,32668893,64384833,51.6,50.6,51.1,100.0,100.0,100.0,"2022/01/01","2022/10/31"
"2022/10/31","0～4歳",2279668,2171048,4450716,808797,772873,1581670,35.5,35.6,35.5,2.6,2.4,2.5,"2022/01/01","2022/10/31"
"2022/10/31","5～9",2635024,2503916,5138940,1169981,1124005,2293986,44.4,44.9,44.6,3.7,3.4,3.6,"2022/01/01","2022/10/31"
"2022/10/31","10～14",2793011,2653060,5446071,1202160,1162711,2364871,43.0,43.8,43.4,3.8,3.6,3.7,"2022/01/01","2022/10/31"
"2022/10/31","15～19",2879636,2739887,5619523,1341169,1280723,2621892,46.6,46.7,46.7,4.2,3.9,4.1,"2022/01/01","2022/10/31"
"2022/10/31","20～24",3218643,3054516,6273159,1589569,1637051,3226620,49.4,53.6,51.4,5.0,5.0,5.0,"2022/01/01","2022/10/31"
"2022/10/31","25～29",3302687,3107602,6410289,1653157,1770666,3423823,50.1,57.0,53.4,5.2,5.4,5.3,"2022/01/01","2022/10/31"
"2022/10/31","30～34",3395864,3220391,6616255,1769426,1842611,3612037,52.1,57.2,54.6,5.6,5.6,5.6,"2022/01/01","2022/10/31"
"2022/10/31","35～39",3801460,3649784,7451244,1936643,1973986,3910629,50.9,54.1,52.5,6.1,6.0,6.1,"2022/01/01","2022/10/31"
"2022/10/31","40～44",4185468,4036207,8221675,2057247,2073782,4131029,49.2,51.4,50.2,6.5,6.3,6.4,"2022/01/01","2022/10/31"
"2022/10/31","45～49",4949126,4796536,9745662,2369749,2369864,4739613,47.9,49.4,48.6,7.5,7.3,7.4,"2022/01/01","2022/10/31"
"2022/10/31","50～54",4760262,4664526,9424788,2346591,2392620,4739211,49.3,51.3,50.3,7.4,7.3,7.4,"2022/01/01","2022/10/31"
"2022/10/31","55～59",3922885,3898858,7821743,2113619,2172733,4286352,53.9,55.7,54.8,6.7,6.7,6.7,"2022/01/01","2022/10/31"
"2022/10/31","60～64",3657943,3720450,7378393,2121764,2150757,4272521,58.0,57.8,57.9,6.7,6.6,6.6,"2022/01/01","2022/10/31"
"2022/10/31","65～69",3785404,3984827,7770231,2158891,2178561,4337452,57.0,54.7,55.8,6.8,6.7,6.7,"2022/01/01","2022/10/31"
"2022/10/31","70～74",4539801,5064758,9604559,2525444,2650044,5175488,55.6,52.3,53.9,8.0,8.1,8.0,"2022/01/01","2022/10/31"
"2022/10/31","75～79",2986726,3693443,6680169,1864018,2063960,3927978,62.4,55.9,58.8,5.9,6.3,6.1,"2022/01/01","2022/10/31"
"2022/10/31","80～84",2323849,3251908,5575757,1402188,1594273,2996461,60.3,49.0,53.7,4.4,4.9,4.7,"2022/01/01","2022/10/31"
"2022/10/31","85～89",1370107,2436954,3807061,845423,957739,1803162,61.7,39.3,47.4,2.7,2.9,2.8,"2022/01/01","2022/10/31"
"2022/10/31","90歳以上",633044,1858568,2491612,440104,499934,940038,69.5,26.9,37.7,1.4,1.5,1.5,"2022/01/01","2022/10/31"
