"算出基準日","区分","","人口","交付枚数","人口に対する交付枚数率","人口算出基準日","交付枚数算出基準日"
"2020/05/01","全国","",127443563,20853465,16.4,"2019/01/01","2020/05/01"
"2020/05/01","","特別区",9486618,2076607,21.9,"2019/01/01","2020/05/01"
"2020/05/01","","政令指定都市",27488569,4786251,17.4,"2019/01/01","2020/05/01"
"2020/05/01","","市（政令指定都市を除く）",79573258,12510314,15.7,"2019/01/01","2020/05/01"
"2020/05/01","","町村",10895118,1480293,13.6,"2019/01/01","2020/05/01"
