"算出基準日","都道府県名","総数（人口）","交付枚数","人口に対する交付枚数率","人口算出基準日","交付枚数算出基準日"
"2018/12/01","北海道",5339539,546459,10.2,"2018/01/01","2018/12/01"
"2018/12/01","青森県",1308707,142992,10.9,"2018/01/01","2018/12/01"
"2018/12/01","岩手県",1264329,139115,11.0,"2018/01/01","2018/12/01"
"2018/12/01","宮城県",2312080,265677,11.5,"2018/01/01","2018/12/01"
"2018/12/01","秋田県",1015057,94388,9.3,"2018/01/01","2018/12/01"
"2018/12/01","山形県",1106984,95925,8.7,"2018/01/01","2018/12/01"
"2018/12/01","福島県",1919680,206668,10.8,"2018/01/01","2018/12/01"
"2018/12/01","茨城県",2951087,352489,11.9,"2018/01/01","2018/12/01"
"2018/12/01","栃木県",1985738,221566,11.2,"2018/01/01","2018/12/01"
"2018/12/01","群馬県",1990584,198381,10.0,"2018/01/01","2018/12/01"
"2018/12/01","埼玉県",7363011,891744,12.1,"2018/01/01","2018/12/01"
"2018/12/01","千葉県",6298992,852439,13.5,"2018/01/01","2018/12/01"
"2018/12/01","東京都",13637346,2198865,16.1,"2018/01/01","2018/12/01"
"2018/12/01","神奈川県",9171274,1426203,15.6,"2018/01/01","2018/12/01"
"2018/12/01","新潟県",2281291,198613,8.7,"2018/01/01","2018/12/01"
"2018/12/01","富山県",1069512,111181,10.4,"2018/01/01","2018/12/01"
"2018/12/01","石川県",1150398,106754,9.3,"2018/01/01","2018/12/01"
"2018/12/01","福井県",790758,64405,8.1,"2018/01/01","2018/12/01"
"2018/12/01","山梨県",838823,83260,9.9,"2018/01/01","2018/12/01"
"2018/12/01","長野県",2114140,209196,9.9,"2018/01/01","2018/12/01"
"2018/12/01","岐阜県",2054349,183331,8.9,"2018/01/01","2018/12/01"
"2018/12/01","静岡県",3743015,420816,11.2,"2018/01/01","2018/12/01"
"2018/12/01","愛知県",7551840,818105,10.8,"2018/01/01","2018/12/01"
"2018/12/01","三重県",1834269,185543,10.1,"2018/01/01","2018/12/01"
"2018/12/01","滋賀県",1419635,172388,12.1,"2018/01/01","2018/12/01"
"2018/12/01","京都府",2563152,310621,12.1,"2018/01/01","2018/12/01"
"2018/12/01","大阪府",8856444,1215979,13.7,"2018/01/01","2018/12/01"
"2018/12/01","兵庫県",5589708,792205,14.2,"2018/01/01","2018/12/01"
"2018/12/01","奈良県",1371700,197108,14.4,"2018/01/01","2018/12/01"
"2018/12/01","和歌山県",975074,90405,9.3,"2018/01/01","2018/12/01"
"2018/12/01","鳥取県",570824,55829,9.8,"2018/01/01","2018/12/01"
"2018/12/01","島根県",691225,76191,11.0,"2018/01/01","2018/12/01"
"2018/12/01","岡山県",1920619,193587,10.1,"2018/01/01","2018/12/01"
"2018/12/01","広島県",2848846,337920,11.9,"2018/01/01","2018/12/01"
"2018/12/01","山口県",1396197,169603,12.1,"2018/01/01","2018/12/01"
"2018/12/01","徳島県",757377,74443,9.8,"2018/01/01","2018/12/01"
"2018/12/01","香川県",993205,98832,10.0,"2018/01/01","2018/12/01"
"2018/12/01","愛媛県",1394339,137546,9.9,"2018/01/01","2018/12/01"
"2018/12/01","高知県",725289,52183,7.2,"2018/01/01","2018/12/01"
"2018/12/01","福岡県",5130773,548100,10.7,"2018/01/01","2018/12/01"
"2018/12/01","佐賀県",833272,84029,10.1,"2018/01/01","2018/12/01"
"2018/12/01","長崎県",1379003,174186,12.6,"2018/01/01","2018/12/01"
"2018/12/01","熊本県",1789184,207270,11.6,"2018/01/01","2018/12/01"
"2018/12/01","大分県",1169158,125499,10.7,"2018/01/01","2018/12/01"
"2018/12/01","宮崎県",1112008,185508,16.7,"2018/01/01","2018/12/01"
"2018/12/01","鹿児島県",1655888,184426,11.1,"2018/01/01","2018/12/01"
"2018/12/01","沖縄県",1471536,144432,9.8,"2018/01/01","2018/12/01"
