"算出基準日","年齢","人口(男)","人口(女)","人口(計)","交付件数(男)","交付件数(女)","交付件数(計)","交付率(男)","交付率(女)","交付率(計)","全体に対する交付件数割合(男)","全体に対する交付件数割合(女)","全体に対する交付件数割合(計)","人口算出基準日","交付枚数算出基準日"
"2022/01/01","全体",61797907,64856337,126654244,25672382,26199338,51871720,41.5,40.4,41.0,100.0,100.0,100.0,"2021/01/01","2022/01/01"
"2022/01/01","0～4歳",2368294,2253015,4621309,514666,491859,1006525,21.7,21.8,21.8,2.0,1.9,1.9,"2021/01/01","2022/01/01"
"2022/01/01","5～9",2671006,2540699,5211705,902285,865599,1767884,33.8,34.1,33.9,3.5,3.3,3.4,"2021/01/01","2022/01/01"
"2022/01/01","10～14",2813693,2672424,5486117,930650,903593,1834243,33.1,33.8,33.4,3.6,3.4,3.5,"2021/01/01","2022/01/01"
"2022/01/01","15～19",2930647,2788116,5718763,950618,928019,1878637,32.4,33.3,32.9,3.7,3.5,3.6,"2021/01/01","2022/01/01"
"2022/01/01","20～24",3279022,3099426,6378448,1175692,1226428,2402120,35.9,39.6,37.7,4.6,4.7,4.6,"2021/01/01","2022/01/01"
"2022/01/01","25～29",3322243,3122193,6444436,1272729,1386624,2659353,38.3,44.4,41.3,5.0,5.3,5.1,"2021/01/01","2022/01/01"
"2022/01/01","30～34",3477071,3299165,6776236,1422112,1498635,2920747,40.9,45.4,43.1,5.5,5.7,5.6,"2021/01/01","2022/01/01"
"2022/01/01","35～39",3873471,3725116,7598587,1584196,1619219,3203415,40.9,43.5,42.2,6.2,6.2,6.2,"2021/01/01","2022/01/01"
"2022/01/01","40～44",4328567,4176094,8504661,1688464,1689709,3378173,39.0,40.5,39.7,6.6,6.4,6.5,"2021/01/01","2022/01/01"
"2022/01/01","45～49",5036488,4884780,9921268,1940375,1913821,3854196,38.5,39.2,38.8,7.6,7.3,7.4,"2021/01/01","2022/01/01"
"2022/01/01","50～54",4445711,4356821,8802532,1931604,1940130,3871734,43.4,44.5,44.0,7.5,7.4,7.5,"2021/01/01","2022/01/01"
"2022/01/01","55～59",4012379,3996798,8009177,1766380,1797141,3563521,44.0,45.0,44.5,6.9,6.9,6.9,"2021/01/01","2022/01/01"
"2022/01/01","60～64",3671788,3740656,7412444,1793744,1800507,3594251,48.9,48.1,48.5,7.0,6.9,6.9,"2021/01/01","2022/01/01"
"2022/01/01","65～69",3939694,4158810,8098504,1848804,1829456,3678260,46.9,44.0,45.4,7.2,7.0,7.1,"2021/01/01","2022/01/01"
"2022/01/01","70～74",4415966,4921233,9337199,2165736,2210559,4376295,49.0,44.9,46.9,8.4,8.4,8.4,"2021/01/01","2022/01/01"
"2022/01/01","75～79",3073178,3817058,6890236,1536351,1648687,3185038,50.0,43.2,46.2,6.0,6.3,6.1,"2021/01/01","2022/01/01"
"2022/01/01","80～84",2222338,3134063,5356401,1137103,1253014,2390117,51.2,40.0,44.6,4.4,4.8,4.6,"2021/01/01","2022/01/01"
"2022/01/01","85～89",1318085,2384056,3702141,713170,773276,1486446,54.1,32.4,40.2,2.8,3.0,2.9,"2021/01/01","2022/01/01"
"2022/01/01","90～94",491646,1290447,1782093,310268,326123,636391,63.1,25.3,35.7,1.2,1.2,1.2,"2021/01/01","2022/01/01"
"2022/01/01","95～99",97017,424275,521292,78006,83389,161395,80.4,19.7,31.0,0.3,0.3,0.3,"2021/01/01","2022/01/01"
"2022/01/01","100歳以上",9588,71049,80637,9429,13550,22979,98.3,19.1,28.5,0.0,0.1,0.0,"2021/01/01","2022/01/01"
