"算出基準日","都道府県名","総数（人口）","交付枚数","人口に対する交付枚数率","人口算出基準日","交付枚数算出基準日"
"2022/01/01","北海道",5228732,1933498,37.0,"2021/01/01","2022/01/01"
"2022/01/01","青森県",1260067,445974,35.4,"2021/01/01","2022/01/01"
"2022/01/01","岩手県",1221205,425268,34.8,"2021/01/01","2022/01/01"
"2022/01/01","宮城県",2282106,919802,40.3,"2021/01/01","2022/01/01"
"2022/01/01","秋田県",971604,370966,38.2,"2021/01/01","2022/01/01"
"2022/01/01","山形県",1070017,392452,36.7,"2021/01/01","2022/01/01"
"2022/01/01","福島県",1862777,671312,36.0,"2021/01/01","2022/01/01"
"2022/01/01","茨城県",2907678,1133873,39.0,"2021/01/01","2022/01/01"
"2022/01/01","栃木県",1955402,743736,38.0,"2021/01/01","2022/01/01"
"2022/01/01","群馬県",1958185,675078,34.5,"2021/01/01","2022/01/01"
"2022/01/01","埼玉県",7393849,2910339,39.4,"2021/01/01","2022/01/01"
"2022/01/01","千葉県",6322897,2647975,41.9,"2021/01/01","2022/01/01"
"2022/01/01","東京都",13843525,6178054,44.6,"2021/01/01","2022/01/01"
"2022/01/01","神奈川県",9220245,4082704,44.3,"2021/01/01","2022/01/01"
"2022/01/01","新潟県",2213353,756691,34.2,"2021/01/01","2022/01/01"
"2022/01/01","富山県",1047713,437335,41.7,"2021/01/01","2022/01/01"
"2022/01/01","石川県",1132656,470938,41.6,"2021/01/01","2022/01/01"
"2022/01/01","福井県",774596,309775,40.0,"2021/01/01","2022/01/01"
"2022/01/01","山梨県",821094,310045,37.8,"2021/01/01","2022/01/01"
"2022/01/01","長野県",2072219,728254,35.1,"2021/01/01","2022/01/01"
"2022/01/01","岐阜県",2016868,778805,38.6,"2021/01/01","2022/01/01"
"2022/01/01","静岡県",3686335,1521939,41.3,"2021/01/01","2022/01/01"
"2022/01/01","愛知県",7558872,3081777,40.8,"2021/01/01","2022/01/01"
"2022/01/01","三重県",1800756,735878,40.9,"2021/01/01","2022/01/01"
"2022/01/01","滋賀県",1418886,635183,44.8,"2021/01/01","2022/01/01"
"2022/01/01","京都府",2530609,1040448,41.1,"2021/01/01","2022/01/01"
"2022/01/01","大阪府",8839532,3737409,42.3,"2021/01/01","2022/01/01"
"2022/01/01","兵庫県",5523627,2535365,45.9,"2021/01/01","2022/01/01"
"2022/01/01","奈良県",1344952,610682,45.4,"2021/01/01","2022/01/01"
"2022/01/01","和歌山県",944750,348831,36.9,"2021/01/01","2022/01/01"
"2022/01/01","鳥取県",556959,217799,39.1,"2021/01/01","2022/01/01"
"2022/01/01","島根県",672979,269266,40.0,"2021/01/01","2022/01/01"
"2022/01/01","岡山県",1893874,759493,40.1,"2021/01/01","2022/01/01"
"2022/01/01","広島県",2812477,1167897,41.5,"2021/01/01","2022/01/01"
"2022/01/01","山口県",1356144,580378,42.8,"2021/01/01","2022/01/01"
"2022/01/01","徳島県",735070,291669,39.7,"2021/01/01","2022/01/01"
"2022/01/01","香川県",973922,397449,40.8,"2021/01/01","2022/01/01"
"2022/01/01","愛媛県",1356343,554398,40.9,"2021/01/01","2022/01/01"
"2022/01/01","高知県",701531,234662,33.4,"2021/01/01","2022/01/01"
"2022/01/01","福岡県",5124259,2112955,41.2,"2021/01/01","2022/01/01"
"2022/01/01","佐賀県",818251,330561,40.4,"2021/01/01","2022/01/01"
"2022/01/01","長崎県",1336023,530665,39.7,"2021/01/01","2022/01/01"
"2022/01/01","熊本県",1758815,702291,39.9,"2021/01/01","2022/01/01"
"2022/01/01","大分県",1141784,457866,40.1,"2021/01/01","2022/01/01"
"2022/01/01","宮崎県",1087372,583771,53.7,"2021/01/01","2022/01/01"
"2022/01/01","鹿児島県",1617850,623439,38.5,"2021/01/01","2022/01/01"
"2022/01/01","沖縄県",1485484,486775,32.8,"2021/01/01","2022/01/01"
