"算出基準日","都道府県名","市区町村名","総数（人口）","交付枚数","人口に対する交付枚数率","人口算出基準日","交付件数基準日"
"2019/07/01","北海道","札幌市",1952348,227878,11.7,"2018/01/01","2019/07/01"
"2019/07/01","北海道","函館市",262519,27143,10.3,"2018/01/01","2019/07/01"
"2019/07/01","北海道","小樽市",118948,13765,11.6,"2018/01/01","2019/07/01"
"2019/07/01","北海道","旭川市",340211,33079,9.7,"2018/01/01","2019/07/01"
"2019/07/01","北海道","室蘭市",85807,11633,13.6,"2018/01/01","2019/07/01"
"2019/07/01","北海道","釧路市",172391,21029,12.2,"2018/01/01","2019/07/01"
"2019/07/01","北海道","帯広市",167653,16755,10.0,"2018/01/01","2019/07/01"
"2019/07/01","北海道","北見市",118787,13879,11.7,"2018/01/01","2019/07/01"
"2019/07/01","北海道","夕張市",8362,1086,13.0,"2018/01/01","2019/07/01"
"2019/07/01","北海道","岩見沢市",82823,9538,11.5,"2018/01/01","2019/07/01"
"2019/07/01","北海道","網走市",36322,4146,11.4,"2018/01/01","2019/07/01"
"2019/07/01","北海道","留萌市",21757,2362,10.9,"2018/01/01","2019/07/01"
"2019/07/01","北海道","苫小牧市",172373,24631,14.3,"2018/01/01","2019/07/01"
"2019/07/01","北海道","稚内市",34834,4716,13.5,"2018/01/01","2019/07/01"
"2019/07/01","北海道","美唄市",22211,2328,10.5,"2018/01/01","2019/07/01"
"2019/07/01","北海道","芦別市",14014,1737,12.4,"2018/01/01","2019/07/01"
"2019/07/01","北海道","江別市",118999,11923,10.0,"2018/01/01","2019/07/01"
"2019/07/01","北海道","赤平市",10464,1487,14.2,"2018/01/01","2019/07/01"
"2019/07/01","北海道","紋別市",22527,1813,8.0,"2018/01/01","2019/07/01"
"2019/07/01","北海道","士別市",19348,2084,10.8,"2018/01/01","2019/07/01"
"2019/07/01","北海道","名寄市",27909,3026,10.8,"2018/01/01","2019/07/01"
"2019/07/01","北海道","三笠市",8784,1109,12.6,"2018/01/01","2019/07/01"
"2019/07/01","北海道","根室市",26399,2314,8.8,"2018/01/01","2019/07/01"
"2019/07/01","北海道","千歳市",96841,15069,15.6,"2018/01/01","2019/07/01"
"2019/07/01","北海道","滝川市",40843,4686,11.5,"2018/01/01","2019/07/01"
"2019/07/01","北海道","砂川市",17364,2018,11.6,"2018/01/01","2019/07/01"
"2019/07/01","北海道","歌志内市",3408,418,12.3,"2018/01/01","2019/07/01"
"2019/07/01","北海道","深川市",21237,1901,9.0,"2018/01/01","2019/07/01"
"2019/07/01","北海道","富良野市",22284,2720,12.2,"2018/01/01","2019/07/01"
"2019/07/01","北海道","登別市",48852,6136,12.6,"2018/01/01","2019/07/01"
"2019/07/01","北海道","恵庭市",69521,9655,13.9,"2018/01/01","2019/07/01"
"2019/07/01","北海道","伊達市",34772,3664,10.5,"2018/01/01","2019/07/01"
"2019/07/01","北海道","北広島市",58828,6249,10.6,"2018/01/01","2019/07/01"
"2019/07/01","北海道","石狩市",58502,7123,12.2,"2018/01/01","2019/07/01"
"2019/07/01","北海道","北斗市",46829,4040,8.6,"2018/01/01","2019/07/01"
"2019/07/01","北海道","石狩郡当別町",16365,1922,11.7,"2018/01/01","2019/07/01"
"2019/07/01","北海道","石狩郡新篠津村",3173,225,7.1,"2018/01/01","2019/07/01"
"2019/07/01","北海道","松前郡松前町",7539,903,12.0,"2018/01/01","2019/07/01"
"2019/07/01","北海道","松前郡福島町",4232,328,7.8,"2018/01/01","2019/07/01"
"2019/07/01","北海道","上磯郡知内町",4475,306,6.8,"2018/01/01","2019/07/01"
"2019/07/01","北海道","上磯郡木古内町",4288,478,11.1,"2018/01/01","2019/07/01"
"2019/07/01","北海道","亀田郡七飯町",28563,2852,10.0,"2018/01/01","2019/07/01"
"2019/07/01","北海道","茅部郡鹿部町",4009,383,9.6,"2018/01/01","2019/07/01"
"2019/07/01","北海道","茅部郡森町",15892,1290,8.1,"2018/01/01","2019/07/01"
"2019/07/01","北海道","二海郡八雲町",16960,1528,9.0,"2018/01/01","2019/07/01"
"2019/07/01","北海道","山越郡長万部町",5517,507,9.2,"2018/01/01","2019/07/01"
"2019/07/01","北海道","檜山郡江差町",7895,739,9.4,"2018/01/01","2019/07/01"
"2019/07/01","北海道","檜山郡上ノ国町",4988,462,9.3,"2018/01/01","2019/07/01"
"2019/07/01","北海道","檜山郡厚沢部町",3992,331,8.3,"2018/01/01","2019/07/01"
"2019/07/01","北海道","爾志郡乙部町",3833,202,5.3,"2018/01/01","2019/07/01"
"2019/07/01","北海道","奥尻郡奥尻町",2742,269,9.8,"2018/01/01","2019/07/01"
"2019/07/01","北海道","瀬棚郡今金町",5475,712,13.0,"2018/01/01","2019/07/01"
"2019/07/01","北海道","久遠郡せたな町",8195,572,7.0,"2018/01/01","2019/07/01"
"2019/07/01","北海道","島牧郡島牧村",1517,161,10.6,"2018/01/01","2019/07/01"
"2019/07/01","北海道","寿都郡寿都町",3048,360,11.8,"2018/01/01","2019/07/01"
"2019/07/01","北海道","寿都郡黒松内町",2904,246,8.5,"2018/01/01","2019/07/01"
"2019/07/01","北海道","磯谷郡蘭越町",4767,457,9.6,"2018/01/01","2019/07/01"
"2019/07/01","北海道","虻田郡ニセコ町",5203,476,9.1,"2018/01/01","2019/07/01"
"2019/07/01","北海道","虻田郡真狩村",2088,178,8.5,"2018/01/01","2019/07/01"
"2019/07/01","北海道","虻田郡留寿都村",2049,222,10.8,"2018/01/01","2019/07/01"
"2019/07/01","北海道","虻田郡喜茂別町",2248,154,6.9,"2018/01/01","2019/07/01"
"2019/07/01","北海道","虻田郡京極町",3080,231,7.5,"2018/01/01","2019/07/01"
"2019/07/01","北海道","虻田郡倶知安町",16432,1666,10.1,"2018/01/01","2019/07/01"
"2019/07/01","北海道","岩内郡共和町",6034,756,12.5,"2018/01/01","2019/07/01"
"2019/07/01","北海道","岩内郡岩内町",12931,1410,10.9,"2018/01/01","2019/07/01"
"2019/07/01","北海道","古宇郡泊村",1671,197,11.8,"2018/01/01","2019/07/01"
