"算出基準日","都道府県名","総数（人口）","交付枚数","人口に対する交付枚数率","人口算出基準日","交付枚数算出基準日"
"2020/11/01","北海道",5267762,1014872,19.3,"2020/01/01","2020/11/01"
"2020/11/01","青森県",1275783,241548,18.9,"2020/01/01","2020/11/01"
"2020/11/01","岩手県",1235517,237352,19.2,"2020/01/01","2020/11/01"
"2020/11/01","宮城県",2292385,479148,20.9,"2020/01/01","2020/11/01"
"2020/11/01","秋田県",985416,185771,18.9,"2020/01/01","2020/11/01"
"2020/11/01","山形県",1082296,186087,17.2,"2020/01/01","2020/11/01"
"2020/11/01","福島県",1881981,351654,18.7,"2020/01/01","2020/11/01"
"2020/11/01","茨城県",2921436,622646,21.3,"2020/01/01","2020/11/01"
"2020/11/01","栃木県",1965516,399813,20.3,"2020/01/01","2020/11/01"
"2020/11/01","群馬県",1969439,349845,17.8,"2020/01/01","2020/11/01"
"2020/11/01","埼玉県",7390054,1560679,21.1,"2020/01/01","2020/11/01"
"2020/11/01","千葉県",6319772,1421480,22.5,"2020/01/01","2020/11/01"
"2020/11/01","東京都",13834925,3625422,26.2,"2020/01/01","2020/11/01"
"2020/11/01","神奈川県",9209442,2244691,24.4,"2020/01/01","2020/11/01"
"2020/11/01","新潟県",2236042,372741,16.7,"2020/01/01","2020/11/01"
"2020/11/01","富山県",1055999,211774,20.1,"2020/01/01","2020/11/01"
"2020/11/01","石川県",1139612,230386,20.2,"2020/01/01","2020/11/01"
"2020/11/01","福井県",780053,146118,18.7,"2020/01/01","2020/11/01"
"2020/11/01","山梨県",826579,167238,20.2,"2020/01/01","2020/11/01"
"2020/11/01","長野県",2087307,374233,17.9,"2020/01/01","2020/11/01"
"2020/11/01","岐阜県",2032490,363864,17.9,"2020/01/01","2020/11/01"
"2020/11/01","静岡県",3708556,790713,21.3,"2020/01/01","2020/11/01"
"2020/11/01","愛知県",7575530,1548085,20.4,"2020/01/01","2020/11/01"
"2020/11/01","三重県",1813859,364633,20.1,"2020/01/01","2020/11/01"
"2020/11/01","滋賀県",1420948,326394,23.0,"2020/01/01","2020/11/01"
"2020/11/01","京都府",2545899,566906,22.3,"2020/01/01","2020/11/01"
"2020/11/01","大阪府",8849635,2090217,23.6,"2020/01/01","2020/11/01"
"2020/11/01","兵庫県",5549568,1391903,25.1,"2020/01/01","2020/11/01"
"2020/11/01","奈良県",1353837,349901,25.8,"2020/01/01","2020/11/01"
"2020/11/01","和歌山県",954258,180623,18.9,"2020/01/01","2020/11/01"
"2020/11/01","鳥取県",561175,112041,20.0,"2020/01/01","2020/11/01"
"2020/11/01","島根県",679324,140527,20.7,"2020/01/01","2020/11/01"
"2020/11/01","岡山県",1903627,368093,19.3,"2020/01/01","2020/11/01"
"2020/11/01","広島県",2826858,605229,21.4,"2020/01/01","2020/11/01"
"2020/11/01","山口県",1369882,307288,22.4,"2020/01/01","2020/11/01"
"2020/11/01","徳島県",742505,150125,20.2,"2020/01/01","2020/11/01"
"2020/11/01","香川県",981280,192926,19.7,"2020/01/01","2020/11/01"
"2020/11/01","愛媛県",1369131,266817,19.5,"2020/01/01","2020/11/01"
"2020/11/01","高知県",709230,104541,14.7,"2020/01/01","2020/11/01"
"2020/11/01","福岡県",5129841,1080591,21.1,"2020/01/01","2020/11/01"
"2020/11/01","佐賀県",823810,169498,20.6,"2020/01/01","2020/11/01"
"2020/11/01","長崎県",1350769,311223,23.0,"2020/01/01","2020/11/01"
"2020/11/01","熊本県",1769880,395191,22.3,"2020/01/01","2020/11/01"
"2020/11/01","大分県",1151229,246096,21.4,"2020/01/01","2020/11/01"
"2020/11/01","宮崎県",1095903,326264,29.8,"2020/01/01","2020/11/01"
"2020/11/01","鹿児島県",1630146,334217,20.5,"2020/01/01","2020/11/01"
"2020/11/01","沖縄県",1481547,266285,18.0,"2020/01/01","2020/11/01"
