"算出基準日","区分","人口","交付枚数","人口に対する交付枚数率","人口算出基準日","交付枚数算出基準日"
"2021/02/01","全国",127138033,31980527,25.2,"2020/01/01","2021/02/01"
"2021/02/01","特別区",9570609,2888605,30.2,"2020/01/01","2021/02/01"
"2021/02/01","政令指定都市",27540108,7367496,26.8,"2020/01/01","2021/02/01"
"2021/02/01","市（政令指定都市を除く）",79244110,19413306,24.5,"2020/01/01","2021/02/01"
"2021/02/01","町村",10783206,2311120,25.2,"2020/01/01","2021/02/01"
