"算出基準日","都道府県名","総数（人口）","交付枚数","人口に対する交付枚数率","人口算出基準日","交付枚数算出基準日"
"2021/02/01","北海道",5267762,1158603,22.0,"2020/01/01","2021/02/01"
"2021/02/01","青森県",1275783,270317,21.2,"2020/01/01","2021/02/01"
"2021/02/01","岩手県",1235517,264288,21.4,"2020/01/01","2021/02/01"
"2021/02/01","宮城県",2292385,549418,24.0,"2020/01/01","2021/02/01"
"2021/02/01","秋田県",985416,216216,21.9,"2020/01/01","2021/02/01"
"2021/02/01","山形県",1082296,216603,20.0,"2020/01/01","2021/02/01"
"2021/02/01","福島県",1881981,403574,21.4,"2020/01/01","2021/02/01"
"2021/02/01","茨城県",2921436,704535,24.1,"2020/01/01","2021/02/01"
"2021/02/01","栃木県",1965516,448271,22.8,"2020/01/01","2021/02/01"
"2021/02/01","群馬県",1969439,394644,20.0,"2020/01/01","2021/02/01"
"2021/02/01","埼玉県",7390054,1795527,24.3,"2020/01/01","2021/02/01"
"2021/02/01","千葉県",6319772,1641278,26.0,"2020/01/01","2021/02/01"
"2021/02/01","東京都",13834925,4093072,29.6,"2020/01/01","2021/02/01"
"2021/02/01","神奈川県",9209442,2568124,27.9,"2020/01/01","2021/02/01"
"2021/02/01","新潟県",2236042,425385,19.0,"2020/01/01","2021/02/01"
"2021/02/01","富山県",1055999,248351,23.5,"2020/01/01","2021/02/01"
"2021/02/01","石川県",1139612,279862,24.6,"2020/01/01","2021/02/01"
"2021/02/01","福井県",780053,175482,22.5,"2020/01/01","2021/02/01"
"2021/02/01","山梨県",826579,189567,22.9,"2020/01/01","2021/02/01"
"2021/02/01","長野県",2087307,422299,20.2,"2020/01/01","2021/02/01"
"2021/02/01","岐阜県",2032490,434834,21.4,"2020/01/01","2021/02/01"
"2021/02/01","静岡県",3708556,921577,24.9,"2020/01/01","2021/02/01"
"2021/02/01","愛知県",7575530,1817333,24.0,"2020/01/01","2021/02/01"
"2021/02/01","三重県",1813859,440442,24.3,"2020/01/01","2021/02/01"
"2021/02/01","滋賀県",1420948,393083,27.7,"2020/01/01","2021/02/01"
"2021/02/01","京都府",2545899,659435,25.9,"2020/01/01","2021/02/01"
"2021/02/01","大阪府",8849635,2390964,27.0,"2020/01/01","2021/02/01"
"2021/02/01","兵庫県",5549568,1610599,29.0,"2020/01/01","2021/02/01"
"2021/02/01","奈良県",1353837,397706,29.4,"2020/01/01","2021/02/01"
"2021/02/01","和歌山県",954258,207861,21.8,"2020/01/01","2021/02/01"
"2021/02/01","鳥取県",561175,130547,23.3,"2020/01/01","2021/02/01"
"2021/02/01","島根県",679324,161776,23.8,"2020/01/01","2021/02/01"
"2021/02/01","岡山県",1903627,439052,23.1,"2020/01/01","2021/02/01"
"2021/02/01","広島県",2826858,709322,25.1,"2020/01/01","2021/02/01"
"2021/02/01","山口県",1369882,355496,26.0,"2020/01/01","2021/02/01"
"2021/02/01","徳島県",742505,187423,25.2,"2020/01/01","2021/02/01"
"2021/02/01","香川県",981280,234356,23.9,"2020/01/01","2021/02/01"
"2021/02/01","愛媛県",1369131,316867,23.1,"2020/01/01","2021/02/01"
"2021/02/01","高知県",709230,126868,17.9,"2020/01/01","2021/02/01"
"2021/02/01","福岡県",5129841,1258724,24.5,"2020/01/01","2021/02/01"
"2021/02/01","佐賀県",823810,195113,23.7,"2020/01/01","2021/02/01"
"2021/02/01","長崎県",1350769,349737,25.9,"2020/01/01","2021/02/01"
"2021/02/01","熊本県",1769880,445006,25.1,"2020/01/01","2021/02/01"
"2021/02/01","大分県",1151229,279346,24.3,"2020/01/01","2021/02/01"
"2021/02/01","宮崎県",1095903,372239,34.0,"2020/01/01","2021/02/01"
"2021/02/01","鹿児島県",1630146,375063,23.0,"2020/01/01","2021/02/01"
"2021/02/01","沖縄県",1481547,304342,20.5,"2020/01/01","2021/02/01"
