"算出基準日","都道府県名","総数（人口）","交付枚数","人口に対する交付枚数率","人口算出基準日","交付枚数算出基準日"
"2022/12/31","北海道",5183687,2888648,55.7,"2022/01/01","2022/12/31"
"2022/12/31","青森県",1243081,666041,53.6,"2022/01/01","2022/12/31"
"2022/12/31","岩手県",1206479,631271,52.3,"2022/01/01","2022/12/31"
"2022/12/31","宮城県",2268355,1261113,55.6,"2022/01/01","2022/12/31"
"2022/12/31","秋田県",956836,549175,57.4,"2022/01/01","2022/12/31"
"2022/12/31","山形県",1056682,598651,56.7,"2022/01/01","2022/12/31"
"2022/12/31","福島県",1841244,989241,53.7,"2022/01/01","2022/12/31"
"2022/12/31","茨城県",2890377,1598425,55.3,"2022/01/01","2022/12/31"
"2022/12/31","栃木県",1942494,1048854,54.0,"2022/01/01","2022/12/31"
"2022/12/31","群馬県",1943667,995511,51.2,"2022/01/01","2022/12/31"
"2022/12/31","埼玉県",7385848,4013825,54.3,"2022/01/01","2022/12/31"
"2022/12/31","千葉県",6310875,3598161,57.0,"2022/01/01","2022/12/31"
"2022/12/31","東京都",13794933,7985934,57.9,"2022/01/01","2022/12/31"
"2022/12/31","神奈川県",9215210,5412420,58.7,"2022/01/01","2022/12/31"
"2022/12/31","新潟県",2188469,1131044,51.7,"2022/01/01","2022/12/31"
"2022/12/31","富山県",1037319,612564,59.1,"2022/01/01","2022/12/31"
"2022/12/31","石川県",1124501,656256,58.4,"2022/01/01","2022/12/31"
"2022/12/31","福井県",767561,442687,57.7,"2022/01/01","2022/12/31"
"2022/12/31","山梨県",816340,449835,55.1,"2022/01/01","2022/12/31"
"2022/12/31","長野県",2056970,1067930,51.9,"2022/01/01","2022/12/31"
"2022/12/31","岐阜県",1996682,1170746,58.6,"2022/01/01","2022/12/31"
"2022/12/31","静岡県",3658375,2130116,58.2,"2022/01/01","2022/12/31"
"2022/12/31","愛知県",7528519,4257790,56.6,"2022/01/01","2022/12/31"
"2022/12/31","三重県",1784968,1004605,56.3,"2022/01/01","2022/12/31"
"2022/12/31","滋賀県",1415222,845001,59.7,"2022/01/01","2022/12/31"
"2022/12/31","京都府",2511494,1402509,55.8,"2022/01/01","2022/12/31"
"2022/12/31","大阪府",8800753,5049136,57.4,"2022/01/01","2022/12/31"
"2022/12/31","兵庫県",5488605,3343576,60.9,"2022/01/01","2022/12/31"
"2022/12/31","奈良県",1335378,820505,61.4,"2022/01/01","2022/12/31"
"2022/12/31","和歌山県",935084,527279,56.4,"2022/01/01","2022/12/31"
"2022/12/31","鳥取県",551806,324828,58.9,"2022/01/01","2022/12/31"
"2022/12/31","島根県",666331,391154,58.7,"2022/01/01","2022/12/31"
"2022/12/31","岡山県",1879280,1072972,57.1,"2022/01/01","2022/12/31"
"2022/12/31","広島県",2788687,1696604,60.8,"2022/01/01","2022/12/31"
"2022/12/31","山口県",1340458,821395,61.3,"2022/01/01","2022/12/31"
"2022/12/31","徳島県",726729,404258,55.6,"2022/01/01","2022/12/31"
"2022/12/31","香川県",964885,548589,56.9,"2022/01/01","2022/12/31"
"2022/12/31","愛媛県",1341539,837917,62.5,"2022/01/01","2022/12/31"
"2022/12/31","高知県",693369,357964,51.6,"2022/01/01","2022/12/31"
"2022/12/31","福岡県",5108507,2973969,58.2,"2022/01/01","2022/12/31"
"2022/12/31","佐賀県",812193,497137,61.2,"2022/01/01","2022/12/31"
"2022/12/31","長崎県",1320055,738763,56.0,"2022/01/01","2022/12/31"
"2022/12/31","熊本県",1747513,1003219,57.4,"2022/01/01","2022/12/31"
"2022/12/31","大分県",1131140,661920,58.5,"2022/01/01","2022/12/31"
"2022/12/31","宮崎県",1078313,772045,71.6,"2022/01/01","2022/12/31"
"2022/12/31","鹿児島県",1605419,970485,60.5,"2022/01/01","2022/12/31"
"2022/12/31","沖縄県",1485670,683721,46.0,"2022/01/01","2022/12/31"
