"算出基準日","都道府県名","市区町村名","総数（人口）","交付枚数","人口に対する交付枚数率","人口算出基準日","交付件数基準日","団体コード"
"2022/12/31","北海道","札幌市",1960668,1113718,56.8,"2022/01/01","2022/12/31",11002
"2022/12/31","北海道","函館市",248106,130964,52.8,"2022/01/01","2022/12/31",12025
"2022/12/31","北海道","小樽市",110426,56150,50.8,"2022/01/01","2022/12/31",12033
"2022/12/31","北海道","旭川市",327960,173022,52.8,"2022/01/01","2022/12/31",12041
"2022/12/31","北海道","室蘭市",79986,49474,61.9,"2022/01/01","2022/12/31",12050
"2022/12/31","北海道","釧路市",163110,101726,62.4,"2022/01/01","2022/12/31",12068
"2022/12/31","北海道","帯広市",165047,80170,48.6,"2022/01/01","2022/12/31",12076
"2022/12/31","北海道","北見市",114326,61168,53.5,"2022/01/01","2022/12/31",12084
"2022/12/31","北海道","夕張市",7055,3519,49.9,"2022/01/01","2022/12/31",12092
"2022/12/31","北海道","岩見沢市",78112,42713,54.7,"2022/01/01","2022/12/31",12106
"2022/12/31","北海道","網走市",34016,17501,51.4,"2022/01/01","2022/12/31",12114
"2022/12/31","北海道","留萌市",19739,13263,67.2,"2022/01/01","2022/12/31",12122
"2022/12/31","北海道","苫小牧市",169528,93453,55.1,"2022/01/01","2022/12/31",12131
"2022/12/31","北海道","稚内市",32280,19677,61.0,"2022/01/01","2022/12/31",12149
"2022/12/31","北海道","美唄市",20001,10409,52.0,"2022/01/01","2022/12/31",12157
"2022/12/31","北海道","芦別市",12430,7228,58.1,"2022/01/01","2022/12/31",12165
"2022/12/31","北海道","江別市",119701,60578,50.6,"2022/01/01","2022/12/31",12173
"2022/12/31","北海道","赤平市",9368,5272,56.3,"2022/01/01","2022/12/31",12181
"2022/12/31","北海道","紋別市",20928,10278,49.1,"2022/01/01","2022/12/31",12190
"2022/12/31","北海道","士別市",17676,10959,62.0,"2022/01/01","2022/12/31",12203
"2022/12/31","北海道","名寄市",26663,14910,55.9,"2022/01/01","2022/12/31",12211
"2022/12/31","北海道","三笠市",7930,5083,64.1,"2022/01/01","2022/12/31",12220
"2022/12/31","北海道","根室市",24231,12711,52.5,"2022/01/01","2022/12/31",12238
"2022/12/31","北海道","千歳市",97716,65483,67.0,"2022/01/01","2022/12/31",12246
