"算出基準日","区分","人口","交付枚数","人口に対する交付枚数率","人口算出基準日","交付枚数算出基準日"
"2020/10/01","全国",127138033,26105646,20.5,"2020/01/01","2020/10/01"
"2020/10/01","特別区",9570609,2449222,25.6,"2020/01/01","2020/10/01"
"2020/10/01","政令指定都市",27540108,6004361,21.8,"2020/01/01","2020/10/01"
"2020/10/01","市（政令指定都市を除く）",79244110,15742678,19.9,"2020/01/01","2020/10/01"
"2020/10/01","町村",10783206,1909385,17.7,"2020/01/01","2020/10/01"
