"算出基準日","都道府県名","市区町村名","総数（人口）","交付枚数","人口に対する交付枚数率","人口算出基準日","交付件数基準日","団体コード"
"2020/10/01","北海道","札幌市",1959313,359526,18.3,"2020/01/01","2020/10/01",11002
"2020/10/01","北海道","函館市",255308,43189,16.9,"2020/01/01","2020/10/01",12025
"2020/10/01","北海道","小樽市",114425,21689,19.0,"2020/01/01","2020/10/01",12033
"2020/10/01","北海道","旭川市",334070,57340,17.2,"2020/01/01","2020/10/01",12041
"2020/10/01","北海道","室蘭市",82977,17580,21.2,"2020/01/01","2020/10/01",12050
"2020/10/01","北海道","釧路市",168086,34339,20.4,"2020/01/01","2020/10/01",12068
"2020/10/01","北海道","帯広市",166043,24945,15.0,"2020/01/01","2020/10/01",12076
"2020/10/01","北海道","北見市",116630,20663,17.7,"2020/01/01","2020/10/01",12084
"2020/10/01","北海道","夕張市",7769,1392,17.9,"2020/01/01","2020/10/01",12092
"2020/10/01","北海道","岩見沢市",80410,14957,18.6,"2020/01/01","2020/10/01",12106
"2020/10/01","北海道","網走市",35039,6080,17.4,"2020/01/01","2020/10/01",12114
"2020/10/01","北海道","留萌市",20715,3835,18.5,"2020/01/01","2020/10/01",12122
"2020/10/01","北海道","苫小牧市",171242,36044,21.0,"2020/01/01","2020/10/01",12131
"2020/10/01","北海道","稚内市",33605,7496,22.3,"2020/01/01","2020/10/01",12149
"2020/10/01","北海道","美唄市",21058,3912,18.6,"2020/01/01","2020/10/01",12157
"2020/10/01","北海道","芦別市",13204,2511,19.0,"2020/01/01","2020/10/01",12165
"2020/10/01","北海道","江別市",119580,20391,17.1,"2020/01/01","2020/10/01",12173
"2020/10/01","北海道","赤平市",9906,1947,19.7,"2020/01/01","2020/10/01",12181
"2020/10/01","北海道","紋別市",21582,2813,13.0,"2020/01/01","2020/10/01",12190
"2020/10/01","北海道","士別市",18562,3100,16.7,"2020/01/01","2020/10/01",12203
"2020/10/01","北海道","名寄市",27277,5973,21.9,"2020/01/01","2020/10/01",12211
"2020/10/01","北海道","三笠市",8302,1954,23.5,"2020/01/01","2020/10/01",12220
"2020/10/01","北海道","根室市",25457,3854,15.1,"2020/01/01","2020/10/01",12238
"2020/10/01","北海道","千歳市",97552,30023,30.8,"2020/01/01","2020/10/01",12246
"2020/10/01","北海道","滝川市",39861,7817,19.6,"2020/01/01","2020/10/01",12254
"2020/10/01","北海道","砂川市",16848,3763,22.3,"2020/01/01","2020/10/01",12262
"2020/10/01","北海道","歌志内市",3130,536,17.1,"2020/01/01","2020/10/01",12271
"2020/10/01","北海道","深川市",20422,2868,14.0,"2020/01/01","2020/10/01",12289
"2020/10/01","北海道","富良野市",21593,4165,19.3,"2020/01/01","2020/10/01",12297
"2020/10/01","北海道","登別市",47608,9578,20.1,"2020/01/01","2020/10/01",12301
"2020/10/01","北海道","恵庭市",70049,16927,24.2,"2020/01/01","2020/10/01",12319
"2020/10/01","北海道","伊達市",33896,5324,15.7,"2020/01/01","2020/10/01",12335
"2020/10/01","北海道","北広島市",58265,9979,17.1,"2020/01/01","2020/10/01",12343
"2020/10/01","北海道","石狩市",58288,10259,17.6,"2020/01/01","2020/10/01",12351
"2020/10/01","北海道","北斗市",46031,6827,14.8,"2020/01/01","2020/10/01",12360
"2020/10/01","北海道","石狩郡当別町",15840,2970,18.8,"2020/01/01","2020/10/01",13030
"2020/10/01","北海道","石狩郡新篠津村",3033,350,11.5,"2020/01/01","2020/10/01",13048
"2020/10/01","北海道","松前郡松前町",6996,1406,20.1,"2020/01/01","2020/10/01",13315
"2020/10/01","北海道","松前郡福島町",3968,453,11.4,"2020/01/01","2020/10/01",13323
"2020/10/01","北海道","上磯郡知内町",4290,475,11.1,"2020/01/01","2020/10/01",13331
"2020/10/01","北海道","上磯郡木古内町",4066,665,16.4,"2020/01/01","2020/10/01",13340
"2020/10/01","北海道","亀田郡七飯町",28148,4284,15.2,"2020/01/01","2020/10/01",13374
"2020/10/01","北海道","茅部郡鹿部町",3899,866,22.2,"2020/01/01","2020/10/01",13439
"2020/10/01","北海道","茅部郡森町",15230,2509,16.5,"2020/01/01","2020/10/01",13455
"2020/10/01","北海道","二海郡八雲町",16293,2590,15.9,"2020/01/01","2020/10/01",13463
"2020/10/01","北海道","山越郡長万部町",5271,744,14.1,"2020/01/01","2020/10/01",13471
"2020/10/01","北海道","檜山郡江差町",7488,1194,15.9,"2020/01/01","2020/10/01",13617
"2020/10/01","北海道","檜山郡上ノ国町",4707,633,13.4,"2020/01/01","2020/10/01",13625
"2020/10/01","北海道","檜山郡厚沢部町",3792,457,12.1,"2020/01/01","2020/10/01",13633
