"算出基準日","年齢","人口(男)","人口(女)","人口(計)","交付件数(男)","交付件数(女)","交付件数(計)","交付率(男)","交付率(女)","交付率(計)","全体に対する交付件数割合(男)","全体に対する交付件数割合(女)","全体に対する交付件数割合(計)","人口算出基準日","交付枚数算出基準日"
"2022/11/30","全体",61420626,64507276,125927902,33322630,34523398,67846028,54.3,53.5,53.9,100.0,100.0,100.0,"2022/01/01","2022/11/30"
"2022/11/30","0～4歳",2279668,2171048,4450716,895033,855170,1750203,39.3,39.4,39.3,2.7,2.5,2.6,"2022/01/01","2022/11/30"
"2022/11/30","5～9",2635024,2503916,5138940,1253678,1205002,2458680,47.6,48.1,47.8,3.8,3.5,3.6,"2022/01/01","2022/11/30"
"2022/11/30","10～14",2793011,2653060,5446071,1285277,1241656,2526933,46.0,46.8,46.4,3.9,3.6,3.7,"2022/01/01","2022/11/30"
"2022/11/30","15～19",2879636,2739887,5619523,1428161,1360647,2788808,49.6,49.7,49.6,4.3,3.9,4.1,"2022/01/01","2022/11/30"
"2022/11/30","20～24",3218643,3054516,6273159,1678360,1727926,3406286,52.1,56.6,54.3,5.0,5.0,5.0,"2022/01/01","2022/11/30"
"2022/11/30","25～29",3302687,3107602,6410289,1734336,1857398,3591734,52.5,59.8,56.0,5.2,5.4,5.3,"2022/01/01","2022/11/30"
"2022/11/30","30～34",3395864,3220391,6616255,1846650,1925148,3771798,54.4,59.8,57.0,5.5,5.6,5.6,"2022/01/01","2022/11/30"
"2022/11/30","35～39",3801460,3649784,7451244,2022006,2068442,4090448,53.2,56.7,54.9,6.1,6.0,6.0,"2022/01/01","2022/11/30"
"2022/11/30","40～44",4185468,4036207,8221675,2152505,2181235,4333740,51.4,54.0,52.7,6.5,6.3,6.4,"2022/01/01","2022/11/30"
"2022/11/30","45～49",4949126,4796536,9745662,2484246,2500582,4984828,50.2,52.1,51.1,7.5,7.2,7.3,"2022/01/01","2022/11/30"
"2022/11/30","50～54",4760262,4664526,9424788,2461540,2528455,4989995,51.7,54.2,52.9,7.4,7.3,7.4,"2022/01/01","2022/11/30"
"2022/11/30","55～59",3922885,3898858,7821743,2213264,2290689,4503953,56.4,58.8,57.6,6.6,6.6,6.6,"2022/01/01","2022/11/30"
"2022/11/30","60～64",3657943,3720450,7378393,2215475,2265352,4480827,60.6,60.9,60.7,6.6,6.6,6.6,"2022/01/01","2022/11/30"
"2022/11/30","65～69",3785404,3984827,7770231,2256579,2301871,4558450,59.6,57.8,58.7,6.8,6.7,6.7,"2022/01/01","2022/11/30"
"2022/11/30","70～74",4539801,5064758,9604559,2651298,2814599,5465897,58.4,55.6,56.9,8.0,8.2,8.1,"2022/01/01","2022/11/30"
"2022/11/30","75～79",2986726,3693443,6680169,1954260,2186692,4140952,65.4,59.2,62.0,5.9,6.3,6.1,"2022/01/01","2022/11/30"
"2022/11/30","80～84",2323849,3251908,5575757,1464550,1682511,3147061,63.0,51.7,56.4,4.4,4.9,4.6,"2022/01/01","2022/11/30"
"2022/11/30","85～89",1370107,2436954,3807061,875673,1006574,1882247,63.9,41.3,49.4,2.6,2.9,2.8,"2022/01/01","2022/11/30"
"2022/11/30","90歳以上",633044,1858568,2491612,449739,523449,973188,71.0,28.2,39.1,1.3,1.5,1.4,"2022/01/01","2022/11/30"
