"都道府県名","市区町村名","総数（人口）
【H29.1.1時点】","交付枚数
【H29.8.31時点】","交付率"
"全国","","127,907,086","12,301,592","9.6%"
"山形県","上山市","31,382","2,059","6.6%"
"山形県","村山市","25,136","1,599","6.4%"
"山形県","長井市","27,554","1,747","6.3%"
"山形県","天童市","62,164","4,102","6.6%"
"山形県","東根市","47,728","3,272","6.9%"
"山形県","尾花沢市","17,009","1,076","6.3%"
"山形県","南陽市","32,183","1,921","6.0%"
"山形県","東村山郡山辺町","14,655","893","6.1%"
"山形県","東村山郡中山町","11,608","744","6.4%"
"山形県","西村山郡河北町","19,251","1,464","7.6%"
"山形県","西村山郡西川町","5,706","408","7.2%"
"山形県","西村山郡朝日町","7,248","555","7.7%"
"山形県","西村山郡大江町","8,583","747","8.7%"
"山形県","北村山郡大石田町","7,407","535","7.2%"
"山形県","最上郡金山町","5,827","346","5.9%"
"山形県","最上郡最上町","9,014","591","6.6%"
"山形県","最上郡舟形町","5,612","373","6.6%"
"山形県","最上郡真室川町","8,177","534","6.5%"
"山形県","最上郡大蔵村","3,436","289","8.4%"
"山形県","最上郡鮭川村","4,408","276","6.3%"
"山形県","最上郡戸沢村","4,846","348","7.2%"
"山形県","東置賜郡高畠町","24,073","1,252","5.2%"
"山形県","東置賜郡川西町","15,817","911","5.8%"
"山形県","西置賜郡小国町","8,000","1,385","17.3%"
"山形県","西置賜郡白鷹町","14,351","860","6.0%"
"山形県","西置賜郡飯豊町","7,436","678","9.1%"
"山形県","東田川郡三川町","7,544","462","6.1%"
"山形県","東田川郡庄内町","21,996","1,383","6.3%"
"山形県","飽海郡遊佐町","14,340","926","6.5%"
"福島県","福島市","283,493","26,111","9.2%"
"福島県","会津若松市","121,567","10,676","8.8%"
"福島県","郡山市","326,851","28,456","8.7%"
"福島県","いわき市","329,938","25,729","7.8%"
"福島県","白河市","62,245","5,461","8.8%"
"福島県","須賀川市","77,638","6,159","7.9%"
"福島県","喜多方市","49,538","3,429","6.9%"
"福島県","相馬市","35,812","3,207","9.0%"
"福島県","二本松市","56,273","4,273","7.6%"
"福島県","田村市","38,280","3,615","9.4%"
"福島県","南相馬市","62,960","6,631","10.5%"
"福島県","伊達市","62,299","4,764","7.6%"
"福島県","本宮市","30,731","2,009","6.5%"
"福島県","伊達郡桑折町","12,217","724","5.9%"
"福島県","伊達郡国見町","9,504","969","10.2%"
"福島県","伊達郡川俣町","14,123","1,405","9.9%"
"福島県","安達郡大玉村","8,572","492","5.7%"
"福島県","岩瀬郡鏡石町","12,802","975","7.6%"
"福島県","岩瀬郡天栄村","5,893","315","5.3%"
"福島県","南会津郡下郷町","6,036","426","7.1%"
"福島県","南会津郡檜枝岐村","584","106","18.2%"
"福島県","南会津郡只見町","4,512","440","9.8%"
"福島県","南会津郡南会津町","16,424","1,552","9.4%"
"福島県","耶麻郡北塩原村","2,913","228","7.8%"
