"都道府県名","市区町村名","総数（人口）
【H29.1.1時点】","交付枚数
【H29.8.31時点】","交付率"
"全国","","127,907,086","12,301,592","9.6%"
"宮城県","富谷市","52,526","4,556","8.7%"
"宮城県","刈田郡蔵王町","12,448","883","7.1%"
"宮城県","刈田郡七ヶ宿町","1,502","195","13.0%"
"宮城県","柴田郡大河原町","23,624","2,183","9.2%"
"宮城県","柴田郡村田町","11,412","918","8.0%"
"宮城県","柴田郡柴田町","38,299","3,847","10.0%"
"宮城県","柴田郡川崎町","9,086","550","6.1%"
"宮城県","伊具郡丸森町","14,244","1,163","8.2%"
"宮城県","亘理郡亘理町","34,026","3,184","9.4%"
"宮城県","亘理郡山元町","12,484","1,086","8.7%"
"宮城県","宮城郡松島町","14,663","1,640","11.2%"
"宮城県","宮城郡七ヶ浜町","19,196","1,496","7.8%"
"宮城県","宮城郡利府町","36,287","3,749","10.3%"
"宮城県","黒川郡大和町","28,686","2,421","8.4%"
"宮城県","黒川郡大郷町","8,380","455","5.4%"
"宮城県","黒川郡大衡村","5,877","416","7.1%"
"宮城県","加美郡色麻町","7,137","442","6.2%"
"宮城県","加美郡加美町","24,212","1,466","6.1%"
"宮城県","遠田郡涌谷町","16,768","1,053","6.3%"
"宮城県","遠田郡美里町","24,975","2,195","8.8%"
"宮城県","牡鹿郡女川町","6,735","530","7.9%"
"宮城県","本吉郡南三陸町","13,529","1,090","8.1%"
"秋田県","秋田市","314,869","28,881","9.2%"
"秋田県","能代市","55,248","4,321","7.8%"
"秋田県","横手市","93,243","6,016","6.5%"
"秋田県","大館市","74,705","5,868","7.9%"
"秋田県","男鹿市","29,046","1,815","6.2%"
"秋田県","湯沢市","47,083","2,798","5.9%"
"秋田県","鹿角市","32,199","2,557","7.9%"
"秋田県","由利本荘市","79,657","5,601","7.0%"
"秋田県","潟上市","33,486","2,422","7.2%"
"秋田県","大仙市","84,122","5,681","6.8%"
"秋田県","北秋田市","33,505","2,315","6.9%"
"秋田県","にかほ市","25,554","1,623","6.4%"
"秋田県","仙北市","27,533","2,110","7.7%"
"秋田県","鹿角郡小坂町","5,366","464","8.6%"
"秋田県","北秋田郡上小阿仁村","2,444","187","7.7%"
"秋田県","山本郡藤里町","3,501","315","9.0%"
"秋田県","山本郡三種町","17,423","1,110","6.4%"
"秋田県","山本郡八峰町","7,525","418","5.6%"
"秋田県","南秋田郡五城目町","9,776","655","6.7%"
"秋田県","南秋田郡八郎潟町","6,114","430","7.0%"
"秋田県","南秋田郡井川町","4,953","227","4.6%"
"秋田県","南秋田郡大潟村","3,207","251","7.8%"
"秋田県","仙北郡美郷町","20,311","1,076","5.3%"
"秋田県","雄勝郡羽後町","15,692","731","4.7%"
"秋田県","雄勝郡東成瀬村","2,634","181","6.9%"
"山形県","山形市","249,133","16,558","6.6%"
"山形県","米沢市","82,843","4,980","6.0%"
"山形県","鶴岡市","130,108","8,785","6.8%"
"山形県","酒田市","105,468","7,755","7.4%"
"山形県","新庄市","36,764","2,657","7.2%"
"山形県","寒河江市","41,661","2,979","7.2%"
