"都道府県名","市区町村名","総数（人口）
【H28.1.1時点】","交付枚数
【H29.5.15時点】","交付率"
"全国","","128,066,211","11,474,475","9.0%"
"熊本県","阿蘇郡小国町","7,540","690","9.2%"
"熊本県","阿蘇郡産山村","1,598","117","7.3%"
"熊本県","阿蘇郡高森町","6,784","462","6.8%"
"熊本県","阿蘇郡西原村","7,063","381","5.4%"
"熊本県","阿蘇郡南阿蘇村","11,693","652","5.6%"
"熊本県","上益城郡御船町","17,719","1,317","7.4%"
"熊本県","上益城郡嘉島町","9,227","594","6.4%"
"熊本県","上益城郡益城町","34,581","2,866","8.3%"
"熊本県","上益城郡甲佐町","11,120","611","5.5%"
"熊本県","上益城郡山都町","16,170","1,168","7.2%"
"熊本県","八代郡氷川町","12,493","726","5.8%"
"熊本県","葦北郡芦北町","18,455","1,495","8.1%"
"熊本県","葦北郡津奈木町","4,863","401","8.2%"
"熊本県","球磨郡錦町","11,160","744","6.7%"
"熊本県","球磨郡多良木町","10,165","876","8.6%"
"熊本県","球磨郡湯前町","4,163","317","7.6%"
"熊本県","球磨郡水上村","2,323","198","8.5%"
"熊本県","球磨郡相良村","4,705","380","8.1%"
"熊本県","球磨郡五木村","1,189","93","7.8%"
"熊本県","球磨郡山江村","3,634","356","9.8%"
"熊本県","球磨郡球磨村","3,981","271","6.8%"
"熊本県","球磨郡あさぎり町","16,124","1,231","7.6%"
"熊本県","天草郡苓北町","7,732","425","5.5%"
"大分県","大分市","479,340","35,082","7.3%"
"大分県","別府市","120,658","9,986","8.3%"
"大分県","中津市","85,264","6,152","7.2%"
"大分県","日田市","68,429","7,828","11.4%"
"大分県","佐伯市","75,048","6,016","8.0%"
"大分県","臼杵市","40,443","3,337","8.3%"
"大分県","津久見市","18,906","1,277","6.8%"
"大分県","竹田市","23,278","2,203","9.5%"
"大分県","豊後高田市","23,342","2,472","10.6%"
"大分県","杵築市","30,645","2,532","8.3%"
"大分県","宇佐市","58,143","4,317","7.4%"
"大分県","豊後大野市","38,078","3,346","8.8%"
"大分県","由布市","35,349","2,571","7.3%"
"大分県","国東市","29,785","2,530","8.5%"
"大分県","東国東郡姫島村","2,202","868","39.4%"
"大分県","速見郡日出町","28,518","2,164","7.6%"
"大分県","玖珠郡九重町","10,099","891","8.8%"
"大分県","玖珠郡玖珠町","16,434","1,223","7.4%"
"宮崎県","宮崎市","405,681","45,503","11.2%"
"宮崎県","都城市","168,448","32,267","19.2%"
"宮崎県","延岡市","127,924","11,705","9.1%"
"宮崎県","日南市","55,848","6,434","11.5%"
"宮崎県","小林市","47,646","5,561","11.7%"
"宮崎県","日向市","63,013","4,142","6.6%"
"宮崎県","串間市","19,636","2,943","15.0%"
"宮崎県","西都市","31,614","2,905","9.2%"
"宮崎県","えびの市","20,637","1,989","9.6%"
"宮崎県","北諸県郡三股町","26,012","1,954","7.5%"
"宮崎県","西諸県郡高原町","9,855","648","6.6%"
"宮崎県","東諸県郡国富町","20,204","1,671","8.3%"
