"都道府県名","市区町村名","総数（人口）
【H29.1.1時点】","交付枚数
【H29.12.1時点】","交付率"
"全国","","127,907,086","13,009,137","10.2%"
"岡山県","勝田郡奈義町","6,163","457","7.4%"
"岡山県","英田郡西粟倉村","1,485","129","8.7%"
"岡山県","久米郡久米南町","5,039","426","8.5%"
"岡山県","久米郡美咲町","14,951","1,140","7.6%"
"岡山県","加賀郡吉備中央町","12,133","1,041","8.6%"
"広島県","広島市","1,193,857","125,945","10.5%"
"広島県","呉市","231,008","28,880","12.5%"
"広島県","竹原市","26,756","3,367","12.6%"
"広島県","三原市","97,009","11,220","11.6%"
"広島県","尾道市","141,110","13,204","9.4%"
"広島県","福山市","471,345","35,204","7.5%"
"広島県","府中市","40,756","3,641","8.9%"
"広島県","三次市","53,995","5,223","9.7%"
"広島県","庄原市","37,000","3,041","8.2%"
"広島県","大竹市","27,799","3,042","10.9%"
"広島県","東広島市","185,764","24,665","13.3%"
"広島県","廿日市市","117,292","11,823","10.1%"
"広島県","安芸高田市","29,773","3,517","11.8%"
"広島県","江田島市","24,596","2,621","10.7%"
"広島県","安芸郡府中町","52,154","6,078","11.7%"
"広島県","安芸郡海田町","29,592","3,524","11.9%"
"広島県","安芸郡熊野町","24,437","2,581","10.6%"
"広島県","安芸郡坂町","13,101","1,388","10.6%"
"広島県","山県郡安芸太田町","6,650","607","9.1%"
"広島県","山県郡北広島町","19,263","1,947","10.1%"
"広島県","豊田郡大崎上島町","7,839","884","11.3%"
"広島県","世羅郡世羅町","16,845","1,478","8.8%"
"広島県","神石郡神石高原町","9,534","910","9.5%"
"山口県","下関市","269,486","26,900","10.0%"
"山口県","宇部市","168,241","18,110","10.8%"
"山口県","山口市","193,792","17,827","9.2%"
"山口県","萩市","49,772","4,500","9.0%"
"山口県","防府市","117,172","11,845","10.1%"
"山口県","下松市","56,715","5,992","10.6%"
"山口県","岩国市","138,394","15,153","10.9%"
"山口県","光市","52,286","5,647","10.8%"
"山口県","長門市","35,557","3,588","10.1%"
"山口県","柳井市","32,865","3,490","10.6%"
"山口県","美祢市","25,607","2,551","10.0%"
"山口県","周南市","146,475","15,996","10.9%"
"山口県","山陽小野田市","64,020","5,785","9.0%"
"山口県","大島郡周防大島町","17,237","2,033","11.8%"
"山口県","玖珂郡和木町","6,490","797","12.3%"
"山口県","熊毛郡上関町","2,946","145","4.9%"
"山口県","熊毛郡田布施町","15,651","1,638","10.5%"
"山口県","熊毛郡平生町","12,375","1,184","9.6%"
"山口県","阿武郡阿武町","3,507","310","8.8%"
"徳島県","徳島市","256,008","21,540","8.4%"
"徳島県","鳴門市","59,581","5,429","9.1%"
"徳島県","小松島市","39,110","3,349","8.6%"
"徳島県","阿南市","74,951","5,541","7.4%"
"徳島県","吉野川市","42,459","2,807","6.6%"
"徳島県","阿波市","38,692","2,537","6.6%"
