"都道府県名","市区町村名","総数（人口）
【H28.1.1時点】","交付枚数
【H29.5.15時点】","交付率"
"全国","","128,066,211","11,474,475","9.0%"
"愛知県","知多市","86,084","8,001","9.3%"
"愛知県","知立市","71,010","5,998","8.4%"
"愛知県","尾張旭市","82,605","7,317","8.9%"
"愛知県","高浜市","46,756","3,238","6.9%"
"愛知県","岩倉市","47,758","3,866","8.1%"
"愛知県","豊明市","68,706","5,684","8.3%"
"愛知県","日進市","88,024","7,132","8.1%"
"愛知県","田原市","64,078","4,054","6.3%"
"愛知県","愛西市","64,699","4,773","7.4%"
"愛知県","清須市","67,118","5,176","7.7%"
"愛知県","北名古屋市","84,433","5,513","6.5%"
"愛知県","弥富市","44,399","3,111","7.0%"
"愛知県","みよし市","60,383","5,558","9.2%"
"愛知県","あま市","88,527","6,590","7.4%"
"愛知県","長久手市","55,555","4,771","8.6%"
"愛知県","愛知郡東郷町","42,802","3,231","7.5%"
"愛知県","西春日井郡豊山町","15,360","1,110","7.2%"
"愛知県","丹羽郡大口町","23,422","1,651","7.0%"
"愛知県","丹羽郡扶桑町","34,511","2,754","8.0%"
"愛知県","海部郡大治町","31,536","2,412","7.6%"
"愛知県","海部郡蟹江町","37,755","3,218","8.5%"
"愛知県","海部郡飛島村","4,579","245","5.4%"
"愛知県","知多郡阿久比町","28,231","2,109","7.5%"
"愛知県","知多郡東浦町","50,234","4,260","8.5%"
"愛知県","知多郡南知多町","18,997","973","5.1%"
"愛知県","知多郡美浜町","22,757","1,493","6.6%"
"愛知県","知多郡武豊町","43,042","2,926","6.8%"
"愛知県","額田郡幸田町","39,852","2,938","7.4%"
"愛知県","北設楽郡設楽町","5,274","276","5.2%"
"愛知県","北設楽郡東栄町","3,539","224","6.3%"
"愛知県","北設楽郡豊根村","1,187","73","6.1%"
"三重県","津市","283,031","19,568","6.9%"
"三重県","四日市市","312,457","21,862","7.0%"
"三重県","伊勢市","129,764","8,793","6.8%"
"三重県","松阪市","167,443","11,587","6.9%"
"三重県","桑名市","143,149","9,605","6.7%"
"三重県","鈴鹿市","200,551","15,220","7.6%"
"三重県","名張市","80,482","7,005","8.7%"
"三重県","尾鷲市","19,118","1,117","5.8%"
"三重県","亀山市","49,804","3,731","7.5%"
"三重県","鳥羽市","20,065","1,167","5.8%"
"三重県","熊野市","17,974","1,130","6.3%"
"三重県","いなべ市","45,965","3,859","8.4%"
"三重県","志摩市","52,943","2,897","5.5%"
"三重県","伊賀市","94,732","6,911","7.3%"
"三重県","桑名郡木曽岬町","6,439","526","8.2%"
"三重県","員弁郡東員町","25,525","2,407","9.4%"
"三重県","三重郡菰野町","41,560","2,844","6.8%"
"三重県","三重郡朝日町","10,480","657","6.3%"
"三重県","三重郡川越町","14,922","1,135","7.6%"
"三重県","多気郡多気町","15,100","813","5.4%"
"三重県","多気郡明和町","23,160","1,270","5.5%"
"三重県","多気郡大台町","9,894","531","5.4%"
