"都道府県名","市区町村名","総数（人口）
【H29.1.1時点】","交付枚数
【H29.12.1時点】","交付率"
"全国","","127,907,086","13,009,137","10.2%"
"佐賀県","神埼郡吉野ヶ里町","16,221","1,322","8.1%"
"佐賀県","三養基郡基山町","17,391","1,668","9.6%"
"佐賀県","三養基郡上峰町","9,591","732","7.6%"
"佐賀県","三養基郡みやき町","25,552","2,100","8.2%"
"佐賀県","東松浦郡玄海町","5,895","317","5.4%"
"佐賀県","西松浦郡有田町","20,516","1,443","7.0%"
"佐賀県","杵島郡大町町","6,836","576","8.4%"
"佐賀県","杵島郡江北町","9,667","621","6.4%"
"佐賀県","杵島郡白石町","24,010","1,040","4.3%"
"佐賀県","藤津郡太良町","9,148","486","5.3%"
"長崎県","長崎市","432,088","47,233","10.9%"
"長崎県","佐世保市","256,520","30,793","12.0%"
"長崎県","島原市","46,414","3,813","8.2%"
"長崎県","諫早市","139,407","10,553","7.6%"
"長崎県","大村市","95,249","10,860","11.4%"
"長崎県","平戸市","32,639","2,165","6.6%"
"長崎県","松浦市","23,725","2,186","9.2%"
"長崎県","対馬市","31,853","3,082","9.7%"
"長崎県","壱岐市","27,581","3,266","11.8%"
"長崎県","五島市","38,297","4,574","11.9%"
"長崎県","西海市","29,025","2,530","8.7%"
"長崎県","雲仙市","45,147","2,631","5.8%"
"長崎県","南島原市","48,023","2,883","6.0%"
"長崎県","西彼杵郡長与町","42,678","3,893","9.1%"
"長崎県","西彼杵郡時津町","30,308","2,897","9.6%"
"長崎県","東彼杵郡東彼杵町","8,240","701","8.5%"
"長崎県","東彼杵郡川棚町","14,219","1,040","7.3%"
"長崎県","東彼杵郡波佐見町","14,988","915","6.1%"
"長崎県","北松浦郡小値賀町","2,576","141","5.5%"
"長崎県","北松浦郡佐々町","13,831","1,055","7.6%"
"長崎県","南松浦郡新上五島町","20,142","1,410","7.0%"
"熊本県","熊本市","733,844","77,317","10.5%"
"熊本県","八代市","129,922","11,741","9.0%"
"熊本県","人吉市","33,616","3,722","11.1%"
"熊本県","荒尾市","53,961","4,754","8.8%"
"熊本県","水俣市","25,493","2,791","10.9%"
"熊本県","玉名市","67,605","4,423","6.5%"
"熊本県","山鹿市","53,645","5,326","9.9%"
"熊本県","菊池市","49,711","3,502","7.0%"
"熊本県","宇土市","37,598","3,173","8.4%"
"熊本県","上天草市","28,520","2,730","9.6%"
"熊本県","宇城市","60,297","4,668","7.7%"
"熊本県","阿蘇市","27,204","2,535","9.3%"
"熊本県","天草市","84,067","7,888","9.4%"
"熊本県","合志市","60,701","4,694","7.7%"
"熊本県","下益城郡美里町","10,586","760","7.2%"
"熊本県","玉名郡玉東町","5,397","359","6.7%"
"熊本県","玉名郡南関町","10,138","757","7.5%"
"熊本県","玉名郡長洲町","16,301","1,608","9.9%"
"熊本県","玉名郡和水町","10,568","851","8.1%"
"熊本県","菊池郡大津町","34,228","2,487","7.3%"
"熊本県","菊池郡菊陽町","41,026","3,479","8.5%"
"熊本県","阿蘇郡南小国町","4,205","267","6.3%"
