"都道府県名","市区町村名","総数（人口）
【H29.1.1時点】","交付枚数
【H29.8.31時点】","交付率"
"全国","","127,907,086","12,301,592","9.6%"
"奈良県","高市郡明日香村","5,707","460","8.1%"
"奈良県","北葛城郡上牧町","22,873","2,193","9.6%"
"奈良県","北葛城郡王寺町","23,652","2,768","11.7%"
"奈良県","北葛城郡広陵町","35,004","2,869","8.2%"
"奈良県","北葛城郡河合町","18,145","1,980","10.9%"
"奈良県","吉野郡吉野町","7,632","723","9.5%"
"奈良県","吉野郡大淀町","18,263","1,536","8.4%"
"奈良県","吉野郡下市町","5,796","535","9.2%"
"奈良県","吉野郡黒滝村","746","47","6.3%"
"奈良県","吉野郡天川村","1,486","89","6.0%"
"奈良県","吉野郡野迫川村","431","43","10.0%"
"奈良県","吉野郡十津川村","3,488","291","8.3%"
"奈良県","吉野郡下北山村","974","114","11.7%"
"奈良県","吉野郡上北山村","545","112","20.6%"
"奈良県","吉野郡川上村","1,497","134","9.0%"
"奈良県","吉野郡東吉野村","1,881","99","5.3%"
"和歌山県","和歌山市","373,074","28,282","7.6%"
"和歌山県","海南市","52,563","4,464","8.5%"
"和歌山県","橋本市","64,382","7,003","10.9%"
"和歌山県","有田市","29,250","1,439","4.9%"
"和歌山県","御坊市","24,279","1,779","7.3%"
"和歌山県","田辺市","76,509","6,146","8.0%"
"和歌山県","新宮市","29,860","2,282","7.6%"
"和歌山県","紀の川市","64,511","4,540","7.0%"
"和歌山県","岩出市","53,901","3,932","7.3%"
"和歌山県","海草郡紀美野町","9,367","611","6.5%"
"和歌山県","伊都郡かつらぎ町","17,420","1,325","7.6%"
"和歌山県","伊都郡九度山町","4,509","354","7.9%"
"和歌山県","伊都郡高野町","3,243","296","9.1%"
"和歌山県","有田郡湯浅町","12,500","690","5.5%"
"和歌山県","有田郡広川町","7,310","380","5.2%"
"和歌山県","有田郡有田川町","27,130","1,649","6.1%"
"和歌山県","日高郡美浜町","7,492","466","6.2%"
"和歌山県","日高郡日高町","7,953","439","5.5%"
"和歌山県","日高郡由良町","6,114","344","5.6%"
"和歌山県","日高郡印南町","8,521","414","4.9%"
"和歌山県","日高郡みなべ町","13,280","730","5.5%"
"和歌山県","日高郡日高川町","10,136","617","6.1%"
"和歌山県","西牟婁郡白浜町","22,018","1,654","7.5%"
"和歌山県","西牟婁郡上富田町","15,561","1,020","6.6%"
"和歌山県","西牟婁郡すさみ町","4,249","305","7.2%"
"和歌山県","東牟婁郡那智勝浦町","15,977","1,146","7.2%"
"和歌山県","東牟婁郡太地町","3,266","215","6.6%"
"和歌山県","東牟婁郡古座川町","2,853","174","6.1%"
"和歌山県","東牟婁郡北山村","453","35","7.7%"
"和歌山県","東牟婁郡串本町","17,008","1,180","6.9%"
"鳥取県","鳥取市","190,960","15,652","8.2%"
"鳥取県","米子市","149,407","11,433","7.7%"
"鳥取県","倉吉市","48,340","3,656","7.6%"
"鳥取県","境港市","34,813","2,645","7.6%"
"鳥取県","岩美郡岩美町","11,891","971","8.2%"
"鳥取県","八頭郡若桜町","3,432","228","6.6%"
"鳥取県","八頭郡智頭町","7,398","517","7.0%"
