"区分","","人口
（H28.1.1時点）","交付枚数
（H29.3.8時点）","人口に対する交付枚数率"
"全国","","128,066,211","10,717,919","8.4%"
"","特別区","9,205,712","926,543","10.1%"
"","政令指定都市","27,333,950","2,478,623","9.1%"
"","市（政令指定都市を除く）","80,281,895","6,499,599","8.1%"
"","町村","11,244,654","813,154","7.2%"
