"都道府県名","市区町村名","総数（人口）
【H29.1.1時点】","交付枚数
【H29.8.31時点】","交付率"
"全国","","127,907,086","12,301,592","9.6%"
"新潟県","北蒲原郡聖籠町","14,264","674","4.7%"
"新潟県","西蒲原郡弥彦村","8,328","502","6.0%"
"新潟県","南蒲原郡田上町","12,146","562","4.6%"
"新潟県","東蒲原郡阿賀町","11,782","764","6.5%"
"新潟県","三島郡出雲崎町","4,592","386","8.4%"
"新潟県","南魚沼郡湯沢町","8,182","902","11.0%"
"新潟県","中魚沼郡津南町","10,059","638","6.3%"
"新潟県","刈羽郡刈羽村","4,715","429","9.1%"
"新潟県","岩船郡関川村","5,904","388","6.6%"
"新潟県","岩船郡粟島浦村","353","149","42.2%"
"富山県","富山市","418,304","34,475","8.2%"
"富山県","高岡市","174,275","17,101","9.8%"
"富山県","魚津市","42,706","3,182","7.5%"
"富山県","氷見市","49,105","6,211","12.6%"
"富山県","滑川市","33,411","2,544","7.6%"
"富山県","黒部市","41,802","3,877","9.3%"
"富山県","砺波市","49,095","3,884","7.9%"
"富山県","小矢部市","30,746","2,342","7.6%"
"富山県","南砺市","52,472","5,342","10.2%"
"富山県","射水市","93,934","8,484","9.0%"
"富山県","中新川郡舟橋村","3,010","217","7.2%"
"富山県","中新川郡上市町","21,275","1,506","7.1%"
"富山県","中新川郡立山町","26,575","2,014","7.6%"
"富山県","下新川郡入善町","25,498","2,034","8.0%"
"富山県","下新川郡朝日町","12,497","1,064","8.5%"
"石川県","金沢市","454,497","34,958","7.7%"
"石川県","七尾市","54,561","3,774","6.9%"
"石川県","小松市","108,655","10,597","9.8%"
"石川県","輪島市","28,273","1,708","6.0%"
"石川県","珠洲市","15,219","1,073","7.1%"
"石川県","加賀市","68,699","5,127","7.5%"
"石川県","羽咋市","22,401","1,887","8.4%"
"石川県","かほく市","35,062","2,319","6.6%"
"石川県","白山市","113,018","8,248","7.3%"
"石川県","能美市","49,993","3,651","7.3%"
"石川県","野々市市","51,821","3,697","7.1%"
"石川県","能美郡川北町","6,297","350","5.6%"
"石川県","河北郡津幡町","37,791","2,775","7.3%"
"石川県","河北郡内灘町","26,979","2,204","8.2%"
"石川県","羽咋郡志賀町","21,247","1,483","7.0%"
"石川県","羽咋郡宝達志水町","13,629","1,036","7.6%"
"石川県","鹿島郡中能登町","18,475","1,253","6.8%"
"石川県","鳳珠郡穴水町","8,723","618","7.1%"
"石川県","鳳珠郡能登町","18,287","1,346","7.4%"
"福井県","福井市","265,796","17,613","6.6%"
"福井県","敦賀市","66,905","3,558","5.3%"
"福井県","小浜市","30,076","1,899","6.3%"
"福井県","大野市","34,363","2,384","6.9%"
"福井県","勝山市","24,145","2,101","8.7%"
"福井県","鯖江市","69,135","3,966","5.7%"
"福井県","あわら市","28,805","1,996","6.9%"
"福井県","越前市","82,947","4,967","6.0%"
"福井県","坂井市","92,760","6,192","6.7%"
