"都道府県名","市区町村名","総数（人口）
【H29.1.1時点】","交付枚数
【H29.12.1時点】","交付率"
"全国","","127,907,086","13,009,137","10.2%"
"山形県","上山市","31,382","2,139","6.8%"
"山形県","村山市","25,136","1,694","6.7%"
"山形県","長井市","27,554","1,836","6.7%"
"山形県","天童市","62,164","4,293","6.9%"
"山形県","東根市","47,728","3,386","7.1%"
"山形県","尾花沢市","17,009","1,119","6.6%"
"山形県","南陽市","32,183","1,982","6.2%"
"山形県","東村山郡山辺町","14,655","938","6.4%"
"山形県","東村山郡中山町","11,608","777","6.7%"
"山形県","西村山郡河北町","19,251","1,500","7.8%"
"山形県","西村山郡西川町","5,706","417","7.3%"
"山形県","西村山郡朝日町","7,248","580","8.0%"
"山形県","西村山郡大江町","8,583","776","9.0%"
"山形県","北村山郡大石田町","7,407","553","7.5%"
"山形県","最上郡金山町","5,827","352","6.0%"
"山形県","最上郡最上町","9,014","612","6.8%"
"山形県","最上郡舟形町","5,612","379","6.8%"
"山形県","最上郡真室川町","8,177","562","6.9%"
"山形県","最上郡大蔵村","3,436","300","8.7%"
"山形県","最上郡鮭川村","4,408","279","6.3%"
"山形県","最上郡戸沢村","4,846","358","7.4%"
"山形県","東置賜郡高畠町","24,073","1,311","5.4%"
"山形県","東置賜郡川西町","15,817","940","5.9%"
"山形県","西置賜郡小国町","8,000","1,430","17.9%"
"山形県","西置賜郡白鷹町","14,351","895","6.2%"
"山形県","西置賜郡飯豊町","7,436","727","9.8%"
"山形県","東田川郡三川町","7,544","480","6.4%"
"山形県","東田川郡庄内町","21,996","1,426","6.5%"
"山形県","飽海郡遊佐町","14,340","951","6.6%"
"福島県","福島市","283,493","27,290","9.6%"
"福島県","会津若松市","121,567","11,283","9.3%"
"福島県","郡山市","326,851","29,540","9.0%"
"福島県","いわき市","329,938","26,883","8.1%"
"福島県","白河市","62,245","5,743","9.2%"
"福島県","須賀川市","77,638","6,398","8.2%"
"福島県","喜多方市","49,538","3,619","7.3%"
"福島県","相馬市","35,812","3,369","9.4%"
"福島県","二本松市","56,273","4,393","7.8%"
"福島県","田村市","38,280","3,857","10.1%"
"福島県","南相馬市","62,960","6,923","11.0%"
"福島県","伊達市","62,299","4,940","7.9%"
"福島県","本宮市","30,731","2,102","6.8%"
"福島県","伊達郡桑折町","12,217","765","6.3%"
"福島県","伊達郡国見町","9,504","998","10.5%"
"福島県","伊達郡川俣町","14,123","1,465","10.4%"
"福島県","安達郡大玉村","8,572","512","6.0%"
"福島県","岩瀬郡鏡石町","12,802","1,010","7.9%"
"福島県","岩瀬郡天栄村","5,893","346","5.9%"
"福島県","南会津郡下郷町","6,036","432","7.2%"
"福島県","南会津郡檜枝岐村","584","109","18.7%"
"福島県","南会津郡只見町","4,512","452","10.0%"
"福島県","南会津郡南会津町","16,424","1,592","9.7%"
"福島県","耶麻郡北塩原村","2,913","234","8.0%"
