"都道府県名","市区町村名","総数（人口）
【H29.1.1時点】","交付枚数
【H29.12.1時点】","交付率"
"全国","","127,907,086","13,009,137","10.2%"
"徳島県","美馬市","30,390","2,511","8.3%"
"徳島県","三好市","27,651","3,188","11.5%"
"徳島県","勝浦郡勝浦町","5,448","385","7.1%"
"徳島県","勝浦郡上勝町","1,616","199","12.3%"
"徳島県","名東郡佐那河内村","2,460","209","8.5%"
"徳島県","名西郡石井町","26,224","1,870","7.1%"
"徳島県","名西郡神山町","5,657","367","6.5%"
"徳島県","那賀郡那賀町","8,860","505","5.7%"
"徳島県","海部郡牟岐町","4,379","262","6.0%"
"徳島県","海部郡美波町","7,114","631","8.9%"
"徳島県","海部郡海陽町","9,851","585","5.9%"
"徳島県","板野郡松茂町","15,349","1,619","10.5%"
"徳島県","板野郡北島町","23,103","1,942","8.4%"
"徳島県","板野郡藍住町","34,958","3,073","8.8%"
"徳島県","板野郡板野町","13,651","1,301","9.5%"
"徳島県","板野郡上板町","12,337","710","5.8%"
"徳島県","美馬郡つるぎ町","9,580","800","8.4%"
"徳島県","三好郡東みよし町","14,784","1,103","7.5%"
"香川県","高松市","429,242","38,763","9.0%"
"香川県","丸亀市","113,564","8,696","7.7%"
"香川県","坂出市","54,222","4,212","7.8%"
"香川県","善通寺市","32,566","2,925","9.0%"
"香川県","観音寺市","61,570","4,141","6.7%"
"香川県","さぬき市","50,264","4,269","8.5%"
"香川県","東かがわ市","31,956","2,793","8.7%"
"香川県","三豊市","67,482","5,999","8.9%"
"香川県","小豆郡土庄町","14,504","1,170","8.1%"
"香川県","小豆郡小豆島町","15,238","1,198","7.9%"
"香川県","木田郡三木町","28,604","2,331","8.1%"
"香川県","香川郡直島町","3,153","273","8.7%"
"香川県","綾歌郡宇多津町","18,556","1,399","7.5%"
"香川県","綾歌郡綾川町","24,586","1,775","7.2%"
"香川県","仲多度郡琴平町","9,404","836","8.9%"
"香川県","仲多度郡多度津町","23,669","1,829","7.7%"
"香川県","仲多度郡まんのう町","19,231","1,320","6.9%"
"愛媛県","松山市","515,882","42,003","8.1%"
"愛媛県","今治市","163,481","12,971","7.9%"
"愛媛県","宇和島市","78,755","6,662","8.5%"
"愛媛県","八幡浜市","35,245","3,419","9.7%"
"愛媛県","新居浜市","121,637","9,304","7.6%"
"愛媛県","西条市","111,619","7,618","6.8%"
"愛媛県","大洲市","44,872","3,104","6.9%"
"愛媛県","伊予市","37,859","3,022","8.0%"
"愛媛県","四国中央市","89,470","5,187","5.8%"
"愛媛県","西予市","39,767","6,697","16.8%"
"愛媛県","東温市","33,586","3,069","9.1%"
"愛媛県","越智郡上島町","7,221","999","13.8%"
"愛媛県","上浮穴郡久万高原町","8,774","957","10.9%"
"愛媛県","伊予郡松前町","30,899","2,931","9.5%"
"愛媛県","伊予郡砥部町","21,596","2,064","9.6%"
"愛媛県","喜多郡内子町","17,160","1,322","7.7%"
"愛媛県","西宇和郡伊方町","9,917","726","7.3%"
"愛媛県","北宇和郡松野町","4,156","264","6.4%"
