"都道府県名","市区町村名","総数（人口）
【H29.1.1時点】","交付枚数
【H29.8.31時点】","交付率"
"全国","","127,907,086","12,301,592","9.6%"
"愛媛県","北宇和郡鬼北町","10,859","981","9.0%"
"愛媛県","南宇和郡愛南町","22,570","1,571","7.0%"
"高知県","高知市","334,049","21,687","6.5%"
"高知県","室戸市","14,239","1,274","8.9%"
"高知県","安芸市","17,944","1,152","6.4%"
"高知県","南国市","48,056","2,433","5.1%"
"高知県","土佐市","27,803","1,302","4.7%"
"高知県","須崎市","22,826","946","4.1%"
"高知県","宿毛市","21,309","1,138","5.3%"
"高知県","土佐清水市","14,295","972","6.8%"
"高知県","四万十市","34,757","2,007","5.8%"
"高知県","香南市","33,789","2,000","5.9%"
"高知県","香美市","26,641","1,220","4.6%"
"高知県","安芸郡東洋町","2,627","176","6.7%"
"高知県","安芸郡奈半利町","3,359","181","5.4%"
"高知県","安芸郡田野町","2,763","193","7.0%"
"高知県","安芸郡安田町","2,790","140","5.0%"
"高知県","安芸郡北川村","1,349","95","7.0%"
"高知県","安芸郡馬路村","910","33","3.6%"
"高知県","安芸郡芸西村","3,863","162","4.2%"
"高知県","長岡郡本山町","3,538","247","7.0%"
"高知県","長岡郡大豊町","4,044","479","11.8%"
"高知県","土佐郡土佐町","4,028","295","7.3%"
"高知県","土佐郡大川村","405","23","5.7%"
"高知県","吾川郡いの町","23,712","1,701","7.2%"
"高知県","吾川郡仁淀川町","5,753","494","8.6%"
"高知県","高岡郡中土佐町","7,199","332","4.6%"
"高知県","高岡郡佐川町","13,223","777","5.9%"
"高知県","高岡郡越知町","5,906","339","5.7%"
"高知県","高岡郡梼原町","3,639","209","5.7%"
"高知県","高岡郡日高村","5,182","347","6.7%"
"高知県","高岡郡津野町","6,070","201","3.3%"
"高知県","高岡郡四万十町","17,828","768","4.3%"
"高知県","幡多郡大月町","5,377","345","6.4%"
"高知県","幡多郡三原村","1,646","79","4.8%"
"高知県","幡多郡黒潮町","11,616","566","4.9%"
"福岡県","北九州市","966,628","84,761","8.8%"
"福岡県","福岡市","1,514,924","141,826","9.4%"
"福岡県","大牟田市","118,005","13,633","11.6%"
"福岡県","久留米市","306,800","18,310","6.0%"
"福岡県","直方市","57,388","3,526","6.1%"
"福岡県","飯塚市","130,092","14,280","11.0%"
"福岡県","田川市","49,191","3,513","7.1%"
"福岡県","柳川市","67,818","3,478","5.1%"
"福岡県","八女市","65,385","3,662","5.6%"
"福岡県","筑後市","49,151","2,811","5.7%"
"福岡県","大川市","35,283","1,956","5.5%"
"福岡県","行橋市","72,898","6,015","8.3%"
"福岡県","豊前市","26,375","1,958","7.4%"
"福岡県","中間市","42,884","3,001","7.0%"
"福岡県","小郡市","59,385","4,618","7.8%"
"福岡県","筑紫野市","103,312","7,521","7.3%"
"福岡県","春日市","112,783","9,418","8.4%"
