"団体名","人口
（H29.1.1時点）","交付枚数
（H29.12.1時点）","人口に対する
交付枚数率"
"宮崎県都城市","167,351","38,594","23.1%"
"鹿児島県西之表市","15,924","2,920","18.3%"
"宮崎県串間市","19,253","3,444","17.9%"
"奈良県橿原市","123,589","21,748","17.6%"
"兵庫県芦屋市","96,246","16,237","16.9%"
"愛媛県西予市","39,767","6,697","16.8%"
"奈良県生駒市","120,925","20,351","16.8%"
"東京都港区","249,242","41,741","16.7%"
"東京都日野市","183,589","30,197","16.4%"
"東京都中央区","149,640","24,337","16.3%"
