"都道府県名","市区町村名","総数（人口）
【H29.1.1時点】","交付枚数
【H29.12.1時点】","交付率"
"全国","","127,907,086","13,009,137","10.2%"
"鳥取県","八頭郡八頭町","17,679","1,397","7.9%"
"鳥取県","東伯郡三朝町","6,720","538","8.0%"
"鳥取県","東伯郡湯梨浜町","17,083","1,123","6.6%"
"鳥取県","東伯郡琴浦町","18,002","2,742","15.2%"
"鳥取県","東伯郡北栄町","15,402","1,067","6.9%"
"鳥取県","西伯郡日吉津村","3,514","270","7.7%"
"鳥取県","西伯郡大山町","16,799","1,494","8.9%"
"鳥取県","西伯郡南部町","11,184","922","8.2%"
"鳥取県","西伯郡伯耆町","11,259","1,062","9.4%"
"鳥取県","日野郡日南町","4,931","482","9.8%"
"鳥取県","日野郡日野町","3,348","279","8.3%"
"鳥取県","日野郡江府町","3,102","231","7.4%"
"島根県","松江市","204,403","16,813","8.2%"
"島根県","浜田市","56,042","6,053","10.8%"
"島根県","出雲市","174,948","15,039","8.6%"
"島根県","益田市","48,013","4,754","9.9%"
"島根県","大田市","36,100","3,430","9.5%"
"島根県","安来市","39,935","5,149","12.9%"
"島根県","江津市","24,319","2,734","11.2%"
"島根県","雲南市","39,973","3,160","7.9%"
"島根県","仁多郡奥出雲町","13,287","1,052","7.9%"
"島根県","飯石郡飯南町","5,083","345","6.8%"
"島根県","邑智郡川本町","3,427","433","12.6%"
"島根県","邑智郡美郷町","4,955","434","8.8%"
"島根県","邑智郡邑南町","11,211","1,242","11.1%"
"島根県","鹿足郡津和野町","7,761","675","8.7%"
"島根県","鹿足郡吉賀町","6,398","468","7.3%"
"島根県","隠岐郡海士町","2,304","161","7.0%"
"島根県","隠岐郡西ノ島町","2,924","233","8.0%"
"島根県","隠岐郡知夫村","605","43","7.1%"
"島根県","隠岐郡隠岐の島町","14,694","1,217","8.3%"
"岡山県","岡山市","708,652","58,579","8.3%"
"岡山県","倉敷市","484,174","41,397","8.6%"
"岡山県","津山市","102,962","8,078","7.8%"
"岡山県","玉野市","61,226","6,092","10.0%"
"岡山県","笠岡市","50,346","4,635","9.2%"
"岡山県","井原市","41,613","3,412","8.2%"
"岡山県","総社市","68,209","6,062","8.9%"
"岡山県","高梁市","31,939","3,232","10.1%"
"岡山県","新見市","30,814","3,084","10.0%"
"岡山県","備前市","35,903","3,555","9.9%"
"岡山県","瀬戸内市","37,975","3,307","8.7%"
"岡山県","赤磐市","44,599","3,812","8.5%"
"岡山県","真庭市","47,195","3,776","8.0%"
"岡山県","美作市","28,733","2,469","8.6%"
"岡山県","浅口市","35,108","3,182","9.1%"
"岡山県","和気郡和気町","14,564","1,110","7.6%"
"岡山県","都窪郡早島町","12,342","1,012","8.2%"
"岡山県","浅口郡里庄町","11,212","1,053","9.4%"
"岡山県","小田郡矢掛町","14,637","1,009","6.9%"
"岡山県","真庭郡新庄村","953","74","7.8%"
"岡山県","苫田郡鏡野町","13,439","1,087","8.1%"
"岡山県","勝田郡勝央町","11,266","1,087","9.6%"
