"都道府県名","市区町村名","総数（人口）
【H28.1.1時点】","交付枚数
【H29.5.15時点】","交付率"
"全国","","128,066,211","11,474,475","9.0%"
"三重県","度会郡玉城町","15,746","755","4.8%"
"三重県","度会郡度会町","8,568","533","6.2%"
"三重県","度会郡大紀町","9,343","463","5.0%"
"三重県","度会郡南伊勢町","13,915","767","5.5%"
"三重県","北牟婁郡紀北町","17,248","831","4.8%"
"三重県","南牟婁郡御浜町","9,113","492","5.4%"
"三重県","南牟婁郡紀宝町","11,537","533","4.6%"
"滋賀県","大津市","342,434","29,278","8.5%"
"滋賀県","彦根市","112,786","10,337","9.2%"
"滋賀県","長浜市","120,995","8,500","7.0%"
"滋賀県","近江八幡市","82,258","6,308","7.7%"
"滋賀県","草津市","130,385","13,819","10.6%"
"滋賀県","守山市","81,094","6,007","7.4%"
"滋賀県","栗東市","67,702","5,711","8.4%"
"滋賀県","甲賀市","92,195","8,912","9.7%"
"滋賀県","野洲市","50,837","4,443","8.7%"
"滋賀県","湖南市","54,841","4,103","7.5%"
"滋賀県","高島市","51,007","3,595","7.0%"
"滋賀県","東近江市","115,304","7,291","6.3%"
"滋賀県","米原市","39,883","3,300","8.3%"
"滋賀県","蒲生郡日野町","22,074","1,197","5.4%"
"滋賀県","蒲生郡竜王町","12,360","652","5.3%"
"滋賀県","愛知郡愛荘町","21,217","1,503","7.1%"
"滋賀県","犬上郡豊郷町","7,381","402","5.4%"
"滋賀県","犬上郡甲良町","7,427","573","7.7%"
"滋賀県","犬上郡多賀町","7,683","400","5.2%"
"京都府","京都市","1,419,549","133,479","9.4%"
"京都府","福知山市","80,019","5,832","7.3%"
"京都府","舞鶴市","86,124","6,853","8.0%"
"京都府","綾部市","34,949","2,568","7.3%"
"京都府","宇治市","189,623","16,911","8.9%"
"京都府","宮津市","19,116","1,386","7.3%"
"京都府","亀岡市","90,931","7,442","8.2%"
"京都府","城陽市","78,217","8,142","10.4%"
"京都府","向日市","54,842","4,362","8.0%"
"京都府","長岡京市","80,625","7,291","9.0%"
"京都府","八幡市","72,589","5,675","7.8%"
"京都府","京田辺市","67,416","5,641","8.4%"
"京都府","京丹後市","57,691","3,521","6.1%"
"京都府","南丹市","32,889","2,160","6.6%"
"京都府","木津川市","74,237","6,102","8.2%"
"京都府","乙訓郡大山崎町","15,563","1,574","10.1%"
"京都府","久世郡久御山町","16,355","1,194","7.3%"
"京都府","綴喜郡井手町","7,793","470","6.0%"
"京都府","綴喜郡宇治田原町","9,615","646","6.7%"
"京都府","相楽郡笠置町","1,468","134","9.1%"
"京都府","相楽郡和束町","4,234","206","4.9%"
"京都府","相楽郡精華町","37,597","3,609","9.6%"
"京都府","相楽郡南山城村","2,927","274","9.4%"
"京都府","船井郡京丹波町","15,245","1,059","6.9%"
"京都府","与謝郡伊根町","2,262","122","5.4%"
"京都府","与謝郡与謝野町","22,966","1,250","5.4%"
"大阪府","大阪市","2,681,555","290,001","10.8%"
