"都道府県名","市区町村名","総数（人口）
【H28.1.1時点】","交付枚数
【H29.5.15時点】","交付率"
"全国","","128,066,211","11,474,475","9.0%"
"青森県","下北郡佐井村","2,237","218","9.7%"
"青森県","三戸郡三戸町","10,850","922","8.5%"
"青森県","三戸郡五戸町","18,269","1,431","7.8%"
"青森県","三戸郡田子町","5,988","454","7.6%"
"青森県","三戸郡南部町","19,343","1,226","6.3%"
"青森県","三戸郡階上町","14,062","1,256","8.9%"
"青森県","三戸郡新郷村","2,672","214","8.0%"
"岩手県","盛岡市","294,106","26,978","9.2%"
"岩手県","宮古市","56,031","5,808","10.4%"
"岩手県","大船渡市","38,421","3,048","7.9%"
"岩手県","花巻市","98,975","8,006","8.1%"
"岩手県","北上市","93,692","6,216","6.6%"
"岩手県","久慈市","36,722","2,631","7.2%"
"岩手県","遠野市","28,692","2,373","8.3%"
"岩手県","一関市","122,644","10,895","8.9%"
"岩手県","陸前高田市","20,199","1,418","7.0%"
"岩手県","釜石市","35,841","2,846","7.9%"
"岩手県","二戸市","28,501","1,994","7.0%"
"岩手県","八幡平市","27,180","2,441","9.0%"
"岩手県","奥州市","121,282","9,802","8.1%"
"岩手県","滝沢市","55,156","5,342","9.7%"
"岩手県","岩手郡雫石町","17,350","1,331","7.7%"
"岩手県","岩手郡葛巻町","6,686","831","12.4%"
"岩手県","岩手郡岩手町","14,270","1,060","7.4%"
"岩手県","紫波郡紫波町","33,667","3,117","9.3%"
"岩手県","紫波郡矢巾町","27,101","2,202","8.1%"
"岩手県","和賀郡西和賀町","6,110","315","5.2%"
"岩手県","胆沢郡金ケ崎町","16,021","1,213","7.6%"
"岩手県","西磐井郡平泉町","8,005","669","8.4%"
"岩手県","気仙郡住田町","5,885","682","11.6%"
"岩手県","上閉伊郡大槌町","12,395","931","7.5%"
"岩手県","下閉伊郡山田町","16,409","1,359","8.3%"
"岩手県","下閉伊郡岩泉町","10,069","773","7.7%"
"岩手県","下閉伊郡田野畑村","3,625","245","6.8%"
"岩手県","下閉伊郡普代村","2,859","156","5.5%"
"岩手県","九戸郡軽米町","9,770","763","7.8%"
"岩手県","九戸郡野田村","4,435","339","7.6%"
"岩手県","九戸郡九戸村","6,153","326","5.3%"
"岩手県","九戸郡洋野町","17,813","1,322","7.4%"
"岩手県","二戸郡一戸町","13,405","819","6.1%"
"宮城県","仙台市","1,056,503","100,964","9.6%"
"宮城県","石巻市","148,798","10,726","7.2%"
"宮城県","塩竈市","55,506","5,655","10.2%"
"宮城県","気仙沼市","66,733","5,189","7.8%"
"宮城県","白石市","35,593","3,203","9.0%"
"宮城県","名取市","77,124","6,215","8.1%"
"宮城県","角田市","30,429","3,006","9.9%"
"宮城県","多賀城市","62,413","5,764","9.2%"
"宮城県","岩沼市","44,274","3,238","7.3%"
"宮城県","登米市","82,816","4,881","5.9%"
"宮城県","栗原市","71,748","5,594","7.8%"
"宮城県","東松島市","40,270","4,532","11.3%"
"宮城県","大崎市","133,958","10,259","7.7%"
