"都道府県名","市区町村名","総数（人口）
【H29.1.1時点】","交付枚数
【H29.8.31時点】","交付率"
"全国","","127,907,086","12,301,592","9.6%"
"熊本県","阿蘇郡小国町","7,420","709","9.6%"
"熊本県","阿蘇郡産山村","1,549","119","7.7%"
"熊本県","阿蘇郡高森町","6,662","479","7.2%"
"熊本県","阿蘇郡西原村","6,845","396","5.8%"
"熊本県","阿蘇郡南阿蘇村","11,115","706","6.4%"
"熊本県","上益城郡御船町","17,320","1,413","8.2%"
"熊本県","上益城郡嘉島町","9,126","646","7.1%"
"熊本県","上益城郡益城町","33,205","2,985","9.0%"
"熊本県","上益城郡甲佐町","10,972","654","6.0%"
"熊本県","上益城郡山都町","15,848","1,208","7.6%"
"熊本県","八代郡氷川町","12,381","754","6.1%"
"熊本県","葦北郡芦北町","18,117","1,595","8.8%"
"熊本県","葦北郡津奈木町","4,785","410","8.6%"
"熊本県","球磨郡錦町","11,048","761","6.9%"
"熊本県","球磨郡多良木町","9,986","907","9.1%"
"熊本県","球磨郡湯前町","4,084","326","8.0%"
"熊本県","球磨郡水上村","2,302","204","8.9%"
"熊本県","球磨郡相良村","4,643","392","8.4%"
"熊本県","球磨郡五木村","1,164","96","8.2%"
"熊本県","球磨郡山江村","3,600","387","10.8%"
"熊本県","球磨郡球磨村","3,898","284","7.3%"
"熊本県","球磨郡あさぎり町","15,888","1,287","8.1%"
"熊本県","天草郡苓北町","7,558","441","5.8%"
"大分県","大分市","479,726","37,280","7.8%"
"大分県","別府市","119,741","10,566","8.8%"
"大分県","中津市","84,864","6,665","7.9%"
"大分県","日田市","67,708","8,301","12.3%"
"大分県","佐伯市","73,925","6,325","8.6%"
"大分県","臼杵市","39,952","3,445","8.6%"
"大分県","津久見市","18,481","1,345","7.3%"
"大分県","竹田市","22,812","2,285","10.0%"
"大分県","豊後高田市","23,144","2,562","11.1%"
"大分県","杵築市","30,222","2,613","8.6%"
"大分県","宇佐市","57,607","4,476","7.8%"
"大分県","豊後大野市","37,505","3,479","9.3%"
"大分県","由布市","35,069","2,687","7.7%"
"大分県","国東市","29,330","2,664","9.1%"
"大分県","東国東郡姫島村","2,152","879","40.8%"
"大分県","速見郡日出町","28,561","2,313","8.1%"
"大分県","玖珠郡九重町","9,907","920","9.3%"
"大分県","玖珠郡玖珠町","16,185","1,281","7.9%"
"宮崎県","宮崎市","404,375","49,902","12.3%"
"宮崎県","都城市","167,351","36,398","21.7%"
"宮崎県","延岡市","126,612","12,618","10.0%"
"宮崎県","日南市","54,999","7,175","13.0%"
"宮崎県","小林市","47,090","6,025","12.8%"
"宮崎県","日向市","62,746","4,346","6.9%"
"宮崎県","串間市","19,253","3,268","17.0%"
"宮崎県","西都市","31,260","3,114","10.0%"
"宮崎県","えびの市","20,339","2,112","10.4%"
"宮崎県","北諸県郡三股町","26,054","2,028","7.8%"
"宮崎県","西諸県郡高原町","9,687","701","7.2%"
"宮崎県","東諸県郡国富町","19,961","1,750","8.8%"
